Time,Block,NR/2024/19846/C,NR/2024/19075/A/16853,NR/2024/19727/A/17568,NR/2024/19839/C,NR/2024/19484/A/17473,NR/2024/19835/C,NR/2024/18919/A/17462,NR/2024/19795/C,NR/2024/19030/A/16867,NR/2024/18936/A/16818,NR/2024/19825/C,NR/2024/19656/A/17173,NR/2024/19143/A/16849,NR/2024/19796/C,NR/2024/18935/A/16817,NR/2024/19738/C,NR/2024/19043/A/16861,NR/2024/18976/A/16827,NR/2024/18996/A/17409,NR/2024/18934/A/16816,NR/2024/19726/A/17574,NR/2024/19337/A/16959,NR/2024/19848/C,NR/2024/19827/C,NR/2024/18986/A/16882,NR/2024/19290/A/17582,NR/2024/18978/A/16829,NR/2024/19679/A/17287,NR/2024/19762/C,NR/2024/19115/A/16851,NR/2024/19677/A/17282,NR/2024/19469/A/16958,NR/2024/19024/A/16961,NR/2024/18977/A/16828,NR/2024/19792/C,NR/2024/19483/A/17474,NR/2024/19121/A/16962,NR/2024/19485/A/17472,NR/2024/19245/A/16960,NR/2024/19609/A/17426,NR/2024/18855/A/16963,NR/2024/19172/A/17583,NR/2024/19793/C,NR/2024/19622/A/16945,Total
49,12:00-12:15,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,7.07,0.000000,899.72

50,12:15-12:30,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,7.45,0.000000,900.1

51,12:30-12:45,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,8.45,0.000000,901.1

52,12:45-13:00,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,7.98,0.000000,900.63

53,13:00-13:15,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,5.8,0.000000,898.45

54,13:15-13:30,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,5.19,0.000000,897.84

55,13:30-13:45,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,5.91,0.000000,898.56

56,13:45-14:00,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,5.69,0.000000,898.34

57,14:00-14:15,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,6.63,0.000000,899.28

58,14:15-14:30,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,8.21,0.000000,900.86

59,14:30-14:45,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,8.18,0.000000,900.83

60,14:45-15:00,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,1.930000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,8.01,0.000000,900.66

61,15:00-15:15,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,7.1,0.000000,900.47

62,15:15-15:30,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,6.57,0.000000,899.94

63,15:30-15:45,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,6.19,0.000000,899.56

64,15:45-16:00,0.000000,19.310000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,19.310000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,39.580000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,14.480000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,5.88,0.000000,899.25

65,16:00-16:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,3.95,0.000000,804.64

66,16:15-16:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,2.4,0.000000,803.09

67,16:30-16:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,2.58,0.000000,803.27

68,16:45-17:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,2.900000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.720000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,1.930000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,3.06,0.000000,803.75

69,17:00-17:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,109.080000,0.000000,0.000000,0.000000,2.900000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,1.930000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,2.07,0.000000,689.4

70,17:15-17:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,109.080000,0.000000,0.000000,0.000000,2.900000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,1.930000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,1.78,0.000000,689.11

71,17:30-17:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,109.080000,0.000000,0.000000,0.000000,2.900000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,1.930000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,1.08,0.000000,688.41

72,17:45-18:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,109.080000,0.000000,0.000000,0.000000,2.900000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,1.930000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0.53,0.000000,687.86

73,18:00-18:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0.3,0.000000,592.06

74,18:15-18:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0.17,0.000000,591.93

75,18:30-18:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0.1,0.000000,591.86

76,18:45-19:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0,0.000000,591.76

77,19:00-19:15,0.000000,0.000000,193.060000,96.530000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0,0.000000,959.26

78,19:15-19:30,0.000000,0.000000,193.060000,96.530000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0,0.000000,959.26

79,19:30-19:45,0.000000,0.000000,193.060000,96.530000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0,0.000000,959.26

80,19:45-20:00,0.000000,0.000000,193.060000,96.530000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,0.000000,66.790000,115.840000,0,0.000000,959.26

81,20:00-20:15,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1538.43

82,20:15-20:30,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1538.43

83,20:30-20:45,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1538.43

84,20:45-21:00,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,167.000000,0.000000,0.000000,48.260000,1.930000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,0.000000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1538.43

85,21:00-21:15,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,149.910000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1615.94

86,21:15-21:30,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,149.910000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1615.94

87,21:30-21:45,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,149.910000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1615.94

88,21:45-22:00,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,0.000000,149.910000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1615.94

89,22:00-22:15,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,9.650000,108.690000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1633.61

90,22:15-22:30,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,9.650000,108.690000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1633.61

91,22:30-22:45,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,9.650000,108.690000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1633.61

92,22:45-23:00,241.320000,0.000000,193.060000,48.260000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.680000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1577.43

93,23:00-23:15,241.320000,0.000000,193.060000,96.530000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.630000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1625.65

94,23:15-23:30,241.320000,0.000000,193.060000,96.530000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.630000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1625.65

95,23:30-23:45,241.320000,0.000000,193.060000,96.530000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.630000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1625.65

96,23:45-24:00,241.320000,0.000000,193.060000,96.530000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,31.280000,96.530000,0.630000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,1.930000,4.830000,0.000000,26.060000,12.430000,0.000000,37.290000,1.930000,96.530000,66.790000,115.840000,0,96.530000,1625.65

