Column1,Block,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7902,NR/30092023/26122029/SH-06,NR/2025/26289/A/70949,NR/2025/26002/A/70886,NR/2025/26312/A/70496,NR/2025/26101/A/70771,NR/2025/26286/A/70587,NR/2025/26233/A/70951,NR/2025/26198/A/71077,NR/2025/26085/A/70553,NR/2025/26199/A/71076,NR/2025/26153/A/70501,NR/2025/26291/A/70948,NR/2025/26200/A/71075,NR/2025/26265/A/70950,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26232/A/70952,NR/2025/25858/A/70888,NR/2025/26202/A/71094,GNA/NR/2025/05/01/4138,NR/2025/25855/A/70887,NR/2025/26197/A/71079,NR/2025/26191/A/70489,NR/2025/26201/A/71074,NR/30092023/31122025/SH-07,NR/2025/26336/A/70579,NR/2025/26236/A/70498,GNARE/NR/2024/12/20/3668,NR/2025/26648/C,NR/2025/26649/C,NR/2025/26650/C,NR/2025/26335/A/70581,NR/2025/26654/C,NR/2025/26646/C,NR/2025/26685/C,NR/2025/26647/C,NR/2025/26686/C,Total
58,14:15-14:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,6.76,0,37.29,0.97,37.29,62.74,0,12.43,0,11.64,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,11.58,94.23,24.13,4.83,4.83,203,53.09,96.53,51.13,48.26,33.79,1810.9999999999998

59,14:30-14:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,6.76,0,37.29,0.97,37.29,62.74,0,12.43,0,11.64,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,11.58,93.98,24.13,4.83,4.83,161,53.09,96.53,51.13,48.26,33.79,1768.7499999999998

60,14:45-15:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,6.76,0,37.29,0.97,37.29,62.74,0,12.43,0,11.64,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,11.58,90.31,24.13,4.83,4.83,151,53.09,96.53,51.13,48.26,33.79,1755.0799999999997

61,15:00-15:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,7.72,0,37.29,0.97,37.29,62.74,0,12.43,0,11.82,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,8.69,86.34,24.13,4.83,4.83,140,53.09,96.53,51.13,48.26,33.79,1738.3600000000001

62,15:15-15:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,7.72,0,37.29,0.97,37.29,62.74,0,12.43,0,11.82,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,8.69,81.95,24.13,4.83,4.83,130,53.09,96.53,51.13,48.26,33.79,1723.9700000000003

63,15:30-15:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,7.72,0,37.29,0.97,37.29,62.74,0,12.43,0,11.82,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,8.69,77.3,24.13,4.83,4.83,119,53.09,96.53,51.13,48.26,33.79,1708.3200000000002

64,15:45-16:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,7.72,0,37.29,0.97,37.29,62.74,0,12.43,0,11.82,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,8.69,72.02,24.13,4.83,4.83,105,53.09,96.53,51.13,48.26,33.79,1689.0400000000002

65,16:00-16:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,53.09,28.96,7.72,4.83,37.29,0.82,37.29,62.74,24.13,12.43,96.53,11.64,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,5.79,66.28,0,0,0,116,0,0,51.13,0,33.79,1691.07

66,16:15-16:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,53.09,28.96,7.72,4.83,37.29,0.82,37.29,62.74,24.13,12.43,96.53,11.64,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,5.79,60.06,0,0,0,102,0,0,51.13,0,33.79,1670.85

67,16:30-16:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,53.09,28.96,8.69,4.83,37.29,0.82,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,5.79,53.38,0,0,0,88,0,0,51.13,0,33.79,1652.2500000000005

68,16:45-17:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,53.09,28.96,8.69,4.83,37.29,0.82,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,5.79,46.32,0,0,0,74,0,0,51.13,0,33.79,1631.1900000000003

69,17:00-17:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,0,39.16,0,0,0,60,0,0,51.13,0,33.79,1551.01

70,17:15-17:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,0,32.43,0,0,0,42,0,0,51.13,0,33.79,1526.28

71,17:30-17:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,0,26.51,0,0,0,28,0,0,102.25,0,0,1523.6899999999998

72,17:45-18:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,48.26,0,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,0,20.86,0,0,0,14,0,0,102.25,0,0,1504.0399999999997

73,18:00-18:15,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,26.61,48.26,164.1,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.61,135.14,0,15.59,0,0,0,11,0,0,162.7,0,0,1708.8999999999996

74,18:15-18:30,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,26.61,48.26,164.1,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,26.61,135.14,0,10.58,0,0,0,4,0,0,162.7,0,0,1696.8899999999996

75,18:30-18:45,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,25.7,135.14,0,6.55,0,0,0,1,0,0,162.7,0,0,1691.8399999999997

76,18:45-19:00,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,8.69,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,25.7,135.14,0,1.94,0,0,0,0,0,0,162.7,0,0,1686.2299999999998

77,19:00-19:15,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,8.69,4.83,37.29,0.72,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0.84,0,0,0,0,0,0,162.7,0,0,1688.9700000000003

78,19:15-19:30,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,8.69,4.83,37.29,0.72,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1688.1300000000003

79,19:30-19:45,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,8.69,4.83,37.29,0.72,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1688.1300000000003

80,19:45-20:00,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,7.72,4.83,37.29,0.72,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1687.16

81,20:00-20:15,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,7.72,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1687.2100000000003

82,20:15-20:30,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,7.72,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1687.2100000000003

83,20:30-20:45,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,7.72,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1687.2100000000003

84,20:45-21:00,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,6.76,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,162.7,0,0,1686.2500000000002

85,21:00-21:15,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,6.76,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,108.46,0,0,1632.0100000000002

86,21:15-21:30,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,6.76,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1574.6800000000003

87,21:30-21:45,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,6.76,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1574.6800000000003

88,21:45-22:00,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,6.76,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1574.6800000000003

89,22:00-22:15,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,5.79,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1573.71

90,22:15-22:30,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,5.79,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1573.71

91,22:30-22:45,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,5.79,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1573.71

92,22:45-23:00,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,5.79,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1573.71

93,23:00-23:15,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,5.79,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1573.71

94,23:15-23:30,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1572.75

95,23:30-23:45,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1572.75

96,23:45-24:00,13.51,5.79,29.01,19.31,5.79,14.48,10.62,14.48,28.96,67.57,0,164.1,0,123.08,28.96,29.5,48.26,164.1,0,28.96,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,12.75,4.83,86.88,77.22,0,0,12.43,48.26,37.29,29.5,135.14,0,0,0,0,0,0,0,0,51.13,0,0,1572.75

