Time,Block,NR/2023/11955/F,NR/2023/13014/D,NR/2023/11958/F,NR/2023/10611/A,NR/2023/10223/A,NR/2023/11947/F,NR/2023/11284/A,NR/2023/13031/C,NR/2023/10434/A,NR/2023/11961/F,NR/2023/11642/A,NR/2023/11862/F,NR/2023/11643/A,NR/2023/10344/A,NR/2023/10236/A,NR/2023/10613/A,NR/2023/10229/A,NR/2023/11963/F,NR/2023/11956/F,NR/2023/12656/F,NR/2023/11476/A,NR/2023/10487/A,NR/2023/13022/C,NR/2023/11342/A,NR/2023/11941/F,NR/2023/12903/F,NR/2023/13024/C,NR/2023/11959/F,NR/2023/11957/F,NR/2023/11960/F,NR/2023/10173/A,NR/2023/11962/F,NR/2023/11640/A,NR/2023/11952/F,NR/2023/11330/A,NR/2023/10944/A,ER/2023/7928/C,ER/2023/7930/C,ER/2023/7951/C,NR/2023/13018/D,NR/2023/13016/D,NR/2023/13020/D,Total
53,13:00-13:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,79.5,7.26,185.5,1245.98

54,13:15-13:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,79.5,8.22,185.5,1246.94

55,13:30-13:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,79.5,8.79,185.5,1247.51

56,13:45-14:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,79.5,8.08,185.5,1246.8

57,14:00-14:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,78,7.77,182,1340.23

58,14:15-14:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,78,7.77,182,1340.23

59,14:30-14:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,73.5,7.26,171.5,1324.72

60,14:45-15:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,32.610000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,69.3,7.26,161.7,1310.72

61,15:00-15:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.980000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,33.630000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.7,7.26,153.3,1169.93

62,15:15-15:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.980000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,33.630000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63,6.39,147,1160.06

63,15:30-15:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.980000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,33.630000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.9,6.43,135.1,1143.1

64,15:45-16:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.980000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,33.630000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.6,5.51,120.4,1121.18

65,16:00-16:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.1,4.64,109.9,1107.44

66,16:15-16:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.2,4.74,100.8,1094.54

67,16:30-16:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39,4.31,91,1080.11

68,16:45-17:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,23.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.6,3.96,78.4,1061.76

69,17:00-17:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.250000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27,3.78,63,992.41

70,17:15-17:30,0.360000,134.290000,0.560000,9.970000,21.530000,6.770000,33.860000,16.250000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.9,2.9,44.1,1023.26

71,17:30-17:45,0.360000,134.290000,0.560000,9.970000,21.530000,6.770000,33.860000,16.250000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.3,1.94,35.7,1010.3

72,17:45-18:00,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.250000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,35.670000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.2,1.26,30.8,1061.83

73,18:00-18:15,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,10.2,0,23.8,1088.28

74,18:15-18:30,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0,14,1074.28

75,18:30-18:45,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0,7,1064.28

76,18:45-19:00,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.5,0,3.5,1059.28

77,19:00-19:15,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1054.46

78,19:15-19:30,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1054.46

79,19:30-19:45,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1054.46

80,19:45-20:00,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,36.690000,0.660000,0.710000,0.660000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1054.46

81,20:00-20:15,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,34.650000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1052.7

82,20:15-20:30,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,34.650000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1052.7

83,20:30-20:45,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,34.650000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1052.7

84,20:45-21:00,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,34.650000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1052.7

85,21:00-21:15,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,17.180000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1050.86

86,21:15-21:30,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,17.180000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1050.86

87,21:30-21:45,0.360000,193.500000,0.560000,9.970000,21.530000,6.770000,33.860000,17.180000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1050.86

88,21:45-22:00,0.360000,166.220000,0.560000,9.970000,21.530000,6.770000,33.860000,17.180000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,36.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1023.58

89,22:00-22:15,0.360000,166.220000,0.560000,9.970000,21.530000,6.770000,33.860000,17.450000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1222.56

90,22:15-22:30,0.360000,166.220000,0.560000,9.970000,21.530000,6.770000,33.860000,17.450000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1222.56

91,22:30-22:45,0.360000,166.220000,0.560000,9.970000,21.530000,6.770000,33.860000,17.450000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1222.56

92,22:45-23:00,0.360000,166.220000,0.560000,9.970000,21.530000,6.770000,33.860000,17.450000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1222.56

93,23:00-23:15,0.360000,164.480000,0.560000,9.970000,21.530000,6.770000,33.860000,17.640000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1221.01

94,23:15-23:30,0.360000,162.250000,0.560000,9.970000,21.530000,6.770000,33.860000,17.640000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1218.78

95,23:30-23:45,0.360000,162.250000,0.560000,9.970000,21.530000,6.770000,33.860000,17.640000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1218.78

96,23:45-24:00,0.360000,145.510000,0.560000,9.970000,21.530000,6.770000,33.860000,17.640000,24.190000,0.700000,14.510000,2.900000,13.060000,12.000000,236.850000,12.670000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,32.530000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,70.000000,0,0,0,1201.87

