Time,Block,NR/2023/13604/D,NR/2023/10460/A,NR/2023/10488/A,NR/2023/12813/F,NR/2023/13612/C,NR/2023/10432/A,NR/2023/12814/F,NR/2023/10651/A,NR/2023/12923/F,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11447/A,NR/2023/10561/A,NR/2023/13622/C,ER/2023/8358/C,NR/2023/12706/A,NR/2023/13599/D,NR/2023/13472/F,NR/2023/11709/A,NR/2023/10956/A,NR/2023/10959/A,NR/2023/13605/D,NR/2023/12917/F,NR/2023/12924/F,NR/2023/13369/F,NR/2023/11953/A,NR/2023/13315/F,NR/2023/10786/A,NR/2023/10436/A,NR/2023/12922/F,NR/2023/10435/A,NR/2023/13598/D,NR/2023/11712/A,NR/2023/13618/C,NR/2023/10947/A,NR/2023/12916/F,NR/2023/12919/F,NR/2023/11266/A,NR/2023/12872/F,NR/2023/11507/A,NR/2023/10720/A,NR/2023/12915/F,NR/2023/13623/C,NR/2023/12169/A,NR/2023/12921/F,NR/2023/13619/C,NR/2023/13602/D,Total
46,11:15-11:30,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,7.84,1722.23

47,11:30-11:45,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,8.9,1723.29

48,11:45-12:00,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,8.9,1723.29

49,12:00-12:15,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1722.04

50,12:15-12:30,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1722.04

51,12:30-12:45,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1722.04

52,12:45-13:00,178.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1722.04

53,13:00-13:15,178.5,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,50.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1709.06

54,13:15-13:30,178.5,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,50.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1709.06

55,13:30-13:45,178.5,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,50.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,76.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1709.06

56,13:45-14:00,175,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,50.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,75,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,56.130000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1704.06

57,14:00-14:15,175,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,75,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1692.64

58,14:15-14:30,171.5,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,73.5,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,9.58,1687.64

59,14:30-14:45,166.6,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,71.4,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,25.160000,9.58,1705.8

60,14:45-15:00,156.1,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,66.9,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,73.550000,9.58,1739.19

61,15:00-15:15,147,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,63,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,117.090000,7.84,1767.99

62,15:15-15:30,140,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,60,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,147.090000,6.97,1787.12

63,15:30-15:45,129.5,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,55.5,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,175.150000,5.81,1801.05

64,15:45-16:00,123.2,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,52.8,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,56.130000,64.350000,15.990000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,260.310000,5.32,1876.72

65,16:00-16:15,102.9,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,44.1,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,185.800000,5.23,1775.13

66,16:15-16:30,89.6,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,38.4,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,197.410000,4.74,1767.25

67,16:30-16:45,84,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,36,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,196.440000,4.35,1757.89

68,16:45-17:00,70,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,30,0.920000,0.610000,24.190000,0.000000,4.840000,106.450000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,190.640000,2.03,1729.77

69,17:00-17:15,56,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,110.240000,8.230000,0.000000,100.160000,25.040000,24,0.920000,0.610000,0.000000,0.000000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,208.060000,1.94,1587.1

70,17:15-17:30,50.4,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,110.240000,8.230000,0.000000,100.160000,25.040000,21.6,0.920000,0.610000,0.000000,0.000000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,208.060000,1.45,1578.61

71,17:30-17:45,38.5,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,137.670000,8.230000,0.000000,100.160000,25.040000,16.5,0.920000,0.610000,0.000000,0.000000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,189.670000,1.16,1570.36

72,17:45-18:00,28,23.220000,48.380000,62.900000,39.740000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,8.230000,0.000000,100.160000,25.040000,12,0.920000,0.610000,0.000000,0.000000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,166.440000,0.68,1536.35

73,18:00-18:15,21,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,8.230000,0.000000,100.160000,25.040000,9,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,216.760000,0.48,1611.04

74,18:15-18:30,21,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,8.230000,0.000000,100.160000,25.040000,9,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,176.120000,0,1569.92

75,18:30-18:45,21,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,8.230000,0.000000,100.160000,25.040000,9,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,118.060000,0,1511.86

76,18:45-19:00,14,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,6,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,12.460000,0.000000,64.350000,16.260000,0.000000,0.520000,0.970000,59.850000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,14.520000,0,1398.31

77,19:00-19:15,7,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,3,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.350000,0.000000,0.520000,0.970000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,68.710000,0,1441.41

78,19:15-19:30,3.5,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,1.5,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.350000,0.000000,0.520000,0.970000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,74.510000,0,1442.21

79,19:30-19:45,0,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.350000,0.000000,0.520000,0.970000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,96.770000,0,1459.47

80,19:45-20:00,0,23.220000,48.380000,62.900000,37.710000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.350000,0.000000,0.520000,0.970000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,40.640000,0,1403.34

81,20:00-20:15,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.540000,0.000000,0.520000,0.920000,59.850000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,135.480000,0,1497.24

82,20:15-20:30,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.540000,0.000000,0.520000,0.920000,59.850000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,129.670000,0,1491.43

83,20:30-20:45,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.540000,0.000000,0.520000,0.920000,59.850000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,191.600000,0,1553.36

84,20:45-21:00,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,48.380000,24.190000,1.020000,11.230000,0.000000,64.350000,16.540000,0.000000,0.520000,0.920000,59.850000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,238.050000,0,1599.81

85,21:00-21:15,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.720000,0.000000,0.520000,0.920000,51.630000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,279.670000,0,1685.17

86,21:15-21:30,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.720000,0.000000,0.520000,0.920000,51.630000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,337.730000,0,1743.23

87,21:30-21:45,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.720000,0.000000,0.520000,0.920000,59.850000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,396.760000,0,1802.25

88,21:45-22:00,0,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,142.370000,0.000000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.720000,0.000000,0.520000,0.920000,59.850000,0.770000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,456.750000,0,1862.24

89,22:00-22:15,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,96.770000,0.000000,6.770000,142.370000,0.000000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,343.530000,0,1945.5

90,22:15-22:30,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,96.770000,0.000000,6.770000,142.370000,0.000000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,390.950000,0,1992.92

91,22:30-22:45,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,130.640000,0.000000,6.770000,142.370000,0.000000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,59.850000,0.730000,300.460000,23.710000,0.370000,19.350000,54.190000,0.930000,403.530000,0,2058.72

92,22:45-23:00,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,159.670000,0.000000,6.770000,86.560000,0.000000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,59.850000,0.730000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,364.820000,0,1973.88

93,23:00-23:15,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,96.770000,0.000000,6.770000,86.560000,0.000000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,59.850000,0.630000,300.460000,23.710000,0.370000,62.900000,54.190000,0.930000,479.980000,0,2088.94

94,23:15-23:30,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,96.770000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,51.630000,0.630000,300.460000,23.710000,0.370000,62.900000,54.190000,0.930000,474.170000,0,2083.14

95,23:30-23:45,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,96.770000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,51.630000,0.630000,300.460000,23.710000,0.370000,62.900000,54.190000,0.930000,460.630000,0,2069.6

96,23:45-24:00,0,23.220000,48.380000,62.900000,35.670000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,96.770000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,91.930000,24.190000,1.020000,11.230000,0.000000,64.350000,16.910000,23.220000,0.520000,0.920000,51.630000,0.630000,300.460000,23.710000,0.370000,62.900000,54.190000,0.930000,437.400000,0,2046.37

