Column1,Block,NR/2025/32599/A/99156,NR/2025/32535/A/99502,NR/2025/32535/A/99501,NR/2025/32532/A/99496,NR/2025/32532/A/99498,NR/2025/32534/A/99499,NR/2025/33637/A/99473,NR/2025/33632/A/99476,NR/2025/32534/A/99500,NR/2025/33633/A/99475,GNARE/NR/2024/12/20/3668,NR/2025/34222/C,GNA/NR/2025/08/01/4452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/2025/34236/C,NR/2025/34237/C,NR/2025/34173/C,NR/2025/34239/C,GNA/NR/2025/08/01/1196,NR/2025/34219/C,NR/2025/34174/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33469/A/99131,NR/2025/32556/A/99413,NR/2025/33670/A/99539,NR/2025/32397/A/99061,NR/2025/32455/A/99520,NR/2025/34215/C,NR/2025/34216/C,NR/2025/29440/A/99032,NR/2025/32559/A/99412,NR/2025/31421/A/99582,NR/2025/31045/A/99447,NR/2025/32610/A/99411,NR/2025/31043/A/99446,NR/2025/32375/A/99579,NR/2025/34191/C,NR/2025/31049/A/99450,NR/2025/32004/A/99416,NR/2025/31048/A/99448,NR/2025/34175/C,NR/2025/29992/A/99396,NR/2025/33656/A/99451,NR/2025/32262/A/99068,NR/2025/34211/C,Total
53,13:00-13:15,49,0.39,0.16,0.42,0.14,0.29,1.64,1.16,0.1,1.45,82.74,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1355.68

54,13:15-13:30,49,0.39,0.19,0.48,0.25,0.29,1.64,1.16,0.16,1.45,82.49,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1355.69

55,13:30-13:45,49,0.19,0.19,0.48,0.28,0.29,1.64,1.16,0.19,1.45,79.82,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1352.88

56,13:45-14:00,49,0.18,0.19,0.48,0.28,0.29,1.64,1.16,0.18,1.45,78.57,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1351.6100000000001

57,14:00-14:15,63,0,0.11,0.26,0,0.29,1.64,1.16,0,1.45,77.74,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1556.9

58,14:15-14:30,63,0.01,0.1,0.24,0.01,0.12,1.64,1.16,0.01,1.45,75.71,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1554.7

59,14:30-14:45,84,0,0.1,0.06,0,0.04,1.64,1.16,0,1.45,72.6,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1572.3000000000002

60,14:45-15:00,81,0.04,0.1,0.29,0.68,0.07,1.64,1.16,0.05,1.45,68.94,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1566.67

61,15:00-15:15,84,0.02,0.1,0.29,0.68,0.19,1.64,1.16,0.03,1.45,58.62,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1561.39

62,15:15-15:30,81,0.04,0.1,0.29,0.68,0.19,1.64,1.16,0.04,1.45,55.56,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1555.3600000000001

63,15:30-15:45,84,0.16,0.1,0.29,0.68,0.19,1.64,1.16,0.21,1.45,40,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,19.22,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1543.5500000000002

64,15:45-16:00,81,0.12,0.1,0.29,0.68,0.19,1.64,1.16,0.15,1.45,38.33,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,96.53,19.22,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,96.53,44.4,0,0,76.86,1538.7800000000002

65,16:00-16:15,88,0.11,0.1,0.29,0.68,0.12,0,0,0.39,0,40.33,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,0,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1543.59

66,16:15-16:30,84,0.09,0.1,0.29,0.68,0.1,0,0,0.39,0,37.4,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,0,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1536.62

67,16:30-16:45,67,0.02,0.1,0.29,0.68,0.09,0,0,0.39,0,38.01,10.8,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,0,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1520.15

68,16:45-17:00,60,0,0.1,0.29,0.68,0.09,0,0,0.39,0,33.59,8.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,0,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1506.75

69,17:00-17:15,53,0,0.1,0.29,0.68,0.11,0,0,0.39,0,28.98,8.19,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,8.69,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1503.1999999999998

70,17:15-17:30,46,0,0.07,0.29,0.68,0.14,0,0,0.39,0,26.74,7.91,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,8.69,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1493.6799999999998

71,17:30-17:45,39,0,0.08,0.29,0.68,0.15,0,0,0.39,0,20.49,7.72,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,8.69,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1480.2599999999998

72,17:45-18:00,28,0,0.08,0.24,0,0.08,0,0,0.39,0,15.49,7.79,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,19.22,13.51,24.13,82.05,8.69,0,0,0,0.87,24.13,48.26,96.53,24.13,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1463.5299999999997

73,18:00-18:15,21,0,0.06,0.17,0,0.06,0,0,0.39,0,11.94,8.61,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,19.22,13.51,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1471.7199999999998

74,18:15-18:30,14,0,0.04,0.13,0,0.04,0,0,0.39,0,8.41,6.26,0,0,96.53,0,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,19.22,13.51,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1444.1399999999999

75,18:30-18:45,7,0,0.03,0.08,0,0.03,0,0,0.39,0,3.16,4.08,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,19.22,13.51,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1444.2599999999998

76,18:45-19:00,5,0,0.01,0.03,0,0.02,0,0,0.39,0,1.34,2.62,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,19.22,13.51,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1438.8999999999999

77,19:00-19:15,1,0,0,0,0,0,0,0,0,0,0.78,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1426.2399999999998

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1424.7599999999998

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1424.5299999999997

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,0,0,1424.4599999999998

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,54.3,0,1478.7599999999998

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,54.3,0,1478.7599999999998

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,54.3,0,1478.7599999999998

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,76.86,0,0,44.4,164.1,54.3,0,1478.7599999999998

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1508.08

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1508.08

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1508.08

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1508.08

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1508.08

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,13.51,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1508.08

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,12.55,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1507.12

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,12.55,43.87,82.05,8.69,48.26,0,0,0.92,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1507.12

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,12.55,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1507.07

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,12.55,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1507.07

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,12.55,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1507.07

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,0,0,0,14.14,12.55,43.87,82.05,8.69,48.26,0,0,0.87,43.87,48.26,96.53,37.3,0,48.26,14.48,96.53,106.18,0,0,44.4,164.1,54.3,0,1507.07

