Time,Block,NR/2023/14745/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/14746/A,NR/2023/15402/F,NR/2023/15535/D,NR/2023/12168/A,NR/2023/15309/F,NR/2023/15303/F,NR/2023/14737/A,NR/2023/15538/D,NR/2023/12148/A,NR/2023/12053/A,NR/2023/15304/F,NR/2023/12347/A,NR/2023/15306/F,NR/2023/15412/F,NR/2023/14895/A,NR/2023/12591/A,NR/2023/13862/A,NR/2023/15296/F,NR/2023/12052/A,NR/2023/12167/A,NR/2023/15562/C,NR/2023/12431/A,NR/2023/15546/C,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15549/C,NR/2023/15560/C,NR/2023/12422/A,ER/2023/9578/C,NR/2023/15537/D,Total
67,16:30-16:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,2,1084.26

68,16:45-17:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,1.01,1083.27

69,17:00-17:15,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,27.060000,108.730000,9.080000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,0.38,991.79

70,17:15-17:30,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,35.760000,108.730000,9.080000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,0.71,1000.82

71,17:30-17:45,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,44.460000,108.730000,9.080000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,0.78,1009.59

72,17:45-18:00,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,38.660000,108.730000,9.080000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,0.61,1003.62

73,18:00-18:15,0.000000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,56.060000,108.730000,9.080000,0.870000,85.030000,18.220000,0.000000,0.000000,0.000000,0.7,1039

74,18:15-18:30,0.000000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,51.220000,108.730000,9.080000,0.870000,85.030000,18.220000,0.000000,0.000000,0.000000,0.5,1033.96

75,18:30-18:45,0.000000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,52.190000,108.730000,9.080000,0.870000,85.030000,18.220000,0.000000,0.000000,0.000000,0.23,1034.66

76,18:45-19:00,0.000000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,62.820000,108.730000,9.080000,0.870000,85.030000,18.220000,0.000000,0.000000,0.000000,0,1045.06

77,19:00-19:15,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,9.080000,0.920000,85.030000,18.220000,58.960000,0.000000,0.000000,0,1061.55

78,19:15-19:30,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,9.080000,0.920000,85.030000,18.220000,83.120000,0.000000,0.000000,0,1085.71

79,19:30-19:45,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,9.080000,0.920000,85.030000,18.220000,120.810000,0.000000,0.000000,0,1123.4

80,19:45-20:00,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,9.080000,0.920000,85.030000,18.220000,153.670000,0.000000,0.000000,0,1156.26

81,20:00-20:15,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,8.070000,0.920000,85.030000,18.220000,186.530000,0.000000,0.000000,0,1188.11

82,20:15-20:30,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,8.070000,0.920000,85.030000,18.220000,215.530000,0.000000,0.000000,0,1217.11

83,20:30-20:45,0.000000,21.260000,77.320000,0.000000,0.000000,22.230000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,8.070000,0.920000,85.030000,18.220000,247.420000,0.000000,0.000000,0,1249

84,20:45-21:00,0.000000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,48.320000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,16.430000,108.730000,8.070000,0.920000,85.030000,18.220000,287.050000,0.000000,0.000000,0,1266.4

85,21:00-21:15,0.000000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,26.100000,108.730000,8.070000,0.920000,85.030000,18.220000,317.980000,0.000000,0.000000,0,1350.5

86,21:15-21:30,0.000000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,26.100000,108.730000,8.070000,0.920000,85.030000,18.220000,347.940000,0.000000,0.000000,0,1380.46

87,21:30-21:45,0.000000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,26.100000,108.730000,8.070000,0.920000,85.030000,18.220000,391.430000,0.000000,0.000000,0,1423.95

88,21:45-22:00,0.000000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,26.100000,108.730000,6.050000,0.920000,85.030000,18.220000,428.160000,0.000000,0.000000,0,1458.66

89,22:00-22:15,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,45.430000,108.730000,6.050000,0.920000,85.030000,18.220000,352.770000,36.820000,0.000000,0,1548.47

90,22:15-22:30,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,45.430000,108.730000,6.050000,0.920000,85.030000,18.220000,381.770000,36.820000,0.000000,0,1577.47

91,22:30-22:45,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.920000,85.030000,18.220000,401.100000,36.820000,0.000000,0,1616.13

92,22:45-23:00,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.920000,85.030000,18.220000,409.800000,36.820000,0.000000,0,1624.83

93,23:00-23:15,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,410.760000,36.820000,0.000000,0,1625.74

94,23:15-23:30,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,393.370000,36.820000,0.000000,0,1608.35

95,23:30-23:45,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,370.170000,36.820000,0.000000,0,1585.15

96,23:45-24:00,0.000000,21.260000,77.320000,85.920000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,91.820000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.870000,85.030000,18.220000,338.280000,36.820000,0.000000,0,1553.26

