Time,Block,NR/2023/14767/D,NR/2023/13283/A,NR/2023/11739/A,NR/2023/13983/F,NR/2023/11325/A,NR/2023/11203/A,NR/2023/14766/D,NR/2023/11524/A,NR/2023/14770/D,NR/2023/11315/A,NR/2023/14779/C,NR/2023/11469/A,NR/2023/11521/A,NR/2023/12646/A,NR/2023/14785/C,NR/2023/11697/A,NR/2023/11264/A,NR/2023/14136/F,NR/2023/11654/A,NR/2023/13284/A,NR/2023/13859/A,NR/2023/11458/A,NR/2023/11892/A,NR/2023/11954/A,NR/2023/13858/A,NR/2023/11204/A,NR/2023/11328/A,NR/2023/14778/C,ER/2023/9054/C,NR/2023/14765/D,NR/2023/14768/D,NR/2023/13573/A,NR/2023/11205/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14187/F,NR/2023/13283/A/II,WR/2023/17189/C,NR/2023/13983/F/II,Total
57,14:00-14:15,168,24.120000,42.430000,0.000000,24.120000,62.940000,72,192.920000,5.55,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1894.26

58,14:15-14:30,161,24.120000,42.430000,0.000000,24.120000,62.940000,69,192.920000,5.31,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1884.02

59,14:30-14:45,154,24.120000,42.430000,0.000000,24.120000,62.940000,66,192.920000,4.63,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1894.34

60,14:45-15:00,150.5,24.120000,42.430000,0.000000,24.120000,62.940000,64.5,192.920000,3.86,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1888.57

61,15:00-15:15,140,24.120000,42.430000,0.000000,24.120000,62.940000,60,192.920000,3.47,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1873.18

62,15:15-15:30,136.5,24.120000,42.430000,0.000000,24.120000,62.940000,58.5,192.920000,2.89,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1867.6

63,15:30-15:45,126,24.120000,42.430000,0.000000,24.120000,62.940000,54,192.920000,2.32,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1852.03

64,15:45-16:00,112,24.120000,42.430000,0.000000,24.120000,62.940000,48,192.920000,2.12,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1831.83

65,16:00-16:15,105,24.120000,42.430000,0.000000,24.120000,62.940000,45,192.920000,1.93,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1824.4

66,16:15-16:30,93.8,24.120000,42.430000,0.000000,24.120000,62.940000,40.2,192.920000,1.91,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1808.38

67,16:30-16:45,84,24.120000,42.430000,0.000000,24.120000,62.940000,36,192.920000,1.84,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1794.31

68,16:45-17:00,73.5,24.120000,42.430000,0.000000,24.120000,62.940000,31.5,192.920000,1.45,22.190000,5.790000,84.870000,48.230000,23.080000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,106.110000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1778.92

69,17:00-17:15,61.6,24.120000,42.430000,0.000000,24.120000,62.940000,26.4,192.920000,1.16,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,0.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1576.55

70,17:15-17:30,49,24.120000,42.430000,0.000000,24.120000,62.940000,21,192.920000,1.08,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1540.14

71,17:30-17:45,42,24.120000,42.430000,0.000000,24.120000,62.940000,18,192.920000,0.48,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1529.54

72,17:45-18:00,35,24.120000,42.430000,0.000000,24.120000,62.940000,15,192.920000,0.19,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.750000,21.220000,0.000000,3.860000,0.000000,30.000000,0.820000,1519.25

73,18:00-18:15,31.5,0.000000,42.430000,0.000000,24.120000,62.940000,13.5,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.870000,1599.18

74,18:15-18:30,24.5,0.000000,42.430000,0.000000,24.120000,62.940000,10.5,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.870000,1589.18

75,18:30-18:45,21,0.000000,42.430000,0.000000,24.120000,62.940000,9,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.870000,1584.18

76,18:45-19:00,14,0.000000,42.430000,0.000000,24.120000,62.940000,6,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.870000,1574.18

77,19:00-19:15,7,0.000000,42.430000,0.000000,24.120000,62.940000,3,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1564.23

78,19:15-19:30,4.2,0.000000,42.430000,0.000000,24.120000,62.940000,1.8,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1560.23

79,19:30-19:45,1.4,0.000000,42.430000,0.000000,24.120000,62.940000,0.6,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1556.23

80,19:45-20:00,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1554.23

81,20:00-20:15,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1554.23

82,20:15-20:30,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1554.23

83,20:30-20:45,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1554.23

84,20:45-21:00,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,48.230000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1554.23

85,21:00-21:15,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,91.640000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1597.64

86,21:15-21:30,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,91.640000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1597.64

87,21:30-21:45,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,91.640000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.770000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1597.64

88,21:45-22:00,0,0.000000,42.430000,0.000000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,91.640000,66.270000,36.390000,77.170000,14.230000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,15.810000,21.220000,0.000000,3.860000,0.000000,30.000000,0.920000,1597.68

89,22:00-22:15,0,0.000000,42.430000,0.350000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,30.000000,0.570000,1997.89

90,22:15-22:30,0,0.000000,42.430000,0.350000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,30.000000,0.570000,1997.89

91,22:30-22:45,0,0.000000,42.430000,0.350000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,30.000000,0.570000,1997.89

92,22:45-23:00,0,0.000000,42.430000,0.350000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,53.050000,231.610000,21.220000,0.000000,3.860000,0.000000,30.000000,0.570000,1997.89

93,23:00-23:15,0,0.000000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,51.770000,231.610000,21.220000,1.280000,3.860000,0.000000,30.000000,0.000000,1997.84

94,23:15-23:30,0,0.000000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,51.770000,231.610000,21.220000,1.280000,3.860000,0.000000,30.000000,0.000000,1997.84

95,23:30-23:45,0,0.000000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,51.770000,231.610000,21.220000,1.280000,3.860000,0.000000,30.000000,0.000000,1997.84

96,23:45-24:00,0,0.000000,42.430000,0.870000,24.120000,62.940000,0,192.920000,0,22.190000,5.790000,84.870000,48.230000,23.080000,0.000000,27.780000,21.510000,0.000000,257.550000,64.820000,177.970000,91.640000,66.270000,36.390000,77.170000,82.960000,48.230000,5.450000,0.000000,192.920000,0.000000,51.770000,231.610000,21.220000,1.280000,3.860000,0.000000,30.000000,0.000000,1997.84

