Column1,Block,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/2025/25752/A/67801,NR/2025/26346/C,GNARE/NR/2024/12/20/3668,NR/2025/26334/C,NR/2025/26342/C,NR/2025/26354/C,NR/2025/26355/C,NR/2025/26085/A/67745,NR/2025/25955/A/68192,NR/2025/26358/C,NR/2025/25945/A/68196,WR/2025/27361/A/68204,NR/2025/26324/C,NR/2025/25948/A/68193,WR/2025/27350/A/67901,NR/2025/25947/A/68195,NR/2025/26343/C,NR/2025/26031/A/67951,Total
77,19:00-19:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,12.26,50,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0.6,28.71,2.6,49.51,0,0.72,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,19.36,6.74,1085.39

78,19:15-19:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,12.26,50,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,28.71,2.6,49.51,0,0.72,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,19.36,6.74,1084.79

79,19:30-19:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,12.26,50,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,28.71,2.5,49.51,0,0.72,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,19.36,6.74,1084.69

80,19:45-20:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,12.26,50,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,28.71,2.5,49.51,0,0.72,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,19.27,6.74,1084.6000000000001

81,20:00-20:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.19,50,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,28.71,2.5,49.51,48.65,0.67,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,16.67,5.78,1130.57

82,20:15-20:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.19,50,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,28.71,3.08,49.51,48.65,0.67,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,15.61,5.78,1130.0899999999997

83,20:30-20:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.19,50,9.63,1.93,43.78,32,48.16,72.25,0,10.89,0,28.71,3.66,49.51,48.65,0.67,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,15.12,5.78,1131.4399999999996

84,20:45-21:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.19,50,9.63,1.93,43.78,32,48.16,72.25,0,13.29,0,28.71,4.24,49.51,48.65,0.67,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,14.93,5.78,1134.2299999999998

85,21:00-21:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,16.28,0,28.71,4.82,49.51,48.65,0,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,14.74,5.78,1137.3899999999999

86,21:15-21:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.13,0,28.71,6.07,49.51,48.65,0,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,14.64,5.78,1142.3899999999999

87,21:30-21:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,7.32,49.51,48.65,0,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,14.45,5.78,1144.2199999999998

88,21:45-22:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,8.67,49.51,48.65,0,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,14.35,5.78,1145.4699999999996

89,22:00-22:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,9.92,49.51,48.65,0,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,15.32,4.82,1146.7299999999996

90,22:15-22:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,12.23,49.51,48.65,0,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,15.7,4.82,1149.4199999999998

91,22:30-22:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,14.45,49.51,48.65,0,29.02,96.33,43.78,24.08,175.32,14.59,0,43.78,15.61,4.82,1122.6499999999996

92,22:45-23:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,16.67,49.51,48.65,0,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,15.51,4.82,1115.1399999999996

93,23:00-23:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,18.98,49.51,48.65,0.63,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,15.22,3.85,1116.8199999999997

94,23:15-23:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.9,0,28.71,18.98,49.51,48.65,0.63,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,15.03,3.85,1116.6299999999997

95,23:30-23:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,20.33,0,28.71,18.98,49.51,48.65,0.63,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,14.74,3.85,1115.7699999999998

96,23:45-24:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,0,9.63,13.64,50,9.63,1.93,43.78,32,48.16,72.25,0,19.94,0,28.71,18.98,49.51,48.65,0.63,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,14.35,3.85,1114.9899999999998

