Time,Block,NR/2023/12661/A,NR/2023/12920/F,NR/2023/12169/A,NR/2023/12872/F,NR/2023/11447/A,NR/2023/10786/A,NR/2023/10488/A,NR/2023/12916/F,NR/2023/12813/F,ER/2023/8328/C,NR/2023/13577/C,NR/2023/10651/A,NR/2023/12706/A,NR/2023/12924/F,NR/2023/13585/C,NR/2023/13591/C,NR/2023/13558/D,NR/2023/11709/A,NR/2023/12917/F,NR/2023/10435/A,NR/2023/10436/A,NR/2023/10720/A,NR/2023/11507/A,NR/2023/13568/D,NR/2023/10432/A,NR/2023/11712/A,NR/2023/11953/A,NR/2023/12921/F,NR/2023/13589/C,NR/2023/13369/F,NR/2023/10460/A,NR/2023/13574/C,NR/2023/10947/A,NR/2023/12919/F,NR/2023/12922/F,NR/2023/11266/A,NR/2023/13570/D,NR/2023/10561/A,NR/2023/12915/F,NR/2023/10956/A,NR/2023/13315/F,NR/2023/12814/F,NR/2023/10959/A,NR/2023/12923/F,NR/2023/13472/F,NR/2023/13586/C,NR/2023/13560/D,Total
46,11:15-11:30,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1711.47

47,11:30-11:45,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1711.47

48,11:45-12:00,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1711.47

49,12:00-12:15,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,40.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1701.47

50,12:15-12:30,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,40.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1701.47

51,12:30-12:45,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,40.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1701.47

52,12:45-13:00,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,40.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1701.47

53,13:00-13:15,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1663.51

54,13:15-13:30,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1663.51

55,13:30-13:45,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,185.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,79.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1663.51

56,13:45-14:00,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,182,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,78,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1658.51

57,14:00-14:15,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,178.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,76.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1692.17

58,14:15-14:30,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,175,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,75,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1687.17

59,14:30-14:45,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,168,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,72,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1677.17

60,14:45-15:00,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,157.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,67.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1662.17

61,15:00-15:15,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,150.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,64.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1653.19

62,15:15-15:30,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,143.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,61.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1643.19

63,15:30-15:45,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,38.710000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,131.6,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,56.4,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1664.9

64,15:45-16:00,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,57.090000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,123.2,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,52.8,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1671.28

65,16:00-16:15,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,53.220000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,110.6,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,47.4,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1651.34

66,16:15-16:30,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,62.900000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,96.6,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,41.4,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1641.02

67,16:30-16:45,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,58.060000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,88.2,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,37.8,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1624.18

68,16:45-17:00,62.900000,0.980000,0.000000,0.970000,14.960000,106.450000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,43.550000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,77,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,33,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1593.67

69,17:00-17:15,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,53.220000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,63,43.550000,64.350000,0.000000,0.980000,13.210000,0.000000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,27,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1424.4

70,17:15-17:30,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,48.380000,0.000000,110.240000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,56,43.550000,64.350000,0.000000,0.980000,13.210000,0.000000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,24,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1433.24

71,17:30-17:45,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,33.870000,0.000000,110.240000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,42,43.550000,64.350000,0.000000,0.980000,13.210000,0.000000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,18,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1398.73

72,17:45-18:00,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,9.680000,0.000000,110.240000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,31.5,43.550000,64.350000,0.000000,0.980000,13.210000,0.000000,23.220000,38.730000,0.000000,0.970000,1.020000,51.630000,13.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1359.54

73,18:00-18:15,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,28,43.550000,64.350000,36.510000,0.980000,16.170000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,12,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1415.44

74,18:15-18:30,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,21,43.550000,64.350000,36.510000,0.980000,16.170000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,9,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1405.44

75,18:30-18:45,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,21,43.550000,64.350000,36.510000,0.980000,16.170000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,51.630000,9,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1405.44

76,18:45-19:00,62.900000,0.980000,0.000000,0.680000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,14,43.550000,64.350000,36.510000,0.980000,16.170000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,59.850000,6,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1395.43

77,19:00-19:15,62.900000,0.980000,0.000000,0.730000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,7,43.550000,64.350000,36.510000,0.980000,16.350000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,59.850000,3,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1385.66

78,19:15-19:30,62.900000,0.980000,0.000000,0.730000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,3.5,43.550000,64.350000,36.510000,0.980000,16.350000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,59.850000,1.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1380.66

79,19:30-19:45,62.900000,0.980000,0.000000,0.730000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.980000,16.350000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1375.66

80,19:45-20:00,62.900000,0.980000,0.000000,0.730000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.980000,16.350000,0.000000,23.220000,37.710000,0.000000,0.970000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1375.66

81,20:00-20:15,62.900000,0.930000,0.000000,0.770000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.540000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1373.7

82,20:15-20:30,62.900000,0.930000,0.000000,0.770000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,16.450000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.540000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1390.15

83,20:30-20:45,62.900000,0.930000,0.000000,0.770000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,79.350000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.540000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1453.05

84,20:45-21:00,62.900000,0.930000,0.000000,0.770000,14.960000,48.380000,48.380000,0.520000,62.900000,0.000000,127.740000,63.140000,6.770000,0.610000,0.000000,0.000000,142.370000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.540000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1501.44

85,21:00-21:15,62.900000,0.930000,0.000000,0.770000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,174.190000,63.140000,6.770000,0.610000,0.000000,0.000000,122.640000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.720000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1571.9

86,21:15-21:30,62.900000,0.930000,0.000000,0.770000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,235.150000,63.140000,6.770000,0.610000,0.000000,0.000000,110.240000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.720000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1620.46

87,21:30-21:45,62.900000,0.930000,0.000000,0.770000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,296.120000,63.140000,6.770000,0.610000,0.000000,0.000000,110.240000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.720000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1681.42

88,21:45-22:00,62.900000,0.930000,0.000000,0.770000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,359.980000,63.140000,6.770000,0.610000,0.000000,0.000000,110.240000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.720000,0.000000,23.220000,35.670000,0.000000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,29.030000,0.000000,1774.31

89,22:00-22:15,62.900000,0.930000,54.190000,0.730000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,346.440000,63.140000,6.770000,0.610000,0.000000,14.520000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,19.350000,0.000000,1841.64

90,22:15-22:30,62.900000,0.930000,54.190000,0.730000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,381.270000,63.140000,6.770000,0.610000,14.520000,20.320000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,43.550000,0.000000,1920.99

91,22:30-22:45,62.900000,0.930000,54.190000,0.730000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,347.400000,63.140000,6.770000,0.610000,96.770000,45.480000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,43.550000,0.000000,1994.53

92,22:45-23:00,62.900000,0.930000,54.190000,0.730000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,317.410000,63.140000,6.770000,0.610000,159.670000,45.480000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,0.000000,0.000000,1983.89

93,23:00-23:15,62.900000,0.930000,54.190000,0.630000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,509.010000,63.140000,6.770000,0.610000,0.000000,45.480000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,59.850000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,0.000000,77.420000,0.000000,2093.14

94,23:15-23:30,62.900000,0.930000,54.190000,0.630000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,504.170000,63.140000,6.770000,0.610000,0.000000,45.480000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,91.930000,0.000000,2102.82

95,23:30-23:45,62.900000,0.930000,54.190000,0.630000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,491.590000,63.140000,6.770000,0.610000,0.000000,45.480000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,101.610000,0.000000,2099.92

96,23:45-24:00,62.900000,0.930000,54.190000,0.630000,14.960000,91.930000,48.380000,0.520000,62.900000,0.000000,468.370000,63.140000,6.770000,0.610000,0.000000,45.480000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,34.650000,23.220000,0.920000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,106.450000,0.000000,2081.54

