Time,Block,NR/2023/12685/D,NR/2023/10944/A,NR/2023/11947/F,NR/2023/10611/A,NR/2023/12688/D,NR/2023/11284/A,NR/2023/12697/C,ER/2023/7718/C,NR/2023/11862/F,NR/2023/10487/A,NR/2023/11941/F,NR/2023/10434/A,NR/2023/11963/F,NR/2023/12686/D,NR/2023/12705/C,NR/2023/11962/F,NR/2023/11955/F,NR/2023/12693/C,NR/2023/12704/C,NR/2023/11330/A,NR/2023/12687/D,NR/2023/10229/A,NR/2023/12701/C,NR/2023/11952/F,NR/2023/10223/A,NR/2023/11961/F,NR/2023/11642/A,NR/2023/11342/A,ER/2023/7716/C,NR/2023/11956/F,NR/2023/11958/F,NR/2023/11960/F,NR/2023/11476/A,NR/2023/11957/F,NR/2023/11959/F,NR/2023/10613/A,NR/2023/11643/A,NR/2023/10344/A,NR/2023/10236/A,Total
58,14:15-14:30,82.750000,0.000000,6.740000,9.920000,178.5,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,76.5,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1186.61

59,14:30-14:45,82.750000,0.000000,6.740000,9.920000,175,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,75,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1181.61

60,14:45-15:00,82.750000,0.000000,6.740000,9.920000,166.6,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,71.4,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1169.61

61,15:00-15:15,82.750000,0.000000,6.740000,9.920000,155.4,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,66.6,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1095.75

62,15:15-15:30,82.750000,0.000000,6.740000,9.920000,145.6,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,62.4,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1081.75

63,15:30-15:45,82.750000,0.000000,6.740000,9.920000,135.1,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.27,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,57.9,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1066.11

64,15:45-16:00,82.750000,0.000000,6.740000,9.920000,119,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,5.97,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,51,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1041.81

65,16:00-16:15,82.750000,0.000000,6.740000,9.920000,109.9,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,5.68,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,47.1,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1030.64

66,16:15-16:30,82.750000,0.000000,6.740000,9.920000,98,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,5.2,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,42,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1013.16

67,16:30-16:45,82.750000,0.000000,6.740000,9.920000,89.6,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,4.33,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,38.4,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1000.29

68,16:45-17:00,82.750000,0.000000,6.740000,9.920000,74.2,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,3.9,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,31.8,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,977.86

69,17:00-17:15,133.710000,0.000000,6.740000,9.920000,57.4,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,3.03,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,24.6,49.850000,12.320000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1004.04

70,17:15-17:30,133.710000,0.000000,6.740000,9.920000,44.1,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,2.07,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,18.9,49.850000,12.320000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,984.08

71,17:30-17:45,192.660000,0.000000,6.740000,9.920000,35.7,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,1.2,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,15.3,49.850000,12.320000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1030.16

72,17:45-18:00,192.660000,0.000000,6.740000,9.920000,30.8,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0.55,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,13.2,49.850000,12.320000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1022.51

73,18:00-18:15,192.660000,0.000000,6.740000,9.920000,23.8,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,10.2,49.850000,12.420000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1048.41

74,18:15-18:30,192.660000,0.000000,6.740000,9.920000,14,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,6,49.850000,12.420000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1034.41

75,18:30-18:45,192.660000,0.000000,6.740000,9.920000,7,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,3,49.850000,12.420000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1024.41

76,18:45-19:00,192.660000,0.000000,6.740000,9.920000,3.5,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,0.000000,1.5,49.850000,12.420000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1019.41

77,19:00-19:15,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.500000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.51

78,19:15-19:30,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.500000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.51

79,19:30-19:45,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.500000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.51

80,19:45-20:00,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.500000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.51

81,20:00-20:15,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.690000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.7

82,20:15-20:30,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.690000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.7

83,20:30-20:45,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.690000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.7

84,20:45-21:00,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.690000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.7

85,21:00-21:15,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.780000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.79

86,21:15-21:30,192.660000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.780000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1015.79

87,21:30-21:45,192.660000,0.000000,6.740000,9.920000,0,33.720000,66.470000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.780000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1082.26

88,21:45-22:00,133.710000,0.000000,6.740000,9.920000,0,33.720000,141.610000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,0.000000,0,49.850000,12.780000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1098.45

89,22:00-22:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,79.950000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1091.02

90,22:15-22:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,142.570000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,33.630000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1153.64

91,22:30-22:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,153.160000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,77.060000,0.580000,0.360000,33.630000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1241.29

92,22:45-23:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,122.340000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,168.580000,0.580000,0.360000,33.630000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1301.99

93,23:00-23:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,341.010000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,19.270000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1370.33

94,23:15-23:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,308.260000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,72.250000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1390.56

95,23:30-23:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,279.360000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,101.150000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1390.56

96,23:45-24:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,264.910000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,115.600000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,12.880000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1390.56

