Column1,Block,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/6216,NR/2025/26031/A/66610,NR/2025/26148/C,NR/2025/26121/C,NR/2025/26151/C,NR/2025/26164/C,NR/2025/26085/A/67006,NR/2025/25945/A/66908,NR/2025/26144/C,NR/2025/26143/C,NR/2025/25955/A/66905,NR/2025/26147/C,NR/2025/26146/C,WR/2025/27350/A/66620,NR/2025/25947/A/66907,NR/2025/25948/A/66906,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,NR/2025/26149/C,NR/2025/26142/C,WR/2025/27361/A/66916,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66485,Total
71,17:30-17:45,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,6.73,1.15,242.3,0,24.04,0.67,43.7,13.94,6.15,28.97,19.23,3.27,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,26.32,0,1057.5000000000002

72,17:45-18:00,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,6.73,1.15,271.14,0,24.04,0.67,43.7,15,6.15,28.97,19.23,3.46,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,19.57,0,1080.84

73,18:00-18:15,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.2,19.23,9.62,6.73,1.15,271.14,9.42,24.04,0.62,43.7,17.5,6.15,28.97,0,3.56,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,13.68,0,1073.05

74,18:15-18:30,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.2,19.23,9.62,6.73,1.15,271.14,18.94,24.04,0.62,43.7,18.75,6.15,28.97,3.85,3.56,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,9.24,0,1083.23

75,18:30-18:45,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.2,19.23,9.62,6.73,1.15,271.14,28.46,24.04,0.62,43.7,19.33,6.15,28.97,3.85,3.65,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,5.71,0,1089.89

76,18:45-19:00,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.2,19.23,9.62,6.73,1.15,271.14,28.46,24.04,0.62,43.7,19.71,6.15,28.97,3.85,3.75,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,2.77,0,1087.43

77,19:00-19:15,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.57,19.23,9.62,6.73,1.15,271.14,28.46,24.04,0.72,43.7,19.9,6.15,28.97,3.85,3.75,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,0.02,0,1085.34

78,19:15-19:30,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.57,19.23,9.62,6.73,1.25,271.14,28.46,24.04,0.72,43.7,20,6.25,28.97,3.85,3.75,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,0,0,1085.6200000000001

79,19:30-19:45,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.57,19.23,9.62,6.73,1.25,271.14,28.46,24.04,0.72,43.7,20,6.44,28.97,3.85,3.75,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,0,0,1085.8100000000002

80,19:45-20:00,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.57,19.23,9.62,6.73,1.44,271.14,28.46,24.04,0.72,43.7,20.1,7.31,28.97,2.88,3.75,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,0,0,1086

81,20:00-20:15,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.94,19.23,9.62,5.77,1.63,271.14,28.46,24.04,0.67,43.7,16.73,8.17,28.97,2.88,3.75,0,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1083.81

82,20:15-20:30,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.94,19.23,9.62,5.77,1.83,271.14,28.46,24.04,0.67,43.7,15.58,9.04,28.97,21.15,3.65,0,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1101.8999999999999

83,20:30-20:45,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.94,19.23,9.62,5.77,1.92,271.14,28.46,24.04,0.67,43.7,15.29,9.9,28.97,32.69,3.56,0,43.7,14.57,48.08,2.88,4.62,9.9,24.04,0,0,1114.29

84,20:45-21:00,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.94,19.23,9.62,5.77,1.83,271.14,28.46,24.04,0.67,43.7,15.19,9.33,28.97,32.69,3.56,0,43.7,14.57,48.08,2.88,4.62,11.25,24.04,0,0,1114.8799999999999

85,21:00-21:15,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,5.77,1.73,271.14,28.46,24.04,0,43.7,15.38,8.75,28.97,32.69,3.46,0,43.7,14.57,48.08,2.88,4.62,12.79,24.04,0,0,1115.3400000000001

86,21:15-21:30,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,5.77,1.63,271.14,28.46,24.04,0,43.7,15.58,8.27,28.97,32.69,3.56,0,43.7,14.57,48.08,2.88,4.62,16.25,24.04,0,0,1118.5200000000002

87,21:30-21:45,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,5.77,1.54,271.14,28.46,24.04,0,43.7,15.86,7.69,28.97,32.69,3.65,0,43.7,14.57,48.08,2.88,4.62,19.71,24.04,0,0,1121.68

88,21:45-22:00,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,5.77,1.54,271.14,28.46,24.04,0,43.7,16.25,7.98,28.97,32.69,3.75,0,43.7,14.57,48.08,2.88,4.62,20.86,24.04,0,0,1123.6100000000001

89,22:00-22:15,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,4.81,1.63,271.14,28.46,24.04,0,43.7,15.38,8.27,28.97,32.69,3.85,0,43.7,14.57,48.08,2.88,4.62,23.36,24.04,0,0,1124.76

90,22:15-22:30,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,4.81,1.73,271.14,28.46,24.04,0,43.7,15,8.46,28.97,32.69,4.04,0,43.7,14.57,48.08,2.88,4.62,24.04,24.04,0,0,1125.5400000000002

91,22:30-22:45,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,4.81,1.73,271.14,28.46,24.04,0,43.7,14.9,8.75,28.97,32.69,4.23,0,43.7,14.57,48.08,2.88,4.62,23.75,24.04,0,0,1125.63

92,22:45-23:00,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,4.81,1.83,271.14,28.46,24.04,0,43.7,14.81,9.23,28.97,32.69,4.42,0,43.7,14.57,48.08,2.88,4.62,22.79,24.04,0,0,1125.35

93,23:00-23:15,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,3.85,1.92,271.14,28.46,24.04,0.62,43.7,14.81,9.62,28.97,32.69,4.62,0,43.7,14.57,48.08,2.88,4.62,20.19,24.04,0,0,1123.0900000000001

94,23:15-23:30,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,3.85,1.92,271.14,28.46,24.04,0.62,43.7,14.42,10,28.97,32.69,4.62,0,43.7,14.57,48.08,2.88,4.62,16.35,24.04,0,0,1119.24

95,23:30-23:45,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,3.85,2.02,271.14,28.46,24.04,0.62,43.7,14.81,10.38,28.97,32.69,4.62,0,43.7,14.57,48.08,2.88,4.62,13.75,24.04,0,0,1117.51

96,23:45-24:00,50,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,10.12,19.23,9.62,3.85,2.12,271.14,28.46,24.04,0.62,43.7,14.81,11.15,28.97,32.69,4.62,0,43.7,14.57,48.08,2.88,4.62,11.92,24.04,0,0,1116.5500000000002

