Column1,Block,NR/2025/26614/C,NR/2025/26659/C,NR/2025/26615/C,NR/2025/26616/C,NR/2025/26661/C,NR/2025/26617/C,NR/2025/26663/C,NR/2025/26612/C,NR/2025/26611/C,NR/2025/26335/A/70580,NR/2025/26236/A/70170,GNARE/NR/2024/12/20/3668,NR/2025/25858/A/70621,NR/2025/26289/A/70660,NR/2025/26198/A/70821,NR/2025/26201/A/70818,NR/30092023/31122025/SH-07,NR/2025/26197/A/70828,NR/2025/26232/A/70663,NR/2025/26336/A/70578,NR/2025/26233/A/70662,NR/2025/25855/A/70620,NR/2025/26199/A/70820,NR/2025/26002/A/70619,GNA/NR/2025/05/01/4138,NR/2025/26101/A/70423,NR/2025/26286/A/70316,NR/2025/26312/A/70169,NR/2025/26085/A/70199,NR/2025/26265/A/70661,NR/2025/26200/A/70819,NR/2025/26202/A/70700,NR/2025/26153/A/70171,NR/2025/26191/A/70183,NR/2025/26291/A/70659,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,Total
57,14:00-14:15,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,175,11.58,94.78,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,5.79,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.07,164.1,0,0,0,164.1,17.55,1843.9299999999994

58,14:15-14:30,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,168,11.58,92.43,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,6.76,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.07,164.1,0,0,0,164.1,17.55,1835.5499999999995

59,14:30-14:45,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,154,11.58,89.56,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,6.76,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.07,164.1,0,0,0,164.1,17.55,1818.6799999999994

60,14:45-15:00,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,147,11.58,86.19,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,6.76,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.07,164.1,0,0,0,164.1,17.55,1808.3099999999995

61,15:00-15:15,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,140,8.69,82.24,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,7.72,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,9.98,164.1,0,0,0,164.1,17.55,1795.3399999999995

62,15:15-15:30,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,130,8.69,77.99,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,7.72,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,9.98,164.1,0,0,0,164.1,17.55,1781.0899999999997

63,15:30-15:45,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,116,8.69,73.28,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,7.72,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,9.98,164.1,0,0,0,164.1,17.55,1762.3799999999997

64,15:45-16:00,24.13,29.81,48.26,96.53,51.13,53.09,30.89,4.83,4.83,91,8.69,68.47,111.01,0,43.87,37.3,26.95,14.62,0,135.14,0,0,43.87,0,0,33.79,7.72,0,0.97,0,14.62,66.72,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,9.98,164.1,0,0,0,164.1,17.55,1732.5699999999997

65,16:00-16:15,0,0,0,0,102.25,0,0,0,0,81,5.79,63.31,111.01,48.26,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,7.72,53.09,0.82,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1734.77

66,16:15-16:30,0,0,0,0,102.25,0,0,0,0,70,5.79,57.73,111.01,48.26,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,7.72,53.09,0.82,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1718.1899999999998

67,16:30-16:45,0,0,0,0,102.25,0,0,0,0,57,5.79,51.72,111.01,48.26,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,8.69,53.09,0.82,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1700.1499999999999

68,16:45-17:00,0,0,0,0,102.25,0,0,0,0,49,5.79,45.44,111.01,48.26,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,8.69,53.09,0.82,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1685.87

69,17:00-17:15,0,0,0,0,102.25,0,0,0,0,39,0,39,111.01,48.26,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.35,164.1,0,0,0,164.1,17.55,1610.5999999999997

70,17:15-17:30,0,0,0,0,102.25,0,0,0,0,21,0,32.75,111.01,48.26,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.35,164.1,0,0,0,164.1,17.55,1586.3499999999995

71,17:30-17:45,0,0,0,0,102.25,0,0,0,0,11,0,26.97,111.01,48.26,43.87,37.3,26.07,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.07,0,0,10.35,164.1,0,0,0,164.1,17.55,1568.8099999999993

72,17:45-18:00,0,0,0,0,102.25,0,0,0,0,7,0,21.54,111.01,48.26,43.87,37.3,26.07,14.62,4.83,135.14,4.83,0,43.87,0,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.07,0,0,10.35,164.1,0,0,0,164.1,17.55,1559.3799999999994

73,18:00-18:15,0,0,0,0,162.7,0,0,0,0,4,0,16.51,111.01,48.26,43.87,37.3,25.39,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,25.39,67.57,28.96,10.53,0,5.79,5.79,14.48,164.1,17.55,1752.5199999999998

74,18:15-18:30,0,0,0,0,162.7,0,0,0,0,1,0,12.08,111.01,48.26,43.87,37.3,25.39,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,25.39,67.57,28.96,10.53,0,5.79,5.79,14.48,164.1,17.55,1745.09

75,18:30-18:45,0,0,0,0,162.7,0,0,0,0,0,0,7.16,111.01,48.26,43.87,37.3,25.39,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,25.39,67.57,28.96,10.53,0,5.79,5.79,14.48,164.1,17.55,1739.1699999999998

76,18:45-19:00,0,0,0,0,162.7,0,0,0,0,0,0,0.99,111.01,48.26,43.87,37.3,25.39,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,25.39,67.57,28.96,10.53,0,5.79,5.79,14.48,164.1,17.55,1732.9999999999998

77,19:00-19:15,0,0,0,0,162.7,0,0,0,0,0,0,0.5,111.01,48.26,43.87,37.3,20.92,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.72,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,20.92,67.57,28.96,10.81,0,5.79,5.79,14.48,164.1,17.55,1723.8899999999999

78,19:15-19:30,0,0,0,0,162.7,0,0,0,0,0,0,0.26,111.01,48.26,43.87,37.3,20.92,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.72,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,20.92,67.57,28.96,10.81,0,5.79,5.79,14.48,164.1,17.55,1723.6499999999999

79,19:30-19:45,0,0,0,0,162.7,0,0,0,0,0,0,0.06,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,8.69,0,0.72,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,12.33,67.57,28.96,10.81,0,5.79,5.79,14.48,164.1,17.55,1723.4399999999996

80,19:45-20:00,0,0,0,0,162.7,0,0,0,0,0,0,0.02,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,7.72,0,0.72,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,12.33,67.57,28.96,10.81,0,5.79,5.79,14.48,164.1,17.55,1722.4299999999996

81,20:00-20:15,0,0,0,0,162.7,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,7.72,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,12.33,67.57,28.96,10.99,0,5.79,5.79,14.48,164.1,17.55,1722.6399999999996

82,20:15-20:30,0,0,0,0,162.7,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,7.72,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,12.33,67.57,28.96,10.99,0,5.79,5.79,14.48,164.1,17.55,1722.6399999999996

83,20:30-20:45,0,0,0,0,162.7,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,7.72,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,10.99,0,5.79,5.79,14.48,164.1,17.55,1714.8099999999997

84,20:45-21:00,0,0,0,0,162.7,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,6.76,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,10.99,0,5.79,5.79,14.48,164.1,17.55,1713.8499999999997

85,21:00-21:15,0,0,0,0,162.7,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,6.76,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.18,0,5.79,5.79,14.48,164.1,17.55,1714.0399999999997

86,21:15-21:30,0,0,0,0,162.7,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,6.76,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.18,0,5.79,5.79,14.48,164.1,17.55,1714.0399999999997

87,21:30-21:45,0,0,0,0,108.46,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,6.76,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.18,0,5.79,5.79,14.48,164.1,17.55,1659.7999999999997

88,21:45-22:00,0,0,0,0,108.46,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,6.76,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.18,0,5.79,5.79,14.48,164.1,17.55,1659.7999999999997

89,22:00-22:15,0,0,0,0,108.46,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,5.79,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1659.1099999999997

90,22:15-22:30,0,0,0,0,102.25,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,5.79,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1652.8999999999996

91,22:30-22:45,0,0,0,0,102.25,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,5.79,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1652.8999999999996

92,22:45-23:00,0,0,0,0,102.25,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,5.79,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1652.8999999999996

93,23:00-23:15,0,0,0,0,102.25,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,5.79,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1652.8999999999996

94,23:15-23:30,0,0,0,0,102.25,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1651.9399999999996

95,23:30-23:45,0,0,0,0,51.13,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1600.8199999999997

96,23:45-24:00,0,0,0,0,51.13,0,0,0,0,0,0,0,111.01,48.26,43.87,37.3,29.5,14.62,4.83,135.14,4.83,0,43.87,164.1,0,33.79,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,19.31,123.08,14.48,13.51,0,4.5,67.57,28.96,11.46,0,5.79,5.79,14.48,164.1,17.55,1600.8199999999997

