Column1,Block,GNARE/NR/2024/12/20/3668,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26737/C,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,NR/2025/26736/C,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,NR/2025/26312/A/71056,NR/2025/26233/A/71469,NR/2025/26201/A/71479,NR/2025/26002/A/71430,NR/2025/26199/A/71485,NR/2025/26232/A/71470,NR/2025/26697/C,NR/2025/26198/A/71487,NR/2025/26698/C,NR/2025/26289/A/71466,NR/2025/26153/A/71058,NR/2025/26200/A/71482,NR/2025/25858/A/71432,NR/2025/25855/A/71431,NR/2025/26291/A/71464,NR/2025/26236/A/71057,NR/2025/26336/A/71148,NR/2025/26197/A/71490,NR/2025/26335/A/71150,NR/2025/26699/C,NR/2025/26101/A/71230,NR/2025/26700/C,NR/2025/26689/A/71214,NR/2025/26701/C,NR/2025/26265/A/71468,NR/2025/26085/A/71018,NR/2025/26702/C,NR/2025/26202/A/71608,SR/2025/17016/C,NR/2025/26191/A/71003,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,Total
58,14:15-14:30,97.31,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,11.56,0,8.75,192.6,4.82,33.7,24.08,7.7,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1651.8600000000004

59,14:30-14:45,92.92,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,11.56,0,8.75,188.75,4.82,33.7,24.08,7.7,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1643.6200000000003

60,14:45-15:00,90.1,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,11.56,0,8.75,182.01,4.82,33.7,24.08,7.7,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1634.0600000000004

61,15:00-15:15,87.08,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,8.67,0,8.75,168.53,4.82,33.7,24.08,8.67,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1615.64

62,15:15-15:30,82.63,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,8.67,0,8.75,158.9,4.82,33.7,24.08,8.67,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1601.5600000000002

63,15:30-15:45,76.89,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,8.67,134.82,8.75,141.56,4.82,33.7,24.08,8.67,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1713.3000000000004

64,15:45-16:00,70.96,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,8.67,134.82,8.75,128.08,4.82,33.7,24.08,8.67,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1693.8900000000003

65,16:00-16:15,65.32,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,52.96,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,5.78,134.82,8.75,107.86,0,33.7,0,8.67,0,96.3,0.82,0,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1665.27

66,16:15-16:30,58.33,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,52.96,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,5.78,134.82,8.75,94.37,0,33.7,0,8.67,0,96.3,0.82,0,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1644.79

67,16:30-16:45,52.82,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,52.96,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,5.78,134.82,8.75,80.89,0,33.7,0,8.67,0,96.3,0.82,0,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1625.8

68,16:45-17:00,46.06,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,52.96,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,5.78,134.82,8.75,71.26,0,33.7,0,8.67,0,96.3,0.82,0,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1609.41

69,17:00-17:15,39.57,0,14.44,10.41,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,60.67,0,33.7,0,9.63,0,96.3,0.67,0,96.3,35.63,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1570.2100000000003

70,17:15-17:30,33.09,0,14.44,10.41,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,47.19,0,33.7,0,9.63,0,96.3,0.67,0,96.3,35.63,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1550.2500000000002

71,17:30-17:45,26.17,0,14.44,10.41,102.01,0,0,163.71,26.7,13.48,0,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,33.71,0,33.7,0,9.63,0,96.3,0.67,0,96.3,48.15,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1557.7400000000002

72,17:45-18:00,19.62,0,14.44,10.41,102.01,0,0,163.71,26.7,13.48,0,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,17.33,0,33.7,0,9.63,0,96.3,0.67,0,96.3,48.15,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1534.8100000000004

73,18:00-18:15,14.05,19.26,14.44,10.6,162.31,5.78,0,163.71,26.61,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,10.59,0,33.7,0,9.63,0,96.3,0.67,0,96.3,48.15,48.15,5.78,28.89,26.61,122.78,67.41,14.44,10.59,0,28.94,1724.3700000000003

74,18:15-18:30,9.45,19.26,14.44,10.6,162.31,5.78,0,163.71,26.61,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,4.82,0,33.7,0,9.63,0,96.3,0.67,0,96.3,48.15,48.15,5.78,28.89,26.61,122.78,67.41,14.44,10.59,0,28.94,1714.0000000000005

75,18:30-18:45,0.82,19.26,14.44,10.6,162.31,5.78,0,163.71,26.61,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0.96,0,33.7,0,9.63,0,96.3,0.67,0,96.3,48.15,48.15,5.78,28.89,26.61,122.78,67.41,14.44,10.59,0,28.94,1701.5100000000004

76,18:45-19:00,0.3,19.26,14.44,10.6,162.31,5.78,0,163.71,25.39,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,9.63,0,96.3,0.67,0,96.3,48.15,48.15,5.78,28.89,25.39,122.78,67.41,14.44,10.59,0,28.94,1697.5900000000006

77,19:00-19:15,0.3,19.26,14.44,10.87,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,9.63,0,96.3,0.72,0,96.3,19.26,48.15,5.78,28.89,12.33,122.78,67.41,14.44,10.59,0,28.94,1660.0700000000004

78,19:15-19:30,0,19.26,14.44,10.87,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,9.63,0,96.3,0.72,0,96.3,19.26,48.15,5.78,28.89,12.33,122.78,67.41,14.44,10.59,0,28.94,1659.7700000000002

79,19:30-19:45,0,19.26,14.44,10.87,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,9.63,0,96.3,0.72,0,96.3,48.15,48.15,5.78,28.89,12.33,122.78,67.41,14.44,10.59,0,28.94,1688.6600000000003

80,19:45-20:00,0,19.26,14.44,10.87,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,9.63,0,96.3,0.72,0,96.3,48.15,48.15,5.78,28.89,12.33,122.78,67.41,14.44,10.59,0,28.94,1688.6600000000003

81,20:00-20:15,0,19.26,14.44,11.06,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,12.33,122.78,67.41,14.44,10.59,0,28.94,1687.9400000000003

82,20:15-20:30,0,19.26,14.44,11.06,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,12.33,122.78,67.41,14.44,10.59,0,28.94,1687.9400000000003

83,20:30-20:45,0,19.26,14.44,11.06,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1705.1100000000004

84,20:45-21:00,0,19.26,14.44,11.06,162.31,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1705.1100000000004

85,21:00-21:15,0,19.26,14.44,11.33,108.2,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1651.2700000000004

86,21:15-21:30,0,19.26,14.44,11.33,102.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1645.0800000000004

87,21:30-21:45,0,19.26,14.44,11.33,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1594.0800000000004

88,21:45-22:00,0,19.26,14.44,11.33,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,8.67,0,96.3,0.77,0,96.3,48.15,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1594.0800000000004

89,22:00-22:15,0,19.26,14.44,11.61,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,7.7,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1545.2400000000002

90,22:15-22:30,0,19.26,14.44,11.61,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,7.7,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1545.2400000000002

91,22:30-22:45,0,19.26,14.44,10.88,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,7.7,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1544.5100000000002

92,22:45-23:00,0,19.26,14.44,10.88,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,7.7,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1544.5100000000002

93,23:00-23:15,0,19.26,14.44,10.88,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,6.74,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1543.5500000000002

94,23:15-23:30,0,19.26,14.44,10.88,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,6.74,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1543.5500000000002

95,23:30-23:45,0,19.26,14.44,10.88,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,6.74,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1543.5500000000002

96,23:45-24:00,0,19.26,14.44,10.88,51.01,5.78,0,163.71,29.5,13.48,0,0,28.89,0,4.82,26.26,163.71,26.26,4.82,0,26.26,0,48.15,28.89,8.75,110.74,0,24.08,0,134.82,8.75,0,0,33.7,0,6.74,0,96.3,0.77,0,96.3,0,48.15,5.78,28.89,29.5,122.78,67.41,14.44,10.59,0,28.94,1543.5500000000002

