Time,Block,NR/2023/13983/F,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/15050/D,NR/2023/13859/A,NR/2023/15053/C,NR/2023/11654/A,NR/2023/15081/C,NR/2023/11470/A,NR/2023/12646/A,NR/2023/15054/C,NR/2023/13983/F/II,NR/2023/13284/A,NR/2023/11954/A,NR/2023/15065/C,NR/2023/15062/C,NR/2023/11739/A,NR/2023/11697/A,NR/2023/15077/C,NR/2023/13573/A,NR/2023/13858/A,NR/2023/11315/A,NR/2023/11325/A,NR/2023/15064/C,NR/2023/15080/C,NR/2023/14187/F,NR/2023/15070/C,NR/2023/15078/C,NR/2023/11328/A,NR/2023/15048/D,NR/2023/15049/D,NR/2023/15051/D,NR/2023/11469/A,Total
67,16:30-16:45,0.820000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,62.750000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,3.860000,0.000000,0.000000,48.270000,84,36,0.48,84.940000,1330.6

68,16:45-17:00,0.820000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,50.200000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,3.860000,0.000000,0.000000,48.270000,74.9,32.1,0.29,84.940000,1304.86

69,17:00-17:15,0.820000,62.990000,24.140000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,68.540000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,63,27,0.19,84.940000,1208.18

70,17:15-17:30,0.820000,62.990000,24.140000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,71.440000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,52.5,22.5,0.1,84.940000,1195.99

71,17:30-17:45,0.820000,62.990000,24.140000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,79.160000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,45.5,19.5,0,84.940000,1193.61

72,17:45-18:00,0.820000,62.990000,24.140000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,86.890000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,38.5,16.5,0,84.940000,1191.34

73,18:00-18:15,0.870000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,91.710000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,31.5,13.5,0,84.940000,1198.49

74,18:15-18:30,0.870000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,95.570000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,24.5,10.5,0,84.940000,1192.35

75,18:30-18:45,0.870000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,102.330000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,21,9,0,84.940000,1194.11

76,18:45-19:00,0.870000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,102.330000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,14,6,0,84.940000,1184.11

77,19:00-19:15,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,48.270000,76.270000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,7,3,0,84.940000,1196.37

78,19:15-19:30,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,36.690000,114.880000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,4.2,1.8,0,84.940000,1219.4

79,19:30-19:45,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,24.140000,162.190000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,1.4,0.6,0,84.940000,1250.16

80,19:45-20:00,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,9.650000,219.150000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,0,0,0,84.940000,1283.87

81,20:00-20:15,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,19.310000,329.200000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,0,0,0,84.940000,1403.58

82,20:15-20:30,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,30.890000,380.370000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,0,0,0,84.940000,1466.33

83,20:30-20:45,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,43.440000,435.400000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,3.860000,8.210000,0.000000,48.270000,0,0,0,84.940000,1533.91

84,20:45-21:00,0.920000,62.990000,0.000000,48.270000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,43.440000,430.570000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,20.270000,3.860000,8.210000,44.410000,48.270000,0,0,0,84.940000,1593.76

85,21:00-21:15,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,43.440000,430.570000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,75.300000,3.860000,8.210000,44.410000,48.270000,0,0,0,84.940000,1692.23

86,21:15-21:30,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,43.440000,425.740000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,96.540000,3.860000,8.210000,51.170000,48.270000,0,0,0,84.940000,1780.08

87,21:30-21:45,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,43.440000,425.740000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,96.540000,3.860000,8.210000,51.170000,48.270000,0,0,0,84.940000,1780.08

88,21:45-22:00,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,0.000000,0.000000,0.000000,0.000000,36.420000,43.440000,420.910000,42.470000,0.000000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,96.540000,3.860000,8.210000,51.170000,48.270000,0,0,0,84.940000,1775.25

89,22:00-22:15,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,420.910000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1927.71

90,22:15-22:30,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,420.910000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1927.71

91,22:30-22:45,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,420.910000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,3.860000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1927.71

92,22:45-23:00,0.920000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,420.910000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1925.78

93,23:00-23:15,0.870000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,425.740000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1930.56

94,23:15-23:30,0.870000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,425.740000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1930.56

95,23:30-23:45,0.870000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,425.740000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1930.56

96,23:45-24:00,0.870000,62.990000,0.000000,91.710000,193.080000,188.250000,0.000000,152.530000,64.680000,21.230000,23.100000,0.000000,0.000000,81.770000,36.420000,43.440000,425.740000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,96.540000,3.860000,8.210000,63.720000,48.270000,0,0,0,84.940000,1930.56

