Time,Block,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21148/A/28829,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21103/A/29085,NR/2024/21930/C,NR/2024/21160/A/28828,NR/2024/21144/A/28796,NR/2024/20573/A/28866,NR/2024/21142/A/28979,NR/01072024/31072024/R2,NR/2024/21141/A/28987,NR/2024/21023/A/28795,NR/2024/21199/A/28794,NR/2024/21906/C,NR/30092023/31122025/SH-07,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21075/A/29112,NR/2024/21183/A/29110,NR/2024/21173/A/28846,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/26122029/SH-06,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21186/A/29072,NR/2024/21156/A/28833,NR/2024/21153/A/28832,NR/2024/19779/A/28769,NR/2024/21922/C,NR/2024/21062/A/28876,NR/2024/21916/C,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21072/A/29063,NR/2024/21238/A/29113,NR/2024/21076/A/29109,NR/2024/21924/C,NR/2024/20688/A/28848,NR/2024/21087/A/28847,NR/2024/21682/A/29142,NR/2024/21159/A/28835,NR/2024/21099/A/28981,NR/2024/21865/C,NR/2024/20711/A/29143,NR/2024/20574/A/28868,NR/2024/21152/A/28737,NR/2024/21089/A/29062,NR/2024/21210/A/28977,NR/2024/21096/A/29090,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21146/A/28831,NR/2024/21715/A/28797,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21904/C,NR/2024/21339/A/28973,NR/2024/21227/A/29083,NR/2024/21150/A/28830,NR/2024/21113/A/29061,NR/2024/21567/A/29060,NR/2024/20931/A/29032,NR/2024/21158/A/28834,NR/2024/21108/A/29080,NR/2024/20966/A/29117,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,SR/2024/13611/C,NR/2024/21903/C,Total
28,06:45-07:00,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.680000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,195.00,0,1814.93

29,07:00-07:15,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.770000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,160.00,0,1780.02

30,07:15-07:30,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.770000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,165.00,0,1785.02

31,07:30-07:45,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.770000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,150.00,0,1770.02

32,07:45:08:00,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.770000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,165.00,0,1785.02

33,08:00-08:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1620.03

34,08:15-08:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1620.03

35,08:30-08:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1620.03

36,08:45:09:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1620.03

37,09:00:09:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.430000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1620.91

38,09:15-09:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.430000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1620.91

39,09:30-09:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.430000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1622.84

40,09:45-10:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.430000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1622.84

41,10:00-10:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1622.66

42,10:15-10:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1622.66

43,10:30-10:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1623.62

44,10:45-11:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1623.62

45,11:00-11:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1623.52

46,11:15-11:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1623.52

47,11:30-11:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1647.02

48,11:45-12:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0,1647.02

49,12:00-12:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,2.38,1649.4

50,12:15-12:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,4.01,1651.03

51,12:30-12:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,4.03,1651.05

52,12:45-13:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.150000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,3.71,1650.73

53,13:00-13:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,2.92,1650.04

54,13:15-13:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,2.59,1649.71

55,13:30-13:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,2.55,1649.67

56,13:45-14:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,48.230000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.54,1648.66

57,14:00-14:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.51,1625.13

58,14:15-14:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.47,1625.09

59,14:30-14:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.86,1625.48

60,14:45-15:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.250000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.85,1625.47

61,15:00-15:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.86,1625.75

62,15:15-15:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.75,1625.64

63,15:30-15:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.49,1625.38

64,15:45-16:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.520000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.960000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.6,1625.49

