Column1,Block,NR/2024/22052/A/31703,NR/2024/22516/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/SKS-Raigarh,GNA/SR/2024/08/13/6665,NR/01082024/31082024/jitpl,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21909/A/31959,NR/2024/22042/A/31728,NR/2024/22010/A/32043,NR/2024/21943/A/31988,NR/2024/22398/A/32060,NR/2024/22432/A/31769,NR/2024/22058/A/31701,NR/2024/21971/A/32027,NR/2024/22014/A/31729,NR/2024/21860/A/32061,NR/2024/21961/A/31826,NR/2024/21966/A/31759,NR/2024/21968/A/32025,NR/2024/21918/A/32041,NR/2024/22511/C,NR/2024/21970/A/32026,NR/2024/21954/A/31989,NR/2024/22512/C,NR/2024/21940/A/31993,NR/2024/21938/A/31832,NR/2024/21658/A/31736,NR/2024/22279/A/31725,NR/2024/21983/A/31743,NR/2024/21956/A/31998,NR/2024/21974/A/32028,SR/2024/13834/C,NR/2024/21814/A/32030,NR/2024/22510/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
65,16:00-16:15,18.75,20.2,0,17.08,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.82,4.81,48.08,24.04,37.15,0,48.08,2.29,0,0,1383.8015999999998

66,16:15-16:30,16.64,17.21,0,17.08,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.82,4.81,48.08,24.04,37.15,0,48.08,2.54,0,0,1378.9515999999999

67,16:30-16:45,13.46,14.23,0,17.08,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.82,4.81,48.08,24.04,37.15,0,48.08,2.5,0,0,1372.7515999999998

68,16:45-17:00,9.33,11.16,0,17.08,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.82,4.81,48.08,24.04,37.15,0,48.08,2.14,0,0,1365.1916

69,17:00-17:15,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,12.5,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,24.04,37.15,0,48.08,1.79,0,0,1333.7215999999999

70,17:15-17:30,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,12.5,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,24.04,37.15,0,48.08,1.57,0,0,1333.5015999999998

71,17:30-17:45,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,12.5,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,24.04,37.15,0,48.08,1.38,0,0,1333.3116

72,17:45-18:00,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,26.9071,26.9071,0,0,0,3.85,11.68,38.47,240.42,12.5,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,24.04,37.15,0,48.08,1.03,0,0,1333.0341999999998

73,18:00-18:15,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,24.9481,24.9481,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,24.04,37.15,0,48.08,0.67,0,0,1316.1162

74,18:15-18:30,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,24.0835,24.0835,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,24.04,37.15,0,48.08,0.32,0,0,1314.0369999999998

75,18:30-18:45,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,24.0835,24.0835,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0.16,0,0,1333.117

76,18:45-19:00,0,0,192.34,17.08,48.08,12.39,0,11.93,48.08,24.0835,24.0835,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1332.9569999999999

77,19:00-19:15,0,0,192.34,17.08,48.08,12.39,48.08,11.93,48.08,32,0,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1364.87

78,19:15-19:30,0,0,192.34,17.08,48.08,12.39,48.08,11.93,48.08,32,0,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1364.87

79,19:30-19:45,0,0,192.34,17.08,48.08,12.39,48.08,11.93,48.08,32,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1395.37

80,19:45-20:00,0,0,192.34,17.08,48.08,12.39,48.08,11.93,48.08,32,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1395.37

81,20:00-20:15,0,0,192.34,17.08,48.08,12.39,48.08,11.93,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1393.87

82,20:15-20:30,0,0,192.34,17.08,48.08,12.39,48.08,11.93,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1393.87

83,20:30-20:45,0,0,192.34,17.08,48.08,12.39,48.08,12.63,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1394.57

84,20:45-21:00,0,0,192.34,17.08,48.08,12.39,48.08,13.82,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1395.7599999999998

85,21:00-21:15,0,0,192.34,17.08,48.08,12.39,48.08,12.63,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1394.57

86,21:15-21:30,0,0,192.34,17.08,48.08,12.39,48.08,13.82,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1395.7599999999998

87,21:30-21:45,0,0,192.34,17.08,48.08,12.39,48.08,16.15,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1398.09

88,21:45-22:00,0,0,192.34,17.08,48.08,12.39,48.08,16.15,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,11.54,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1398.09

89,22:00-22:15,0,0,192.34,17.08,48.08,12.39,48.08,17.72,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,10.58,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1550.1799999999998

90,22:15-22:30,0,0,192.34,17.08,48.08,12.39,48.08,18.91,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,10.58,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.77,4.81,0,43.28,37.15,0,48.08,0,0,0,1551.37

91,22:30-22:45,0,0,192.34,17.08,48.08,12.39,48.08,20.09,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,9.62,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.77,4.81,0,67.32,37.15,0,48.08,0,0,0,1575.6299999999999

92,22:45-23:00,0,0,192.34,17.08,48.08,12.39,48.08,20.09,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,9.62,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.77,4.81,0,67.32,37.15,0,48.08,0,0,0,1575.6299999999999

93,23:00-23:15,0,0,192.34,17.08,48.08,12.39,48.08,21.28,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,9.62,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.72,4.81,0,67.32,37.15,0,48.08,0,0,0,1576.77

94,23:15-23:30,0,0,192.34,17.08,48.08,12.39,48.08,21.28,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,9.62,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.72,4.81,0,67.32,37.15,0,48.08,0,0,0,1576.77

95,23:30-23:45,0,0,192.34,17.08,48.08,12.39,48.08,22.47,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,9.62,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.72,4.81,0,67.32,37.15,0,48.08,0,0,0,1577.9599999999998

96,23:45-24:00,0,0,192.34,17.08,48.08,12.39,48.08,23.48,48.08,30.5,30.5,0,0,0,3.85,0,38.47,240.42,9.62,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.72,4.81,0,67.32,37.15,0,48.08,0,0,0,1578.97

