Time,Block,NR/2023/11099/F,NR/2023/10181/A,NR/2023/11367/F,NR/2023/11100/F,NR/2023/11343/F,NR/2023/11154/F,NR/2023/11104/F,NR/2023/11097/F,NR/2023/11741/D,NR/2023/11760/C,NR/2023/11166/F,NR/2023/10182/A,NR/2023/11341/F,NR/2023/11096/F,NR/2023/10197/A,NR/2023/11369/F,NR/2023/10433/A,NR/2023/11758/C,NR/2023/11368/F,NR/2023/10486/A,NR/2023/11221/F,NR/2023/11695/D,NR/2023/11095/F,NR/2023/11102/F,NR/2023/11766/C,NR/2023/11767/C,NR/2023/11746/D,NR/2023/11748/D,NR/2023/11749/D,Total
80,19:45-20:00,0.410000,99.660000,0.340000,0.660000,48.140000,9.630000,0.520000,0.410000,0.000000,0.000000,14.440000,49.830000,115.550000,0.660000,49.830000,0.720000,24.070000,11.580000,0.360000,20.560000,17.330000,19.260000,2.890000,0.690000,0.000000,33.630000,0,0,0,521.17

81,20:00-20:15,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,0.000000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,0.000000,33.630000,0,0,0,521.18

82,20:15-20:30,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,0.000000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,0.000000,33.630000,0,0,0,521.18

83,20:30-20:45,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,0.000000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,0.000000,33.630000,0,0,0,521.18

84,20:45-21:00,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,0.000000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,0.000000,33.630000,0,0,0,521.18

85,21:00-21:15,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,0.000000,33.630000,0,0,0,601.1

86,21:15-21:30,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,0.000000,33.630000,0,0,0,601.1

87,21:30-21:45,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,9.630000,33.630000,0,0,0,610.73

88,21:45-22:00,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,25.040000,33.630000,0,0,0,626.14

89,22:00-22:15,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,39.480000,31.590000,0,0,0,638.54

90,22:15-22:30,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,36.590000,31.590000,0,0,0,635.65

91,22:30-22:45,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,67.400000,31.590000,0,0,0,666.46

92,22:45-23:00,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,60.660000,31.590000,0,0,0,659.72

93,23:00-23:15,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,100.140000,31.590000,0,0,0,699.2

94,23:15-23:30,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,120.360000,31.590000,0,0,0,719.42

95,23:30-23:45,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,107.840000,31.590000,0,0,0,706.9

96,23:45-24:00,0.420000,99.660000,0.340000,0.620000,48.140000,9.630000,0.530000,0.420000,0.000000,79.920000,14.440000,49.830000,115.550000,0.620000,49.830000,0.720000,24.070000,11.580000,0.400000,20.560000,17.330000,19.260000,2.890000,0.710000,68.370000,31.590000,0,0,0,667.43

