Time,Block,NR/2024/21158/A/25833,NR/30092023/26122029/SH-06,NR/2024/21104/A/26092,NR/2024/21339/A/25863,NR/2024/21089/A/26086,NR/2024/21096/A/26097,NR/2024/21087/A/26028,NR/2024/20930/A/26042,NR/2024/21186/A/26105,NR/2024/21108/A/26090,NR/2024/21148/A/25830,NR/2024/21416/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21160/A/25827,NR/2024/21099/A/25865,NR/2024/21414/C,NR/2024/21150/A/25829,NR/2024/21183/A/26112,NR/01072024/31072024/R2,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21142/A/25866,NR/2024/21141/A/25972,NR/2024/21376/A/26021,NR/2024/21227/A/26093,NR/2024/21076/A/26111,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/20966/A/25803,NR/2024/21103/A/26095,NR/2024/21113/A/26085,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/2024/20688/A/26029,NR/2024/21415/C,NR/2024/21152/A/25802,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21156/A/25834,NR/2024/21144/A/25826,NR/2024/21238/A/26115,NR/2024/21153/A/25828,NR/2024/20877/A/26106,NR/2024/21173/A/26027,NR/2024/21062/A/25867,NR/2024/20711/A/26022,NR/2024/21199/A/25816,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21243/A/25812,NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21072/A/26087,NR/2024/21159/A/25832,NR/2024/21075/A/26114,NR/2024/20574/A/25884,NR/2024/21210/A/25864,NR/2024/21146/A/25831,NR/2024/21023/A/25817,NR/2024/20573/A/25882,NR/2024/19779/A/25780,NR/2024/21312/A/25657,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
30,07:15-07:30,0.670000,26.870000,64.620000,0.000000,37.210000,72.250000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.5,0.880000,18.010000,20.470000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,0.000000,0.000000,0.770000,7.710000,0,0,1923.52

31,07:30-07:45,0.670000,26.870000,64.620000,0.000000,37.210000,72.250000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.94,0.880000,18.010000,20.470000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,0.000000,0.000000,0.770000,7.710000,0,0,1923.96

32,07:45:08:00,0.670000,26.870000,64.620000,0.000000,37.210000,72.250000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.74,0.880000,18.010000,20.470000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,0.000000,0.000000,0.770000,7.710000,0,0,1923.76

33,08:00-08:15,0.670000,26.870000,64.620000,81.880000,37.210000,72.250000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,2.2,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,8.670000,0,0,1925.37

34,08:15-08:30,0.670000,26.870000,64.620000,81.880000,37.210000,72.250000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,2.44,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,8.670000,0,0,1925.61

35,08:30-08:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,2.74,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,8.670000,0,0,1974.07

36,08:45:09:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,2.87,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,8.670000,0,0,1974.2

37,09:00:09:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,3.68,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1976.94

38,09:15-09:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.57,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1974.83

39,09:30-09:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,4.72,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1977.98

40,09:45-10:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,6.99,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,7.180000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1980.25

41,10:00-10:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,6.27,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1985.96

42,10:15-10:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,3.58,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1983.27

43,10:30-10:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,7.92,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1987.61

44,10:45-11:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.35,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1988.04

45,11:00-11:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,7.37,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1988.02

46,11:15-11:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,5.91,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1986.56

47,11:30-11:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.12,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1988.77

48,11:45-12:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.27,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1988.92

49,12:00-12:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.68,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1986.57

50,12:15-12:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.15,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1986.04

51,12:30-12:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.57,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1986.46

52,12:45-13:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.97,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1986.86

53,13:00-13:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,6.18,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1984.07

54,13:15-13:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,6.67,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1984.56

55,13:30-13:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,8.51,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1986.4

56,13:45-14:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,6.01,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,11.560000,0,0,1983.9

57,14:00-14:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,2.27,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1979.2

58,14:15-14:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.17,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1978.1

59,14:30-14:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.09,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1978.02

60,14:45-15:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.44,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,10.850000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1978.37

61,15:00-15:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.42,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1981.11

62,15:15-15:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.67,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1981.36

63,15:30-15:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,2.66,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1982.35

64,15:45-16:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,3.38,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.960000,10.600000,0,0,1983.07

65,16:00-16:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,3.47,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1983.02

66,16:15-16:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.85,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1981.4

67,16:30-16:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.55,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1980.1

68,16:45-17:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.91,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1980.46

