Column1,Block,NR/2025/32375/A/94116,NR/2025/31041/A/94247,NR/2025/32598/A/94184,NR/2025/32559/A/94097,NR/2025/31042/A/94248,NR/2025/32262/A/93726,NR/2025/32554/A/94069,NR/2025/32887/C,NR/2025/32610/A/94096,NR/2025/32893/C,NR/2025/29992/A/93759,NR/2025/32004/A/94101,NR/2025/32702/A/93783,NR/2025/32894/C,NR/2025/31421/A/94120,NR/2025/32455/A/94090,NR/2025/32895/C,NR/2025/32556/A/94098,NR/2025/29440/A/93711,NR/2025/32397/A/93655,NR/2025/31046/A/94249,NR/2025/32884/C,NR/2025/32872/C,NR/2025/31047/A/94250,NR/2025/32911/C,NR/2025/32532/A/94052,NR/2025/32858/C,NR/2025/32880/C,NR/2025/32532/A/94053,NR/2025/32880/C/Alternate/1,NR/2025/32855/C,NR/2025/32534/A/94054,NR/2025/32534/A/94055,NR/2025/32652/A/93855,NR/2025/32535/A/94056,NR/2025/32653/A/93854,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/94057,NR/2025/32599/A/94066,NR/2025/32889/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,Total
55,13:30-13:45,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.27,203,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1394.8000000000002

56,13:45-14:00,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,96.67,0.27,203,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1393.14

57,14:00-14:15,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.1,0.39,1.64,0.1,1.45,95,0.29,196,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1481.8700000000001

58,14:15-14:30,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.19,0.39,1.64,0.1,1.45,91.67,0.39,186,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1468.7300000000002

59,14:30-14:45,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.19,0.39,1.64,0.1,1.45,87.23,0.39,179,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1457.2900000000002

60,14:45-15:00,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.19,0.39,1.64,0.1,1.45,84.14,0.29,168,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1443.1000000000001

61,15:00-15:15,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.19,0.39,1.64,0.1,1.45,80.72,0.29,161,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1434.63

62,15:15-15:30,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.67,0,1.16,0.1,0.39,1.64,0.1,1.45,76.88,0.29,154,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1423.79

63,15:30-15:45,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.58,0,1.16,0.1,0.39,1.64,0.1,1.45,76.1,0.29,144,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1412.9200000000003

64,15:45-16:00,0,0,81.92,0,0,0,0,96.38,0,24.1,0,0,11.57,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.67,0,1.16,0.1,0.39,1.64,0.1,1.45,71,0.29,137,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1400.91

65,16:00-16:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,11.57,0,0,0,0,24.1,0.87,0,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.19,0.39,0,0.1,0,65.65,0.29,130,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1384.3100000000002

66,16:15-16:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,11.57,0,0,0,0,24.1,0.87,0,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.19,0.39,0,0.1,0,60.2,0.29,119,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1367.8600000000001

67,16:30-16:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.87,0,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.19,0.39,0,0.1,0,54.7,0.39,105,10.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,3.52,81.92,20.48,15.94,26.96,8.03,1352.94

68,16:45-17:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.87,0,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.1,0.39,0,0.1,0,48.87,0.39,91,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,3.52,81.92,20.48,15.94,26.96,8.03,1331.0700000000002

69,17:00-17:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.87,8.67,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.1,0.39,0,0.1,0,42.92,0.29,81,8.17,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,3.52,81.92,20.48,15.94,26.96,8.03,1323.03

70,17:15-17:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.87,8.67,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.1,0.39,0,0.1,0,36.57,0.29,70,7.89,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,3.52,81.92,20.48,15.94,26.96,8.03,1305.4

71,17:30-17:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,13.49,0,0,0,0,24.1,0.87,8.67,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.19,0.39,0,0.1,0,25.27,0.29,56,7.71,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,3.52,81.92,20.48,15.94,26.96,8.03,1280.97

72,17:45-18:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,13.49,0,0,0,0,24.1,0.87,8.67,0,0,0,96.38,0,0.29,0,192.76,0.67,0,0,0.19,0.39,0,0.1,0,19.81,0.29,46,7.78,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,3.52,81.92,20.48,15.94,26.96,8.03,1265.58

73,18:00-18:15,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0.29,0,192.76,0.4,0,0,0.1,0.23,0,0.1,0,15.05,0.17,32,8.6,40.96,33.73,0,20.48,26.95,20.8,14.6,0,3.52,81.92,20.48,28.98,26.95,14.6,1278.02

74,18:15-18:30,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0.29,0,192.76,0.15,0,0,0.1,0.09,0,0.1,0,11.36,0.07,21,6.25,40.96,33.73,0,20.48,26.95,20.8,14.6,0,3.52,81.92,20.48,28.98,26.95,14.6,1260.49

75,18:30-18:45,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0.28,0,192.76,0,0,0,0.1,0,0,0.1,0,6.3,0,14,4.08,40.96,33.73,0,20.48,26.95,20.8,14.6,0,3.52,81.92,20.48,28.98,26.95,14.6,1245.94

76,18:45-19:00,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0.08,0,192.76,0,0,0,0.03,0,0,0.03,0,3.16,0,7,2.61,40.96,33.73,0,20.48,26.95,20.8,14.6,0,3.52,81.92,20.48,28.98,26.95,14.6,1233.99

77,19:00-19:15,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,68.41,0,124.35,0,0,0,0,0,0,1.82,0,4,0,40.96,33.73,0,20.48,26.66,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1229.21

78,19:15-19:30,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,32.28,0,160.48,0,0,0,0,0,0,0.77,0,1,0,40.96,33.73,0,20.48,26.66,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1225.1599999999999

79,19:30-19:45,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0.19,0,0,0,40.96,33.73,0,20.48,26.66,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1223.58

80,19:45-20:00,48.19,0,81.92,37.24,0,0,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,26.66,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1223.3899999999999

81,20:00-20:15,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,26.66,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1277.6

82,20:15-20:30,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,26.66,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1277.6

83,20:30-20:45,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,18.89,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1269.83

84,20:45-21:00,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,76.74,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,18.89,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1269.83

85,21:00-21:15,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,36.77,0,155.99,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,18.89,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1299.11

86,21:15-21:30,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,33.77,0,158.99,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,18.89,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1299.11

87,21:30-21:45,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,18.89,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1299.11

88,21:45-22:00,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,18.89,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1299.11

89,22:00-22:15,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1291.9499999999998

90,22:15-22:30,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,13.49,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1291.9499999999998

91,22:30-22:45,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,12.53,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1290.9899999999998

92,22:45-23:00,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,12.53,0,0,48.19,0,37.24,0.92,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1290.9899999999998

93,23:00-23:15,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,12.53,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1290.9399999999998

94,23:15-23:30,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,12.53,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1290.9399999999998

95,23:30-23:45,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,12.53,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1290.9399999999998

96,23:45-24:00,48.19,0,81.92,37.24,0,54.21,163.85,0,37.24,0,44.33,106.02,12.53,0,0,48.19,0,37.24,0.87,8.67,0,0,0,96.38,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,0,20.48,11.73,20.8,14.6,0,3.52,81.92,20.48,28.98,29.5,14.6,1290.9399999999998

