Time,Block,NR/2024/21150/A/29373,NR/2024/21158/A/29377,NR/2024/20931/A/29522,NR/2024/21141/A/29324,NR/2024/21113/A/29613,NR/2024/22038/C,NR/2024/21099/A/29322,NR/2024/21186/A/29624,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22031/C,NR/2024/21160/A/29374,NR/2024/21148/A/29372,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/22036/C,NR/2024/21153/A/29375,NR/2024/20966/A/29274,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/29342,NR/2024/22024/C,NR/2024/21173/A/29381,NR/2024/21072/A/29615,NR/2024/22023/C,NR/2024/21227/A/29590,NR/2024/21062/A/29570,NR/2024/22032/C,NR/2024/21339/A/29315,NR/2024/22029/C,NR/2024/21682/A/29600,NR/2024/21146/A/29371,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21567/A/29612,NR/2024/20688/A/29383,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/20573/A/29572,NR/2024/22030/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/29320,NR/2024/21156/A/29378,NR/2024/21108/A/29587,NR/2024/21238/A/29632,NR/2024/19779/A/29453,NR/2024/21023/A/29343,NR/2024/21159/A/29376,NR/2024/20574/A/29571,NR/2024/21210/A/29318,NR/2024/21144/A/29341,NR/2024/21103/A/29592,NR/2024/21075/A/29631,NR/2024/21152/A/29273,NR/2024/21076/A/29628,NR/2024/21087/A/29382,NR/29072024/29072024/DD20240729NR25886,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21096/A/29596,NR/2024/20711/A/29601,NR/2024/21978/A/29503,NR/30092023/26122029/SH-06,NR/01072024/31072024/R2,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/29629,NR/2024/21089/A/29614,NR/2024/22025/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
27,06:30-06:45,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.670000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,1.350000,14.720000,24.080000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0.44,0,0,1629.04

28,06:45-07:00,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.670000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,24.080000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0.44,0,0,1641.64

29,07:00-07:15,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.770000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,24.080000,48.160000,21.190000,37.210000,0.57,0,0,1641.86

30,07:15-07:30,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.770000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,24.080000,48.160000,21.190000,37.210000,0.59,0,0,1641.88

31,07:30-07:45,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.770000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,24.080000,48.160000,21.190000,37.210000,0.6,0,0,1628.74

32,07:45:08:00,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.770000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,24.080000,48.160000,21.190000,37.210000,0.88,0,0,1629.02

33,08:00-08:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,0.000000,0.000000,21.190000,37.210000,2.11,0,0,1630.44

34,08:15-08:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,0.000000,0.000000,21.190000,37.210000,2.11,0,0,1630.44

35,08:30-08:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,0.000000,0.000000,21.190000,37.210000,2.05,0,0,1630.38

36,08:45:09:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,8.670000,22.970000,0.000000,0.000000,21.190000,37.210000,2.66,0,0,1630.99

37,09:00:09:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,9.630000,22.970000,0.000000,0.000000,21.190000,37.210000,2.66,0,0,1631.95

38,09:15-09:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,9.630000,22.970000,0.000000,0.000000,21.190000,37.210000,3.39,0,0,1632.68

39,09:30-09:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,11.560000,22.970000,0.000000,0.000000,21.190000,37.210000,3.39,0,0,1634.61

40,09:45-10:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,11.560000,22.970000,0.000000,0.000000,21.190000,37.210000,2.97,0,0,1634.19

41,10:00-10:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,11.560000,22.970000,0.000000,0.000000,21.190000,37.210000,3.6,0,0,1634.82

42,10:15-10:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,11.560000,22.970000,0.000000,0.000000,21.190000,37.210000,3.39,0,0,1634.61

43,10:30-10:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,2.97,0,0,1638.65

44,10:45-11:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3.6,0,0,1639.28

45,11:00-11:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3.46,0,0,1639.14

46,11:15-11:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3.52,0,0,1639.2

47,11:30-11:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3.14,0,0,1638.82

48,11:45-12:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3.37,0,0,1639.05

49,12:00-12:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,4.15,0,0,1639.83

50,12:15-12:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,4.83,0,0,1640.51

51,12:30-12:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3.58,0,0,1639.26

52,12:45-13:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,4.16,0,0,1639.84

53,13:00-13:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,5.22,0,0,1640.9

54,13:15-13:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,4.82,0,0,1640.5

55,13:30-13:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,5.2,0,0,1640.88

56,13:45-14:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,5.69,0,0,1641.37

57,14:00-14:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,8.56,0,0,1644.24

58,14:15-14:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,3.500000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,6.44,0,0,1642.12

59,14:30-14:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,7.27,0,0,1639.45

60,14:45-15:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,7.89,0,0,1640.07

61,15:00-15:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,4.87,0,0,1637.05

62,15:15-15:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,0.000000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,3,0,0,1635.18

