Time,Block,NR/2023/16486/D,NR/2023/16494/C,NR/2023/15402/F,NR/2023/14898/A,NR/2023/16507/C,NR/2023/14745/A,NR/2023/16508/C,NR/2023/14737/A,NR/2023/16535/C,NR/2023/16190/F,NR/2023/12053/A,NR/2023/13635/A,NR/2023/16483/D,NR/2023/16515/C,NR/2023/15309/F,NR/2023/13862/A,NR/2023/14895/A,NR/2023/12167/A,NR/2023/12591/A,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/16502/C,NR/2023/16471/D,NR/2023/15057/F,NR/2023/12347/A,NR/2023/12422/A,NR/2023/16487/D,NR/2023/16476/D,NR/2023/14746/A,SR/2023/9052/C,NR/2023/16501/C,ER/2023/10267/C,SR/2023/9012/C,Total
63,15:30-15:45,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,94.600000,22.250000,13.340000,72.550000,0.920000,106.400000,0.000000,5.13,0.000000,0.000000,0.00,0,0.000000,0.00,1209.59

64,15:45-16:00,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,95.770000,22.250000,13.340000,72.550000,0.920000,106.400000,0.000000,5.03,0.000000,0.000000,0.00,0,0.000000,0.00,1210.66

65,16:00-16:15,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,105.970000,22.250000,13.530000,72.550000,0.820000,106.400000,0.000000,4.16,0.000000,0.000000,0.00,0,0.000000,0.00,1202.67

66,16:15-16:30,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,106.530000,22.250000,13.530000,72.550000,0.820000,106.400000,0.000000,3.87,0.000000,0.000000,100.00,0,0.000000,0.00,1302.94

67,16:30-16:45,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,106.700000,22.250000,13.530000,72.550000,0.820000,106.400000,0.000000,3.39,0.000000,0.000000,100.00,0,0.000000,0.00,1302.63

68,16:45-17:00,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,107.100000,22.250000,13.530000,72.550000,0.820000,106.400000,0.000000,2.42,0.000000,0.000000,100.00,0,0.000000,0.00,1302.06

69,17:00-17:15,0.000000,11.090000,0.000000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,113.790000,22.250000,13.720000,72.550000,0.820000,48.360000,0.000000,2.06,0.000000,0.000000,0.00,0,0.000000,0.00,1120.62

70,17:15-17:30,0.000000,11.090000,0.000000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,113.790000,22.250000,13.720000,72.550000,0.820000,48.360000,0.000000,1.92,0.000000,0.000000,0.00,0,0.000000,0.00,1120.48

71,17:30-17:45,0.000000,11.090000,0.000000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,113.790000,22.250000,13.720000,72.550000,0.820000,48.360000,0.000000,1.2,0.000000,0.000000,0.00,0,0.000000,0.00,1119.76

72,17:45-18:00,0.000000,11.090000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,113.790000,22.250000,13.720000,72.550000,0.820000,48.360000,0.000000,0.9,0.000000,0.000000,0.00,0,0.000000,0.00,1099.46

73,18:00-18:15,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,48.360000,0.000000,0.42,0.000000,0.000000,0.00,0,0.000000,0.00,1118.21

74,18:15-18:30,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,48.360000,0.000000,0.19,0.000000,0.000000,0.00,0,0.000000,0.00,1117.98

75,18:30-18:45,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1117.79

76,18:45-19:00,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1117.79

77,19:00-19:15,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1140.27

78,19:15-19:30,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1140.27

79,19:30-19:45,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1190.27

80,19:45-20:00,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1190.27

81,20:00-20:15,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.170000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1190.36

82,20:15-20:30,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.170000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1190.36

83,20:30-20:45,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.170000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1190.36

84,20:45-21:00,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.170000,72.550000,0.920000,48.360000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1190.36

85,21:00-21:15,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.270000,72.550000,0.920000,91.890000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1233.99

86,21:15-21:30,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.270000,72.550000,0.920000,91.890000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1233.99

87,21:30-21:45,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.270000,72.550000,0.920000,91.890000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1233.99

88,21:45-22:00,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.270000,72.550000,0.920000,91.890000,0.000000,0,0.000000,0.000000,0.00,0,0.000000,0.00,1233.99

89,22:00-22:15,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1432.02

90,22:15-22:30,0.000000,11.090000,0.000000,77.380000,50.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1432.02

91,22:30-22:45,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1382.02

92,22:45-23:00,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,14.080000,72.550000,0.920000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1382.02

93,23:00-23:15,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1381.79

94,23:15-23:30,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1381.79

95,23:30-23:45,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1381.79

96,23:45-24:00,0.000000,11.090000,0.000000,77.380000,0.000000,0.000000,22.250000,62.870000,48.360000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,120.470000,22.250000,13.900000,72.550000,0.870000,91.890000,38.010000,0,0.000000,88.700000,0.00,0,0.000000,0.00,1381.79

