Column1,Block,NR/2024/23225/C,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/22/5523,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,NR/2024/23118/A/38456,NR/2024/22754/A/38435,NR/2024/23223/C,GNA/NR/2024/09/16/2535,NR/2024/23038/A/38157,NR/2024/23256/C,NR/2024/22874/A/38461,NR/2024/23226/C,NR/2024/22835/A/38496,NR/2024/23228/C,NR/2024/22803/A/38462,NR/2024/23242/C,GNA/NR/2024/09/01/8090,NR/2024/23122/A/38457,NR/2024/23119/A/38458,NR/2024/23121/A/38459,NR/2024/23017/A/38235,NR/2024/22848/A/38488,NR/30092023/31122025/SH-07,NR/2024/21658/A/38194,NR/2024/22820/A/38161,GNA/NR/2024/09/22/2364,GNARE/SR/2024/09/22/6595,Total
88,21:45-22:00,0,2.13,17.52,18.51,10.91,74.63,30.5,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,23.35,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1089.9899999999998

89,22:00-22:15,0,2.13,17.52,18.51,10.73,68.81,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,19.92,8.81,26.43,26.43,26.43,10.66,84.49,30.5,0.78,4.85,42.06,25,1273.4299999999998

90,22:15-22:30,0,2.13,17.52,18.51,10.73,71.72,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,20.59,8.81,26.43,26.43,26.43,10.66,84.49,30.5,0.78,4.85,42.06,25,1277.01

91,22:30-22:45,0,2.13,17.52,18.51,10.73,77.54,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,20.53,8.81,26.43,26.43,26.43,9.69,84.49,30.5,0.78,4.85,42.06,25,1281.8

92,22:45-23:00,0,2.13,17.52,18.51,10.73,79.47,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,21.24,8.81,26.43,26.43,26.43,9.69,84.49,30.5,0.78,4.85,42.06,25,1284.44

93,23:00-23:15,0,2.13,17.52,18.51,10.54,84.32,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,94.4,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,30.5,0.78,4.85,0,0,1204.1

94,23:15-23:30,0,2.13,17.52,18.51,10.54,78.51,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,94.4,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,30.5,0.78,4.85,0,0,1198.29

95,23:30-23:45,0,2.13,17.52,18.51,10.54,0,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,94.4,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,30.5,0.78,4.85,0,0,1119.7799999999997

96,23:45-24:00,0,2.13,17.52,18.51,10.54,0,30.5,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,94.4,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,30.5,0.78,4.85,0,0,1119.7799999999997

