Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21970/A/35059,NR/2024/21911/A/35005,NR/2024/22919/C,NR/2024/22010/A/35105,NR/2024/21974/A/35061,NR/2024/21860/A/34997,NR/2024/22920/C,NR/2024/21966/A/34841,NR/2024/21968/A/35058,NR/2024/22623/A/34843,NR/2024/22014/A/34775,NR/2024/21961/A/35022,NR/2024/21938/A/35024,NR/2024/21971/A/35060,NR/2024/21933/A/34824,NR/2024/21658/A/34778,NR/2024/21983/A/34822,NR/2024/22279/A/34768,NR/2024/21956/A/35056,NR/2024/21814/A/35062,NR/2024/22498/A/35106,NR/2024/22042/A/34773,NR/2024/21943/A/35050,NR/2024/21918/A/35103,NR/2024/21954/A/35052,NR/2024/21940/A/35055,NR/2024/22903/C,NR/2024/22611/A/34845,NR/2024/22610/A/34846,NR/2024/22918/C,Total
66,16:15-16:30,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.82,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,38.56,1.22,1306.7600000000002

67,16:30-16:45,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.82,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,32.75,2.37,1302.1000000000001

68,16:45-17:00,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.82,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,26.26,2.33,1295.5700000000002

69,17:00-17:15,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,12.6,1.94,0,0,31.88,0,0.78,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,1.35,1258.19

70,17:15-17:30,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,12.6,1.94,0,0,31.88,0,0.78,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,2.06,1258.9

71,17:30-17:45,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,12.6,1.94,0,0,31.88,0,0.78,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,1.25,1258.0900000000001

72,17:45-18:00,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,12.25,31.88,33.91,28.1,0,37.43,12.6,1.94,0,0,31.88,0,0.78,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0.76,1258.0700000000002

73,18:00-18:15,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0.68,1244.7700000000002

74,18:15-18:30,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0.28,1244.3700000000001

75,18:30-18:45,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1263.47

76,18:45-19:00,12.48,24.77,18.9768,18.9768,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1254.6936

77,19:00-19:15,12.48,24.77,0,32,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1248.74

78,19:15-19:30,12.48,24.77,0,32,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1248.74

79,19:30-19:45,12.48,24.77,0,32,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1248.74

80,19:45-20:00,12.48,24.77,0,32,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1248.74

81,20:00-20:15,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1277.74

82,20:15-20:30,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1277.74

83,20:30-20:45,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1277.74

84,20:45-21:00,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,14.43,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1277.74

85,21:00-21:15,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1273.76

86,21:15-21:30,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1273.76

87,21:30-21:45,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1273.76

88,21:45-22:00,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,11.63,1.94,0,0,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1273.76

89,22:00-22:15,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,10.66,1.94,98.1,32.7,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1403.59

90,22:15-22:30,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,10.66,1.94,98.1,32.7,31.88,0,0.78,0,4.84,43.6,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1403.59

91,22:30-22:45,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,9.69,1.94,98.1,32.7,31.88,0,0.78,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1426.84

92,22:45-23:00,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,9.69,1.94,98.1,32.7,31.88,0,0.78,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1426.84

93,23:00-23:15,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,9.69,1.94,98.1,32.7,31.88,0,0.73,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1426.79

94,23:15-23:30,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,9.69,1.94,98.1,32.7,31.88,0,0.73,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1426.79

95,23:30-23:45,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,9.69,1.94,98.1,32.7,31.88,0,0.73,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1426.79

96,23:45-24:00,12.48,24.77,30.5,30.5,82.36,82.36,40.69,20.35,17.44,0,10.45,12.48,0,164.96,0,31.88,33.91,28.1,0,37.43,9.69,1.94,98.1,32.7,31.88,0,0.73,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1426.79

