Column1,Block,NR/2025/24839/A/49799,NR/2025/24837/A/49794,NR/2024/24434/A/49713,NR/2025/24838/A/49796,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/2024/24418/A/49661,NR/2024/24507/A/50024,NR/2024/24566/A/49704,SR/2024/15456/A/49703,NR/2025/24918/C,WR/2024/25501/A/49972,NER/2024/2820/A/49981,NR/2024/24614/A/50022,NR/2024/24435/A/49712,NR/2025/24921/C,NR/2024/24508/A/50023,NR/2025/24922/C,NR/2025/24930/C,NR/2025/24931/C,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3514,Total
78,19:15-19:30,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.58,28.82,5.76,115.28,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,966.0299999999999

79,19:30-19:45,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.58,28.82,5.76,115.28,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,966.0299999999999

80,19:45-20:00,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.58,28.82,5.76,115.28,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,966.0299999999999

81,20:00-20:15,0,0,0,0,20.17,50,0,0,0,36.51,14.41,43.23,0,36.51,48.04,14.41,0.58,28.82,5.76,153.71,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,764.28

82,20:15-20:30,0,0,0,0,20.17,50,0,0,0,36.51,14.41,43.23,0,36.51,48.04,14.41,0.58,28.82,5.76,153.71,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,764.28

83,20:30-20:45,0,0,0,0,20.17,50,0,0,0,36.51,14.41,43.23,0,36.51,48.04,14.41,0.58,28.82,5.76,153.71,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,764.28

84,20:45-21:00,0,0,0,0,20.17,50,0,0,0,36.51,14.41,43.23,0,36.51,48.04,14.41,0.58,28.82,5.76,153.71,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,764.28

85,21:00-21:15,0,0,0,0,20.17,50,0,0,0,34.59,14.41,43.23,0,34.59,48.04,30.74,0.58,28.82,5.76,269,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,853.6299999999999

86,21:15-21:30,0,0,0,0,20.17,50,0,0,0,34.59,14.41,43.23,0,34.59,48.04,30.74,0.58,28.82,5.76,269,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,853.6299999999999

87,21:30-21:45,0,0,0,0,20.17,50,0,0,0,34.59,14.41,43.23,0,34.59,48.04,30.74,0.58,28.82,5.76,269,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,853.6299999999999

88,21:45-22:00,0,0,0,0,20.17,50,0,0,0,34.59,14.41,34.59,0,34.59,48.04,30.74,0.58,28.82,5.76,269,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,30,0,50,0,19.21,844.9899999999999

89,22:00-22:15,0,0,0,0,20.17,0,0,0,0,33.62,8.65,33.62,0,33.62,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,805.34

90,22:15-22:30,0,0,0,0,20.17,0,0,0,0,33.62,8.65,33.62,0,33.62,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,805.34

91,22:30-22:45,0,0,0,0,20.17,0,0,0,0,33.62,8.65,33.62,0,33.62,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,805.34

92,22:45-23:00,0,0,0,0,20.17,0,0,0,0,33.62,8.65,33.62,0,33.62,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,805.34

93,23:00-23:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,785.18

94,23:15-23:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,785.18

95,23:30-23:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,785.18

96,23:45-24:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,30.74,0.48,28.82,5.76,288.21,0,38.43,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,30,0,50,0,19.21,785.18

