Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21774/C,NR/2024/21567/A/28533,NR/2024/20574/A/28527,NR/2024/21694/A/28528,NR/2024/21076/A/28572,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21186/A/28558,NR/2024/21156/A/28289,NR/2024/21173/A/28309,NR/2024/21146/A/28288,NR/2024/21075/A/28575,NR/2024/21802/C,NR/2024/21715/A/28274,NR/23072024/23072024/IEX_240722_01671,NR/2024/21099/A/28250,NR/2024/21142/A/28252,NR/2024/21773/C,NR/2024/21682/A/28619,NR/30092023/31122025/SH-07,NR/2024/21210/A/28253,NR/2024/20931/A/28622,NR/2024/21158/A/28293,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20711/A/28620,NR/2024/21141/A/28251,NR/2024/21339/A/28255,NR/01072024/31072024/R2,NR/2024/21788/C,NR/2024/21159/A/28291,NR/2024/21096/A/28565,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/20688/A/28311,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21062/A/28525,NR/2024/21152/A/28235,NR/2024/21199/A/28269,NR/2024/21113/A/28534,NR/2024/21023/A/28270,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/28573,NR/2024/20573/A/28529,NR/2024/21153/A/28285,NR/2024/19779/A/28227,NR/2024/21227/A/28547,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21160/A/28290,NR/2024/21148/A/28287,NR/2024/21798/C,NR/2024/21108/A/28545,NR/2024/21087/A/28310,NR/2024/21103/A/28552,NR/2024/21150/A/28286,NR/2024/20966/A/28236,NR/2024/21238/A/28576,NR/2024/21072/A/28536,NR/2024/21089/A/28535,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,Total
29,07:00-07:15,0,0,0.72,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.770000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1605.88

30,07:15-07:30,0,0,1.57,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.770000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1606.73

31,07:30-07:45,0,0,1.66,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,13.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.770000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1610.82

32,07:45:08:00,0,0,1.79,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,13.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.770000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1610.95

33,08:00-08:15,0,0,1.59,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,13.950000,48.230000,48.230000,0.680000,15.140000,32.000000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1610.94

34,08:15-08:30,0,0,2.11,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,13.950000,48.230000,48.230000,0.680000,15.140000,32.000000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1611.46

35,08:30-08:45,0,0,2.51,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1611.85

36,08:45:09:00,0,0,2.75,7.230000,0.000000,0.000000,90.670000,11.970000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1612.09

37,09:00:09:15,0,0,2.94,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1613.07

38,09:15-09:30,0,0,4.06,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1614.19

39,09:30-09:45,0,0,4.22,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,11.580000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1616.28

40,09:45-10:00,0,0,4.29,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,11.580000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1616.35

41,10:00-10:15,0,0,4.51,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,11.580000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1616.57

42,10:15-10:30,0,0,4.55,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,11.580000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1616.61

43,10:30-10:45,0,0,4.74,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1617.76

44,10:45-11:00,0,0,5.02,7.230000,0.000000,0.000000,90.670000,11.790000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1618.04

45,11:00-11:15,0,0,5.35,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1618.18

46,11:15-11:30,0,0,5.55,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1618.38

47,11:30-11:45,0,0,5.69,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1618.52

48,11:45-12:00,0,0,5.93,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1618.76

49,12:00-12:15,0,0,6.13,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1618.96

50,12:15-12:30,0,0,6.27,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1619.1

51,12:30-12:45,0,0,6.66,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1619.49

52,12:45-13:00,0,0,6.95,7.230000,0.000000,0.000000,90.670000,11.600000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1619.78

53,13:00-13:15,0,0,7.67,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1608.9

54,13:15-13:30,0,0,7.91,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1609.14

55,13:30-13:45,0,0,7.19,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1608.42

56,13:45-14:00,0,0,6.18,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1607.41

57,14:00-14:15,0,0,5.59,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1606.82

58,14:15-14:30,0,0,5.02,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1606.25

59,14:30-14:45,0,0,4.49,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1605.72

60,14:45-15:00,0,0,4.05,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,22.970000,48.230000,48.230000,0.680000,15.140000,22.970000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1605.28

61,15:00-15:15,0,0,3.86,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1605.1

62,15:15-15:30,0,0,3.67,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1604.91

63,15:30-15:45,0,0,3.47,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1604.71

64,15:45-16:00,0,0,3.28,7.230000,0.000000,0.000000,90.670000,0.000000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.960000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1604.52

65,16:00-16:15,0,0,3.09,7.230000,0.000000,0.000000,90.670000,13.170000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.820000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1617.36

66,16:15-16:30,0,0,2.7,7.230000,0.000000,0.000000,90.670000,13.170000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.820000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1616.97

67,16:30-16:45,0,0,2.41,7.230000,0.000000,0.000000,90.670000,13.170000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,12.540000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,48.230000,0.680000,15.140000,13.950000,96.460000,0.000000,96.460000,0.000000,0.000000,0.880000,24.120000,0.000000,0.000000,0.000000,66.740000,12.420000,24.120000,1.930000,72.340000,37.260000,96.460000,0.000000,0.000000,0.000000,21.220000,0.000000,1.590000,0.820000,0.000000,0.000000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1616.68

