Column1,Block,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/1389,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2139,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/9334,NR/30092023/26122029/SH-06,NR/2025/26088/C,WR/2025/27350/A/65881,NR/2025/26073/C,NR/2025/25945/A/66146,NR/2025/25947/A/66145,NR/2025/25948/A/66144,NR/2025/26031/A/65897,NR/2025/25955/A/66143,WR/2025/27361/A/66154,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/65714,Total
91,22:30-22:45,9.62,2.88,50,9.62,9.62,28.84,10.67,1.92,96.15,32,2.88,72.11,48.08,53.97,14.57,19.23,0,22.11,2.88,27,32.02,0,180.76,43.7,43.7,14.57,4.81,28.97,24.04,0,0,886.7200000000001

92,22:45-23:00,9.62,2.88,50,9.62,9.62,28.84,10.67,1.92,96.15,32,2.88,72.11,48.08,53.94,14.57,19.23,0,22.11,2.88,27,32.02,0,164.73,43.7,43.7,14.57,4.81,28.97,24.04,0,0,870.6600000000001

93,23:00-23:15,9.62,2.88,50,9.62,9.62,28.84,10.86,1.92,96.15,32,2.88,72.11,48.08,53.92,14.57,19.23,0,22.11,2.88,27,32.02,0,164.73,43.7,43.7,14.57,3.85,28.97,24.04,0,0,869.8700000000001

94,23:15-23:30,9.62,2.88,50,9.62,9.62,28.84,10.86,1.92,96.15,32,2.88,72.11,48.08,54.14,14.57,19.23,0,22.11,2.88,27,32.02,0,164.73,43.7,43.7,14.57,3.85,28.97,24.04,0,0,870.0900000000001

95,23:30-23:45,9.62,2.88,50,9.62,9.62,28.84,10.86,1.92,96.15,32,2.88,72.11,48.08,53.94,14.57,19.23,0,22.11,2.88,27,32.02,0,164.73,43.7,43.7,14.57,3.85,28.97,24.04,0,0,869.8900000000001

96,23:45-24:00,9.62,2.88,50,9.62,9.62,28.84,10.86,1.92,96.15,32,2.88,72.11,48.08,53.94,14.57,19.23,0,22.11,2.88,27,32.02,0,164.73,43.7,43.7,14.57,3.85,28.97,24.04,0,0,869.8900000000001

