Time,Block,ER/2023/8064/C,ER/2023/8065/C,ER/2023/8050/C,NR/2023/13177/D,ER/2023/8072/C,NR/2023/13172/D,NR/2023/13179/D,NR/2023/11953/A,NR/2023/11507/A,NR/2023/12920/F,NR/2023/11266/A,NR/2023/12917/F,NR/2023/12813/F,NR/2023/12923/F,NR/2023/10460/A,NR/2023/10651/A,NR/2023/11447/A,NR/2023/13189/C,NR/2023/13192/C,NR/2023/11712/A,NR/2023/13190/C,NR/2023/10956/A,NR/2023/12661/A,NR/2023/10786/A,NR/2023/12169/A,NR/2023/13203/C,NR/2023/10436/A,NR/2023/10947/A,NR/2023/12915/F,NR/2023/12872/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/13201/C,NR/2023/12922/F,NR/2023/13173/D,NR/2023/12919/F,NR/2023/12916/F,NR/2023/12706/A,NR/2023/12956/F,NR/2023/12924/F,NR/2023/11709/A,NR/2023/13197/C,NR/2023/12921/F,NR/2023/12814/F,NR/2023/13183/C,Total
48,11:45-12:00,50.000000,50.000000,12.680000,46.5,60.000000,6.63,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1372.23

49,12:00-12:15,50.000000,50.000000,12.680000,46.5,60.000000,6.65,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1372.25

50,12:15-12:30,50.000000,50.000000,12.680000,46.5,60.000000,6.67,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1372.27

51,12:30-12:45,50.000000,50.000000,12.680000,46.5,60.000000,7.25,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1372.85

52,12:45-13:00,50.000000,50.000000,12.680000,46.5,60.000000,7.64,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1373.24

53,13:00-13:15,50.000000,50.000000,12.680000,46.5,60.000000,8.51,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1374.11

54,13:15-13:30,50.000000,50.000000,12.680000,46.5,60.000000,8.8,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1374.4

55,13:30-13:45,50.000000,50.000000,12.680000,46.5,60.000000,8.99,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1374.59

56,13:45-14:00,50.000000,50.000000,12.680000,46.5,60.000000,8.9,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1374.5

57,14:00-14:15,50.000000,140.000000,12.680000,46.5,60.000000,8.8,108.5,0.000000,255.340000,0.660000,17.200000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.070000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,33.660000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1505.07

58,14:15-14:30,50.000000,140.000000,12.680000,46.5,60.000000,8.51,108.5,0.000000,255.340000,0.660000,17.200000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.070000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,33.660000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1504.78

59,14:30-14:45,50.000000,140.000000,12.680000,45.33,60.000000,8.22,105.78,0.000000,255.340000,0.660000,17.200000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.070000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,33.660000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1500.6

60,14:45-15:00,50.000000,140.000000,12.680000,43.44,60.000000,7.74,101.37,0.000000,255.340000,0.660000,17.200000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.070000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,33.660000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1493.82

61,15:00-15:15,50.000000,140.000000,12.680000,42.31,60.000000,7.54,98.73,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.170000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1489.95

62,15:15-15:30,50.000000,140.000000,12.680000,40.2,60.000000,7.45,93.8,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.170000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1482.82

63,15:30-15:45,50.000000,140.000000,12.680000,36,60.000000,7.35,84,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.170000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1468.72

64,15:45-16:00,50.000000,140.000000,12.680000,33,60.000000,6.77,77,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,24.190000,64.340000,16.170000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1458.14

65,16:00-16:15,50.000000,50.000000,12.680000,30.9,60.000000,6.58,72.1,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,24.190000,64.340000,16.250000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1362.06

66,16:15-16:30,50.000000,50.000000,12.680000,28.2,60.000000,6.29,65.8,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,24.190000,64.340000,16.250000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1352.77

67,16:30-16:45,50.000000,50.000000,12.680000,25.5,60.000000,5.8,59.5,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,24.190000,64.340000,16.250000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1343.28

68,16:45-17:00,50.000000,50.000000,12.680000,21,60.000000,5.61,49,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,24.190000,64.340000,16.250000,85.110000,33.860000,106.420000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,23.160000,0.000000,0.660000,78.370000,30.000000,1328.09

69,17:00-17:15,0.000000,0.000000,12.680000,17.4,0.000000,4.84,40.6,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,16.350000,85.110000,33.860000,48.380000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1049.74

70,17:15-17:30,0.000000,0.000000,12.680000,10.5,0.000000,4.35,24.5,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,16.350000,85.110000,33.860000,48.380000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1026.25

71,17:30-17:45,0.000000,0.000000,12.680000,8.7,0.000000,3.39,20.3,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,16.350000,85.110000,33.860000,48.380000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1019.29

72,17:45-18:00,0.000000,0.000000,12.680000,4.8,0.000000,2.42,11.2,0.000000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,16.350000,85.110000,33.860000,48.380000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,68.900000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1050.41

73,18:00-18:15,0.000000,0.000000,12.680000,3.9,0.000000,1.26,9.1,36.500000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.440000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,113.980000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1085.07

74,18:15-18:30,0.000000,0.000000,12.680000,2.7,0.000000,0,6.3,36.500000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.440000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,113.980000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1079.81

75,18:30-18:45,0.000000,0.000000,12.680000,1.8,0.000000,0,4.2,36.500000,255.340000,0.660000,36.710000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.440000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,14.150000,0.690000,146.100000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,0.000000,1078.93

76,18:45-19:00,0.000000,0.000000,12.680000,0.6,0.000000,0,1.4,36.500000,255.340000,0.660000,50.860000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.440000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,0.000000,0.690000,146.100000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,0.000000,1074.93

77,19:00-19:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.660000,50.860000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.620000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.730000,23.700000,21.280000,0.000000,0.690000,146.100000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,0.000000,1073.16

78,19:15-19:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.660000,50.860000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.620000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.730000,23.700000,21.280000,0.000000,0.690000,146.100000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,0.000000,1073.16

79,19:30-19:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.660000,50.860000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.620000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.730000,23.700000,21.280000,0.000000,0.690000,146.100000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,0.000000,1073.16

80,19:45-20:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.660000,50.860000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.620000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.730000,23.700000,21.280000,0.000000,0.690000,146.100000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,0.000000,1073.16

81,20:00-20:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.810000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,0.000000,0.700000,146.100000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1073.39

82,20:15-20:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.810000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,0.000000,0.700000,146.100000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1073.39

83,20:30-20:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.810000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,0.000000,0.700000,127.510000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1054.8

84,20:45-21:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,16.810000,85.110000,0.000000,48.380000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,0.000000,0.700000,113.980000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1041.27

85,21:00-21:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,36.710000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,17.000000,85.110000,0.000000,91.910000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,14.150000,0.700000,68.900000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1039.91

86,21:15-21:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,36.710000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,17.000000,85.110000,0.000000,91.910000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,14.150000,0.700000,68.900000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1039.91

87,21:30-21:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,36.710000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,17.000000,85.110000,0.000000,91.910000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,14.150000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,994.82

88,21:45-22:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,30.570000,0.000000,64.340000,17.000000,85.110000,0.000000,91.910000,0.000000,0.000000,24.190000,0.000000,0.360000,0.770000,23.700000,21.280000,0.000000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,994.82

89,22:00-22:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.730000,23.700000,21.280000,0.000000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.9

90,22:15-22:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.730000,23.700000,21.280000,0.000000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.9

91,22:30-22:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.730000,23.700000,21.280000,0.000000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.9

92,22:45-23:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.730000,23.700000,21.280000,0.000000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.9

93,23:00-23:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,50.860000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.630000,23.700000,21.280000,0.000000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.8

94,23:15-23:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,36.710000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.630000,23.700000,21.280000,14.150000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.8

95,23:30-23:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,36.710000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.630000,23.700000,21.280000,14.150000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.8

96,23:45-24:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,36.710000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,0.000000,91.910000,65.020000,0.000000,24.190000,27.860000,0.360000,0.630000,23.700000,21.280000,14.150000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,0.000000,0.640000,78.370000,0.000000,1109.8

