Column1,Block,NR/2025/32532/A/100004,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/100045,NR/2025/32535/A/100009,NR/2025/33637/A/100025,NR/2025/32534/A/100006,NR/2025/33632/A/100029,NR/2025/32534/A/100005,NR/2025/32532/A/100003,NR/2025/33633/A/100027,NR/2025/32535/A/100008,NR/2025/34392/C,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/4452,NR/2025/34336/C,NR/30092023/26122029/SH-06,NR/2025/34374/C,NR/2025/34335/C,GNA/NR/2025/08/01/6209,NR/2025/34371/C,NR/2025/31043/A/100069,GNA/NR/2025/08/01/1196,NR/2025/34372/C,NR/2025/34361/C,NR/2025/34078/A/99684,NR/2025/34362/C,NR/2025/34363/C,NR/2025/34334/C,NR/2025/31045/A/100070,NR/2025/31049/A/100072,NR/2025/32559/A/99977,NR/2025/31048/A/100071,NR/2025/32610/A/99976,NR/2025/29992/A/99691,NR/2025/32262/A/99611,NR/2025/32375/A/100111,NR/2025/32397/A/99588,NR/2025/29440/A/99573,NR/2025/32455/A/100140,NR/2025/34247/A/100064,NR/2025/32556/A/99978,NR/2025/32004/A/99981,NR/2025/31421/A/100114,NR/2025/34263/A/100073,NR/2025/34359/C,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,Total
56,13:45-14:00,0.5,85.31,112,0.34,1.64,0.34,1.15,0.29,0.48,1.44,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1341.6

57,14:00-14:15,0.5,83.64,126,0.34,1.64,0.34,1.15,0.29,0.48,1.44,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1546.35

58,14:15-14:30,0.5,82.16,126,0.34,1.64,0.34,1.15,0.29,0.48,1.44,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1544.87

59,14:30-14:45,0.96,73.48,126,0.44,1.64,0.52,1.15,0.29,0.48,1.44,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1536.93

60,14:45-15:00,0.96,71.67,123,0.36,1.64,0.36,1.15,0.29,0.48,1.44,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1531.8799999999999

61,15:00-15:15,0.96,70,140,0.2,1.64,0.2,1.15,0.29,0.48,1.44,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1548.85

62,15:15-15:30,0.96,68.58,130,0.13,1.64,0.77,1.15,0.29,0.48,1.44,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1537.93

63,15:30-15:45,0.96,63.78,105,0.13,1.64,0.77,1.15,0.29,0.48,1.44,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1508.1299999999999

64,15:45-16:00,0.96,58.98,98,0.08,1.64,0.77,1.15,0.29,0.48,1.44,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,96.21,0,192.42,96.21,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1496.28

65,16:00-16:15,0.96,56.54,81,0.05,0,0.77,0,0.29,0.48,0,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,0,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1472.4899999999996

66,16:15-16:30,0.96,51.43,74,0.01,0,0.77,0,0.29,0.48,0,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,0,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1460.34

67,16:30-16:45,0.96,51.03,63,0,0,0.77,0,0.29,0.48,0,0.19,10.77,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,0,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1448.9299999999998

68,16:45-17:00,0.96,45.4,56,0,0,0.77,0,0.29,0.48,0,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,0,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1434.34

69,17:00-17:15,0.96,38.82,49,0,0,0.77,0,0.29,0.48,0,0.19,8.16,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1428.7699999999998

70,17:15-17:30,0.96,32.24,42,0,0,0.77,0,0.29,0.48,0,0.19,7.88,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1414.9099999999999

71,17:30-17:45,0,22.21,35,0,0,0.77,0,0.29,0.48,0,0.19,7.7,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1396.7399999999998

72,17:45-18:00,0,16.51,28,0,0,0.77,0,0.19,0.32,0,0.13,7.76,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,0,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1383.7799999999997

73,18:00-18:15,0,12.82,18,0,0,0.77,0,0.13,0.23,0,0.1,8.58,8.66,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,48.1,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1336.2299999999998

74,18:15-18:30,0,9.19,11,0,0,0,0,0.1,0.15,0,0.06,6.23,8.66,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,48.1,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1322.33

75,18:30-18:45,0,5.39,7,0,0,0,0,0.06,0.09,0,0.04,4.07,8.66,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,48.1,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1312.2499999999998

76,18:45-19:00,0,1.93,5,0,0,0,0,0.02,0.03,0,0.01,2.61,8.66,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.87,48.1,163.56,43.73,76.6,48.1,81.78,0,8.66,17.32,1305.1999999999998

77,19:00-19:15,0,1.09,1,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1321.1799999999998

78,19:15-19:30,0,0.48,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1319.5699999999997

79,19:30-19:45,0,0.12,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1319.2099999999998

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,13.47,0,0,0,96.21,96.21,43.73,0,37.18,44.26,0,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1319.0899999999997

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1359.7399999999998

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1359.7399999999998

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1359.7399999999998

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,76.6,48.1,81.78,0,14.58,28.93,1359.7399999999998

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.91,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9699999999998

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.87,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9299999999998

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.87,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9299999999998

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.87,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9299999999998

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,20.44,20.44,0,81.78,40.89,20.76,0,0,0,192.42,0,33.67,0,0,0,0,0,0,0,0,0,96.21,96.21,43.73,0,37.18,44.26,54.12,48.1,8.66,0.87,48.1,163.56,43.73,105.83,48.1,81.78,0,14.58,28.93,1388.9299999999998

