Time,Block,NR/2024/20492/C,NR/2024/20142/A/20482,NR/2024/20497/C,NR/2024/19637/A/20462,NR/2024/20496/C,NR/2024/19683/A/20390,NR/2024/20212/A/20485,NR/2024/20037/A/20434,NR/2024/20141/A/20481,NR/2024/20350/A/20245,NR/2024/19588/A/20682,NR/2024/19355/A/20848,NR/2024/20090/A/20359,NR/2024/20041/A/20835,NR/2024/19791/A/20756,NR/2024/20144/A/20483,NR/2024/20052/A/20246,NR/2024/20476/C,NR/2024/20050/A/20837,NR/2024/19757/A/20711,NR/2024/19779/A/20621,NR/2024/19760/A/20435,NR/2024/19432/A/20714,NR/2024/20048/A/20840,NR/2024/19918/A/20755,NR/2024/20130/A/20453,NR/2024/19919/A/20757,NR/2024/20475/C,NR/2024/20031/A/20710,NR/2024/19475/A/20685,NR/2024/20034/A/20709,NR/2024/20033/A/20712,NR/2024/19966/A/20471,NR/2024/20109/A/20847,NR/2024/20211/A/20484,NR/2024/20493/C,NR/2024/20478/C,Total
59,14:30-14:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,4.64,1352.28

60,14:45-15:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,4.42,1352.06

61,15:00-15:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,3.99,1351.63

62,15:15-15:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,3.67,1351.31

63,15:30-15:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,3.24,1350.88

64,15:45-16:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,2.9,1350.54

65,16:00-16:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,2.75,1191.05

66,16:15-16:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,2.51,1190.81

67,16:30-16:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,2.32,1190.62

68,16:45-17:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,1.99,1190.29

69,17:00-17:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,1.55,1187.92

70,17:15-17:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,1.25,1187.62

71,17:30-17:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,0.79,1187.16

72,17:45-18:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,0.42,1186.79

73,18:00-18:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,0.22,1186.59

74,18:15-18:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,121.570000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,0,1241.95

75,18:30-18:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,0,1168.62

76,18:45-19:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,17.370000,43.850000,192.980000,43.850000,14.620000,0.000000,183.330000,1.590000,0.000000,0,1168.62

77,19:00-19:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,0.000000,0,1209.14

78,19:15-19:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,0.000000,0,1209.14

79,19:30-19:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,0.000000,0,1209.14

80,19:45-20:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,13.510000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,0.000000,0,1209.14

81,20:00-20:15,48.240000,0.520000,48.240000,0.000000,96.490000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1428.16

82,20:15-20:30,48.240000,0.520000,48.240000,0.000000,96.490000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1428.16

83,20:30-20:45,48.240000,0.520000,48.240000,0.000000,96.490000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1428.16

84,20:45-21:00,48.240000,0.520000,48.240000,0.000000,96.490000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.820000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1428.16

85,21:00-21:15,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.770000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1476.36

86,21:15-21:30,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.770000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1476.36

87,21:30-21:45,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.770000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1476.36

88,21:45-22:00,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,1.930000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,0.000000,48.610000,0.770000,0.000000,24.120000,0.000000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1476.36

89,22:00-22:15,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,155.450000,90.460000,48.610000,0.720000,0.000000,24.120000,30.150000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1583.51

90,22:15-22:30,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.720000,0.000000,24.120000,30.150000,13.510000,0.480000,48.240000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1539.41

91,22:30-22:45,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.720000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1799.94

92,22:45-23:00,48.240000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.720000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1799.94

93,23:00-23:15,192.980000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1944.59

94,23:15-23:30,192.980000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1944.59

95,23:30-23:45,192.980000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1944.59

96,23:45-24:00,192.980000,0.520000,48.240000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1944.59

