Column1,Block,GNA/NR/2025/06/01/9719,NR/2025/28342/C,NR/2025/28405/C,NR/2025/28343/C,NR/2025/28447/C,NR/2025/28406/C,NR/2025/28331/C,NR/2025/26564/A/79232,NR/2025/27162/A/79330,NR/2025/28404/C,NR/2025/28283/C,NR/2025/26563/A/79231,NR/2025/27281/A/79406,NR/2025/28284/C,NR/2025/27157/A/78762,NR/2025/27725/A/79317,NR/2025/28341/C,NR/2025/26569/A/79233,NR/2025/28391/C,NR/2025/28547/C,NR/2025/28461/C,NR/2025/28387/C,NR/2025/27782/A/79313,NR/2025/28140/A/79222,NR/2025/28392/C,NR/2025/28395/C,NR/2025/26445/A/79279,NR/2025/28141/A/79224,NR/2025/28297/C,NR/2025/28138/A/79218,NR/2025/28402/C,NR/2025/28403/C,NR/2025/26975/A/79341,NR/2025/26952/A/78790,NR/2025/26570/A/79234,NR/2025/27167/A/79299,NR/2025/28377/C,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,GNARE/NR/2024/12/20/3668,NR/2025/26861/A/79246,NR/2025/27168/A/79301,NR/2025/26561/A/79230,NR/2025/26777/A/78895,NR/2025/27088/A/79275,NR/2025/26889/A/79283,NR/2025/26860/A/79199,NR/2025/27462/A/78800,NR/2025/27727/A/79314,NR/2025/28139/A/79220,NR/2025/27728/A/79315,NR/2025/26785/A/78804,NR/2025/27242/A/78978,NR/2025/27724/A/78907,NR/2025/27499/A/79282,NR/2025/26085/A/78788,NR/2025/27726/A/79316,NR/2025/27356/A/79226,NR/2025/27622/A/78799,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/10/8283,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7786,NR/30092023/26122029/SH-06,GNA/NR/2025/06/10/4813,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
91,22:30-22:45,24.16,0,0,0,170.07,0,0,144.94,55.99,0,0,0,24.88,0,217.42,14.64,0,0,0,48.32,129.68,0,14.64,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,144.94,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,43.92,28.99,37.34,0,48.32,11.6,8.7,0.82,43.92,0,0,29,62.81,0,113.06,48.32,11.91,48.32,48.32,29,60.88,24.16,14.61,3096.870000000001

92,22:45-23:00,24.16,0,0,0,170.07,0,0,144.94,55.99,0,0,0,24.88,0,217.42,14.64,0,0,0,48.32,108.81,0,14.64,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,144.94,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,43.92,28.99,37.34,0,48.32,11.6,8.7,0.82,43.92,0,0,29,62.81,0,119.82,48.32,11.91,48.32,48.32,29,60.88,24.16,14.61,3082.760000000001

93,23:00-23:15,24.16,0,0,0,170.07,0,0,144.94,55.99,0,0,0,24.88,0,217.42,14.64,0,0,0,48.32,107.65,0,14.64,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,144.94,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,43.92,28.99,37.34,0,48.32,10.63,8.7,0.77,43.92,0,0,29,62.81,0,113.06,48.32,11.91,48.32,48.32,29,60.88,24.16,14.61,3073.820000000001

94,23:15-23:30,24.16,0,0,0,170.07,0,0,144.94,55.99,0,0,0,24.88,0,217.42,14.64,0,0,0,48.32,103.1,0,14.64,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,144.94,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,43.92,28.99,37.34,0,48.32,10.63,8.7,0.77,43.92,0,0,29,62.81,0,114.99,48.32,11.91,48.32,48.32,29,60.88,24.16,14.61,3071.2000000000007

95,23:30-23:45,24.16,0,0,0,170.07,0,0,144.94,55.99,0,0,0,24.88,0,217.42,14.64,0,0,0,48.32,103.1,0,14.64,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,144.94,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,43.92,28.99,37.34,0,48.32,10.63,8.7,0.77,43.92,0,0,29,62.81,0,118.85,48.32,11.91,48.32,48.32,29,60.88,24.16,14.61,3075.060000000001

96,23:45-24:00,24.16,0,0,0,170.07,0,0,144.94,55.76,0,0,0,24.88,0,217.42,14.64,0,0,0,48.32,103.1,0,14.64,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,144.94,24.16,0,24.16,12.18,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,43.92,28.99,37.34,0,48.32,10.63,8.7,0.77,43.92,0,0,29,62.81,0,121.75,48.32,11.91,48.32,48.32,29,60.88,24.16,14.61,3078.010000000001

