Column1,Block,NR/2024/22730/C,NR/2024/22611/A/33423,NR/2024/22610/A/33424,NR/2024/22623/A/33416,NR/2024/22014/A/33340,NR/2024/21961/A/33654,NR/2024/21938/A/33655,SR/2024/13979/C,NR/2024/21970/A/33674,NR/2024/22042/A/33342,NR/2024/21911/A/33638,NR/2024/21943/A/33703,NR/2024/22010/A/33695,NR/2024/21918/A/33687,NR/2024/22279/A/33347,NR/2024/21956/A/33706,NR/2024/21814/A/33677,NR/2024/21860/A/33646,NR/2024/22498/A/33692,NR/2024/21966/A/33422,NR/2024/21968/A/33673,NR/2024/21983/A/33400,NR/2024/21974/A/33676,NR/2024/21971/A/33675,NR/2024/22731/C,NR/2024/22732/C,NR/2024/22728/C,NR/2024/21658/A/33362,NR/2024/21933/A/33402,NR/30092023/31122025/SH-07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),GNA/NR/2024/08/23/3049,GNA/NR/2024/08/23/7719,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/23/8350,NR/01082024/31082024/SKS-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21954/A/33704,NR/2024/21940/A/33705,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,Total
60,14:45-15:00,6.13,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,24.0835,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,24.0835,24.68,1399.607

61,15:00-15:15,4.41,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.9071,24.68,1403.5341999999998

62,15:15-15:30,4.94,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.9071,24.68,1404.0641999999998

63,15:30-15:45,7.15,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.9071,24.68,1406.2741999999998

64,15:45-16:00,6.27,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.9071,24.68,1405.3941999999997

65,16:00-16:15,5.51,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.82,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1404.9441999999997

66,16:15-16:30,5.42,10.53,41.53,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.82,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1403.8941999999997

67,16:30-16:45,5.08,10.62,35.73,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.82,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1397.8441999999998

68,16:45-17:00,3.65,10.62,28.01,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.82,24.14,26.9071,0,0,0,0,0,0,0,0,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1388.6941999999997

69,17:00-17:15,2.63,0,0,12.55,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1348.9941999999999

70,17:15-17:30,1.89,0,0,12.55,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1348.2542

71,17:30-17:45,1.27,0,0,12.55,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1347.6342

72,17:45-18:00,0.98,0,0,12.55,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1347.3442

73,18:00-18:15,0.67,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1334.3542

74,18:15-18:30,0.38,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1334.0642

75,18:30-18:45,0.14,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1353.1442

76,18:45-19:00,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,26.9071,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,16.41,24.07,84.19,26.9071,24.68,1353.0042

77,19:00-19:15,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

78,19:15-19:30,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

79,19:30-19:45,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

80,19:45-20:00,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

81,20:00-20:15,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

82,20:15-20:30,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

83,20:30-20:45,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

84,20:45-21:00,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

85,21:00-21:15,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

86,21:15-21:30,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

87,21:30-21:45,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

88,21:45-22:00,0,0,0,11.59,1.93,0,0,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,30.92,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,30.92,24.68,1583.13

89,22:00-22:15,0,0,0,10.62,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,32,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,0,24.68,1682.6899999999998

90,22:15-22:30,0,0,0,10.62,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,43.46,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,32,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,0,24.68,1682.6899999999998

91,22:30-22:45,0,0,0,9.66,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,13.9736,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,13.9736,24.68,1701.8172

92,22:45-23:00,0,0,0,9.66,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.77,0,13.9736,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,13.9736,24.68,1701.8172

93,23:00-23:15,0,0,0,9.66,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,13.9736,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,13.9736,24.68,1701.7672

94,23:15-23:30,0,0,0,9.66,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,13.9736,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,13.9736,24.68,1701.7672

95,23:30-23:45,0,0,0,9.66,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,13.9736,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,13.9736,24.68,1701.7672

96,23:45-24:00,0,0,0,9.66,1.93,97.78,32.59,0,12.44,3.86,0,38.63,0,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,13.9736,48.28,125.54,48.28,24.14,96.57,21.25,0,96.57,0,48.28,12.44,16.41,24.07,84.19,13.9736,24.68,1701.7672

