Time,Block,NR/2024/19918/A/20338,NR/2024/20037/A/20037,NR/2024/20034/A/20398,NR/2024/20438/C,NR/2024/20144/A/20081,NR/2024/20041/A/20296,NR/2024/19355/A/20455,NR/2024/20052/A/19847,NR/2024/20439/C,NR/2024/19683/A/19976,NR/2024/19966/A/20056,NR/2024/20431/C,NR/2024/20419/C,NR/2024/20109/A/20454,NR/2024/19757/A/20402,NR/2024/20048/A/20295,NR/2024/20142/A/20080,NR/2024/20090/A/19940,NR/2024/20212/A/20077,NR/2024/19432/A/20416,NR/2024/20436/C,NR/2024/20211/A/20078,NR/2024/20130/A/20067,NR/2024/20350/A/20060,NR/2024/19475/A/20302,NR/2024/20420/C,NR/2024/19637/A/20052,NR/2024/19760/A/20039,NR/2024/20031/A/20400,NR/2024/19699/A/20412,NR/2024/20141/A/20079,NR/2024/20441/C,NR/2024/20050/A/20294,NR/2024/19779/A/20219,NR/2024/19791/A/20339,NR/2024/19588/A/20066,NR/2024/20033/A/20404,NR/2024/20442/C,NR/2024/20418/C,Total
41,10:00-10:15,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,4.44,1404.08

42,10:15-10:30,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,5.84,1405.48

43,10:30-10:45,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,7.26,1406.9

44,10:45-11:00,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,8.19,1407.83

45,11:00-11:15,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,7.73,1407.37

46,11:15-11:30,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,5.12,1404.76

47,11:30-11:45,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,4.14,1403.78

48,11:45-12:00,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.85,1402.49

49,12:00-12:15,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,1.47,1414.62

50,12:15-12:30,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.72,1415.87

51,12:30-12:45,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,3.68,1416.83

52,12:45-13:00,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,7.07,1420.22

53,13:00-13:15,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,8.87,1422.02

54,13:15-13:30,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,7.21,1420.36

55,13:30-13:45,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.7,1415.85

