Time,Block,NR/2023/11959/F,NR/2023/12764/C,NR/2023/10613/A,NR/2023/10229/A,NR/2023/11284/A,NR/2023/12763/C,NR/2023/11955/F,NR/2023/10487/A,NR/2023/10434/A,NR/2023/11947/F,NR/2023/12761/C,NR/2023/11963/F,NR/2023/11956/F,NR/2023/11957/F,NR/2023/12760/C,NR/2023/11643/A,NR/2023/10236/A,NR/2023/11960/F,NR/2023/11862/F,NR/2023/10944/A,NR/2023/11952/F,NR/2023/12738/D,NR/2023/11961/F,NR/2023/11958/F,NR/2023/12743/D,NR/2023/11476/A,NR/2023/11330/A,NR/2023/12656/F,NR/2023/11962/F,NR/2023/10611/A,NR/2023/11941/F,NR/2023/10173/A,NR/2023/11642/A,NR/2023/11342/A,NR/2023/12750/C,NR/2023/11640/A,NR/2023/12759/C,NR/2023/10344/A,NR/2023/10223/A,ER/2023/7765/C,NR/2023/12744/D,NR/2023/12745/D,NR/2023/12758/C,Total
51,12:30-12:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.730000,12.250000,21.510000,30.000000,183.4,78.6,7.4,1149.97

52,12:45-13:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.730000,12.250000,21.510000,30.000000,183.4,78.6,8.27,1150.84

53,13:00-13:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.550000,12.250000,21.510000,30.000000,183.4,78.6,8.42,1150.81

54,13:15-13:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.550000,12.250000,21.510000,30.000000,183.4,78.6,8.37,1150.76

55,13:30-13:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.550000,12.250000,21.510000,30.000000,179.9,77.1,7.3,1144.69

56,13:45-14:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.550000,12.250000,21.510000,30.000000,179.9,77.1,6.53,1143.92

57,14:00-14:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,33.630000,23.150000,12.460000,12.250000,21.510000,30.000000,175,75,6.53,1235.51

58,14:15-14:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,33.630000,23.150000,12.460000,12.250000,21.510000,30.000000,170.8,73.2,6.43,1229.41

59,14:30-14:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,33.630000,23.150000,12.460000,12.250000,21.510000,30.000000,167.3,71.7,6.53,1224.51

60,14:45-15:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,33.630000,23.150000,12.460000,12.250000,21.510000,30.000000,163.8,70.2,6.53,1219.51

61,15:00-15:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,35.670000,23.150000,12.550000,12.250000,21.510000,0.000000,156.1,66.9,6.48,1180.59

62,15:15-15:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,35.670000,23.150000,12.550000,12.250000,21.510000,0.000000,145.6,62.4,6.48,1165.59

63,15:30-15:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,35.670000,23.150000,12.550000,12.250000,21.510000,0.000000,134.4,57.6,6.43,1149.54

64,15:45-16:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,35.670000,23.150000,12.550000,12.250000,21.510000,0.000000,119,51,6.24,1127.35

65,16:00-16:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,9.670000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,36.690000,23.150000,12.650000,12.250000,21.510000,0.000000,112,48,6.14,1103.87

66,16:15-16:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,9.670000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,36.690000,23.150000,12.650000,12.250000,21.510000,0.000000,98,42,5.17,1082.9

67,16:30-16:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,9.670000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,36.690000,23.150000,12.650000,12.250000,21.510000,0.000000,88.2,37.8,4.4,1068.13

68,16:45-17:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,9.670000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,36.690000,23.150000,12.650000,12.250000,21.510000,0.000000,72.8,31.2,4.35,1046.08

69,17:00-17:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,12.830000,12.250000,21.510000,0.000000,57.4,24.6,3.77,991.88

70,17:15-17:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,12.830000,12.250000,21.510000,0.000000,44.1,18.9,2.51,971.62

71,17:30-17:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,158.750000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,12.830000,12.250000,21.510000,0.000000,35.7,15.3,1.21,1034.02

72,17:45-18:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,12.830000,12.250000,21.510000,0.000000,30.8,13.2,0.48,1060.9

73,18:00-18:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,13.010000,12.250000,21.510000,0.000000,23.8,10.2,0,1087.08

74,18:15-18:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,13.010000,12.250000,21.510000,0.000000,14,6,0,1073.08

75,18:30-18:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,13.010000,12.250000,21.510000,0.000000,7,3,0,1063.08

76,18:45-19:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,13.010000,12.250000,21.510000,0.000000,3.5,1.5,0,1058.08

77,19:00-19:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,13.110000,12.250000,21.510000,0.000000,0,0,0,1053.18

78,19:15-19:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,37.710000,0.000000,13.110000,12.250000,21.510000,0.000000,0,0,0,1053.18

79,19:30-19:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,37.710000,0.000000,13.110000,12.250000,21.510000,0.000000,0,0,0,997.75

80,19:45-20:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,37.710000,0.000000,13.110000,12.250000,21.510000,0.000000,0,0,0,997.75

81,20:00-20:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.290000,12.250000,21.510000,0.000000,0,0,0,994.87

82,20:15-20:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.290000,12.250000,21.510000,0.000000,0,0,0,994.87

83,20:30-20:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.290000,12.250000,21.510000,0.000000,0,0,0,994.87

84,20:45-21:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,193.360000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.290000,12.250000,21.510000,0.000000,0,0,0,994.87

85,21:00-21:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,62.840000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,162.130000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.480000,12.250000,21.510000,0.000000,0,0,0,1026.67

86,21:15-21:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,131.480000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,134.190000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.480000,12.250000,21.510000,0.000000,0,0,0,1067.37

87,21:30-21:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,191.430000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.480000,12.250000,21.510000,0.000000,0,0,0,1076.18

88,21:45-22:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,269.740000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,0.000000,13.480000,12.250000,21.510000,0.000000,0,0,0,1154.49

89,22:00-22:15,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,196.260000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,23.150000,13.660000,12.250000,21.510000,0.000000,0,0,0,1209.82

90,22:15-22:30,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,266.840000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,23.150000,13.660000,12.250000,21.510000,0.000000,0,0,0,1280.4

91,22:30-22:45,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,348.050000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,23.150000,13.660000,12.250000,21.510000,0.000000,0,0,0,1361.61

92,22:45-23:00,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,282.310000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,34.650000,23.150000,13.660000,12.250000,21.510000,0.000000,0,0,0,1295.87

93,23:00-23:15,0.930000,29.000000,12.670000,43.030000,33.840000,29.000000,0.360000,41.570000,24.170000,6.770000,399.290000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,32.610000,23.150000,13.840000,12.250000,21.510000,0.000000,0,0,0,1468.99

94,23:15-23:30,0.930000,38.670000,12.670000,43.030000,33.840000,38.670000,0.360000,41.570000,24.170000,6.770000,410.890000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,32.610000,23.150000,13.840000,12.250000,21.510000,0.000000,0,0,0,1499.93

95,23:30-23:45,0.930000,38.670000,12.670000,43.030000,33.840000,48.340000,0.360000,41.570000,24.170000,6.770000,419.590000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,32.610000,23.150000,13.840000,12.250000,21.510000,0.000000,0,0,0,1518.3

96,23:45-24:00,0.930000,38.670000,12.670000,43.030000,33.840000,53.170000,0.360000,41.570000,24.170000,6.770000,416.690000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,7.410000,75.530000,14.500000,116.020000,32.610000,23.150000,13.840000,12.250000,21.510000,0.000000,0,0,0,1520.23

