Time,Block,NR/2024/19516/C,NR/2024/19115/A/15544,NR/2024/19531/C,NR/2024/18976/A/15602,NR/2024/19245/A/15692,NR/2024/19024/A/15693,NR/2024/19523/C,NR/2024/19485/A/16114,NR/2024/19537/C,NR/2024/19075/A/15549,NR/2024/19483/A/16112,NR/2024/18919/A/16162,NR/2024/18978/A/15604,NR/2024/19469/A/15874,NR/2024/18935/A/15593,NR/2024/18934/A/15592,NR/2024/18986/A/15631,NR/2024/19549/C,NR/2024/19539/C,NR/2024/18936/A/15594,NR/2024/19030/A/15574,NR/2024/19143/A/15541,NR/2024/19121/A/15704,NR/2024/19172/A/16268,NR/2024/18996/A/16120,NR/2024/19538/C,NR/2024/19540/C,NR/2024/19043/A/15560,NR/2024/18977/A/15603,NR/2024/19484/A/16113,NR/2024/19536/C,NR/2024/19290/A/16266,NR/2024/19529/C,NR/2024/18855/A/15705,NR/2024/19517/C,NR/2024/19526/C,NR/2024/19337/A/15691,Total
59,14:30-14:45,5.65,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,733.14

60,14:45-15:00,5.41,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,732.9

61,15:00-15:15,5.23,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,732.47

62,15:15-15:30,5.02,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,732.26

63,15:30-15:45,4.34,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,731.58

64,15:45-16:00,3.2,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,730.44

65,16:00-16:15,2.46,48.260000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,637.02

66,16:15-16:30,2.18,48.260000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,636.74

67,16:30-16:45,2.15,48.260000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,636.71

68,16:45-17:00,1.43,48.260000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,5.790000,4.830000,0.720000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,635.99

69,17:00-17:15,1.28,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,0.000000,1.930000,522.09

70,17:15-17:30,0.66,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,0.000000,1.930000,521.47

71,17:30-17:45,0.52,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,0.000000,1.930000,521.33

72,17:45-18:00,0.41,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,0.000000,1.930000,521.22

73,18:00-18:15,0.22,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,531.08

74,18:15-18:30,0.1,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,530.96

75,18:30-18:45,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,530.86

76,18:45-19:00,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,530.86

77,19:00-19:15,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,532.86

78,19:15-19:30,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,532.86

79,19:30-19:45,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,532.86

80,19:45-20:00,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,167.000000,0.000000,1.930000,532.86

81,20:00-20:15,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,96.530000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,52.130000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,43.440000,1.930000,703.33

82,20:15-20:30,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,96.530000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,53.090000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,43.440000,1.930000,704.29

83,20:30-20:45,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,96.530000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,61.780000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,43.440000,1.930000,712.98

84,20:45-21:00,0,0.000000,0.000000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,96.530000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,68.540000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,108.690000,43.440000,1.930000,719.74

85,21:00-21:15,0,0.000000,33.790000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,96.530000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,84.950000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1107.79

86,21:15-21:30,0,0.000000,33.790000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,96.530000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,90.740000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1113.58

87,21:30-21:45,0,0.000000,33.790000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,80.120000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1199.49

88,21:45-22:00,0,0.000000,33.790000,0.000000,1.930000,4.830000,0.000000,43.870000,36.680000,0.000000,14.620000,0.000000,0.000000,1.930000,0.000000,0.000000,0.680000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,88.810000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1208.18

89,22:00-22:15,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.680000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,101.360000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1321.12

90,22:15-22:30,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.680000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,110.040000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1329.8

91,22:30-22:45,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.680000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,110.040000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,108.690000,43.440000,1.930000,1329.8

92,22:45-23:00,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.680000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,106.180000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1269.76

93,23:00-23:15,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.630000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,111.970000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1275.5

94,23:15-23:30,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.630000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,116.800000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1280.33

95,23:30-23:45,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.630000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,106.180000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1269.71

96,23:45-24:00,0,0.000000,33.790000,0.000000,1.930000,4.830000,39.580000,43.870000,36.680000,0.000000,14.620000,9.650000,0.000000,1.930000,0.000000,0.000000,0.630000,193.060000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,96.530000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1260.06

