Column1,Block,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7908,NR/2024/22833/A/36967,NR/2024/23017/A/36696,GNA/NR/2024/09/01/8090,NR/2024/21658/A/36672,GNA/NR/2024/09/01/7119,NR/2024/22734/A/36891,NR/2024/22835/A/36912,NR/2024/22837/A/36966,NR/2024/22848/A/36938,NR/2024/22802/A/36961,NR/2024/22839/A/36965,NR/2024/22754/A/36902,NR/2024/22860/A/36936,NR/2024/23038/A/36625,SR/2024/14136/C,NR/2024/22753/A/36901,NR/2024/23070/C,NR/2024/22816/A/36655,NR/2024/22820/A/36629,NR/2024/23075/C,NR/2024/22874/A/36969,NR/2024/23076/C,NR/2024/22888/A/36920,NR/2024/22832/A/36968,NR/2024/23082/C,NR/2024/23083/C,NR/2024/23074/C,Total
73,18:00-18:15,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,0.07,1181.17

74,18:15-18:30,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,0,1181.1000000000001

75,18:30-18:45,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1199.52

76,18:45-19:00,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,71.67,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1271.19

77,19:00-19:15,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,130.75,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1330.27

78,19:15-19:30,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,140.43,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1339.9499999999998

79,19:30-19:45,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,145.28,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1344.8

80,19:45-20:00,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,146.24,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1345.76

81,20:00-20:15,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,152.05,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1351.5199999999995

82,20:15-20:30,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,157.87,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1357.3399999999997

83,20:30-20:45,0,82.32,32,82.32,20.58,12.76,41.16,1.94,41.16,21.71,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,155.93,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1355.3699999999994

84,20:45-21:00,0,82.32,32,82.32,20.58,12.76,41.16,1.94,41.16,21.71,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,91.04,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1290.4799999999998

85,21:00-21:15,0,82.32,32,82.32,20.58,12.48,41.16,1.94,41.16,21.71,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,163.68,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1362.8399999999997

86,21:15-21:30,0,82.32,32,82.32,20.58,12.48,41.16,1.94,41.16,21.71,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,156.9,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1356.0599999999995

87,21:30-21:45,0,82.32,24.02,82.32,20.58,12.48,41.16,1.94,41.16,21.71,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,145.28,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1336.4599999999998

88,21:45-22:00,0,82.32,24.02,82.32,20.58,12.48,41.16,1.94,41.16,21.71,18.4,37.41,11.62,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,144.31,0,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1335.4899999999998

89,22:00-22:15,0,82.32,24.02,82.32,20.58,12.48,41.16,1.94,41.16,25.97,18.4,37.41,10.65,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,232.44,181.59,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1669.0299999999993

90,22:15-22:30,0,82.32,24.02,82.32,20.58,12.48,41.16,1.94,41.16,25.97,18.4,37.41,10.65,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,222.76,181.59,96.85,0,4.84,164.89,48.42,28.09,43.58,37.41,0,0,0,1659.3499999999995

91,22:30-22:45,0,82.32,26.87,82.32,20.58,12.48,41.16,1.94,41.16,25.97,18.4,37.41,9.68,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,237.28,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1699.9699999999996

92,22:45-23:00,0,82.32,26.87,82.32,20.58,12.48,41.16,1.94,41.16,25.97,18.4,37.41,9.68,12.47,0.77,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,215.98,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1678.6699999999994

93,23:00-23:15,0,82.32,26.87,82.32,20.58,12.48,41.16,1.94,41.16,25.97,18.4,37.41,9.68,12.47,0.77,24.8,96.85,94.33,37.41,84.43,0,6.78,60.53,13.56,3.87,42.61,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1508.5899999999995

94,23:15-23:30,0,82.32,26.87,82.32,20.58,12.48,41.16,1.94,41.16,25.97,18.4,37.41,9.68,12.47,0.77,24.8,96.85,94.33,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1465.9799999999998

95,23:30-23:45,0,82.32,26.87,82.32,20.58,12.48,41.16,1.94,41.16,26.87,18.4,37.41,9.68,12.47,0.77,24.8,96.85,94.33,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1466.8799999999999

96,23:45-24:00,0,82.32,26.87,82.32,20.58,12.48,41.16,1.94,41.16,26.87,18.4,37.41,9.68,12.47,0.77,24.8,96.85,94.33,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1466.8799999999999

