Column1,Block,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6957,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/4138,NR/2025/26418/C,NR/2025/26286/A/68349,NR/2025/26085/A/68207,NR/2025/26401/C,NR/2025/26403/C,NR/2025/26002/A/68643,NR/2025/26404/C,NR/2025/26405/C,NR/2025/26198/A/68680,NR/2025/26202/A/68777,NR/2025/26427/C,NR/2025/26312/A/68389,NR/2025/26201/A/68658,NR/2025/26437/C,NR/2025/26197/A/68681,NR/2025/26191/A/68210,NR/2025/26232/A/68698,NR/2025/26438/C,NR/2025/26233/A/68697,NR/2025/26153/A/68243,NR/2025/26200/A/68678,NR/2025/26398/C,NR/2025/25858/A/68650,NR/2025/26400/C,NR/2025/26199/A/68679,NR/2025/26436/C,NR/2025/25855/A/68651,NR/2025/26336/A/68660,NR/2025/26424/C,NR/2025/26291/A/68692,ER/2025/17306/C,NR/2025/26101/A/68577,NR/2025/26265/A/68696,NR/2025/26289/A/68695,NR/2025/26425/C,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/68236,NR/2025/26335/A/68662,Total
53,13:00-13:15,26.95,26.95,17.51,163.76,9.12,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,5.78,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,13.49,203,1783.7800000000002

54,13:15-13:30,26.95,26.95,17.51,163.76,9.12,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,5.78,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,13.49,203,1783.7800000000002

55,13:30-13:45,26.95,26.95,17.51,163.76,9.12,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,5.78,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,13.49,203,1783.7800000000002

56,13:45-14:00,26.95,26.95,17.51,163.76,9.12,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,5.78,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,91.05,13.49,203,1781.5000000000002

57,14:00-14:15,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,5.78,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,87.3,11.56,203,1894.43

58,14:15-14:30,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,6.74,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,83.82,11.56,196,1884.91

59,14:30-14:45,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,6.74,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,85.13,7.61,175,1861.2700000000002

60,14:45-15:00,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,6.74,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,80.56,8,168,1850.0900000000001

61,15:00-15:15,26.95,26.95,17.51,163.76,8.85,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,51.63,7.71,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,83.61,5.68,151,1808.7800000000002

62,15:15-15:30,26.95,26.95,17.51,163.76,8.85,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,51.63,7.71,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,77.47,5.11,144,1795.0700000000002

63,15:30-15:45,26.95,26.95,17.51,163.76,8.85,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,38.72,7.71,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,66.93,4.62,133,1760.1300000000003

64,15:45-16:00,26.95,26.95,17.51,163.76,8.85,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,38.72,7.71,0.96,52.98,24.08,0,4.82,4.82,43.78,0,96.33,0,0,14.59,14.59,48.16,0,37.22,0,62.61,0,48.16,110.78,96.33,17.69,26.1,0,134.86,38.53,0,0,33.72,0,0,0,59.54,4.82,123,1742.9400000000003

65,16:00-16:15,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,12.91,7.71,0.82,0,0,0,0,0,43.78,96.33,0,52.98,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,51.77,2.31,112,1708.39

66,16:15-16:30,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,12.91,7.71,0.82,0,0,0,0,0,43.78,96.33,0,52.98,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,45.92,1.54,102,1691.7700000000002

67,16:30-16:45,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,12.91,8.67,0.82,0,0,0,0,0,43.78,96.33,0,52.98,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,29.26,1.93,88,1662.4600000000003

68,16:45-17:00,26.95,26.95,17.51,163.76,9.04,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,0,8.67,0.82,0,0,0,0,0,43.78,96.33,0,52.98,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,24.93,2.41,77,1634.7

69,17:00-17:15,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,0,8.67,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,25.87,0,63,1566.28

70,17:15-17:30,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,0,8.67,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,21.18,0,49,1547.5900000000001

71,17:30-17:45,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,0,8.67,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,102.04,17.32,0,35,1580.74

72,17:45-18:00,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,0,8.67,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,102.04,13.25,0,21,1562.67

73,18:00-18:15,26.94,26.94,17.51,163.76,9.4,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,0,8.67,0.67,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,9.81,0,14,1802.4799999999996

74,18:15-18:30,26,26.94,17.51,163.76,9.4,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,0,8.67,0.67,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,6.66,0,7,1791.39

75,18:30-18:45,26.94,26.94,17.51,163.76,9.4,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,0,8.67,0.67,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,3.97,0,4,1786.6399999999996

76,18:45-19:00,26.94,26.94,17.51,163.76,9.4,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,8.67,0.67,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,1.88,0,1,1899.0099999999998

77,19:00-19:15,26.94,26.94,17.51,163.76,9.58,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,8.67,0.72,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0.4,0,0,1896.7599999999998

78,19:15-19:30,26.94,26.94,17.51,163.76,9.58,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,8.67,0.72,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1896.3599999999997

79,19:30-19:45,26.94,26.94,17.51,163.76,9.58,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,8.67,0.72,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1896.3599999999997

80,19:45-20:00,26.94,26.94,17.51,163.76,9.58,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,7.71,0.72,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1895.3999999999996

81,20:00-20:15,26.94,26.94,17.51,163.76,9.77,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,7.71,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1895.6399999999994

82,20:15-20:30,26.94,26.94,17.51,163.76,9.77,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,7.71,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1895.6399999999994

83,20:30-20:45,29.5,26.41,17.51,163.76,9.77,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,7.71,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1897.6699999999996

84,20:45-21:00,29.5,26.41,17.51,163.76,9.77,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,6.74,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,162.36,0,0,0,1896.6999999999998

85,21:00-21:15,29.5,26.41,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,6.74,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,102.04,0,0,0,1836.5699999999995

86,21:15-21:30,29.5,26.41,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,6.74,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,102.04,0,0,0,1836.5699999999995

87,21:30-21:45,29.5,26.94,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,6.74,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,51.03,0,0,0,1786.0899999999997

88,21:45-22:00,29.5,26.94,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,6.74,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,48.16,33.72,96.33,48.16,51.03,0,0,0,1786.0899999999997

89,22:00-22:15,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,5.78,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1732.5299999999995

90,22:15-22:30,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,117.46,5.78,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1732.5299999999995

91,22:30-22:45,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,91.65,5.78,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1706.7199999999996

92,22:45-23:00,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,91.65,5.78,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1706.7199999999996

93,23:00-23:15,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,91.65,5.78,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1706.7199999999996

94,23:15-23:30,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,91.65,4.82,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1705.7599999999995

95,23:30-23:45,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,91.65,4.82,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1705.7599999999995

96,23:45-24:00,26,26,17.51,163.76,9.96,14.45,67.43,10.6,13.49,28.9,122.82,0,5.78,0,28.9,14.45,5.78,19.27,0,91.65,4.82,0.77,0,0,163.76,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,110.78,0,43.78,0,0,134.86,0,24.08,0,33.72,96.33,48.16,51.03,0,0,0,1705.7599999999995

