Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59
83,20:30-20:45,0,0,30,0,28.33,15.01,0,0,28.34,0,0,0,7.33,0,0,10,0,0,0,1.3,0,0,70.13,0,31.74,31.74,250,50,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.71,0,0,10,100.19,24.23,0.77

84,20:45-21:00,0,0,31.5,0,32.33,14.81,0,0,32.34,0,0,0,6.67,0,0,10.5,0,0,0,1.3,0,0,70.13,0,31.74,31.74,250,50,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.71,0,0,10.5,100.19,24.23,0.77

85,21:00-21:15,0,0,42.49,0,38.67,17.61,0,0,38.66,0,0,0,15,0,0,14.17,0,0,0,1.3,0,0,70.13,0,28.85,28.85,250,50,28.85,135.25,1.84,75,8.66,0,8.66,130.55,0,1.71,0,0,14.17,100.19,24.23,0.77

86,21:15-21:30,0,0,42,0,40.67,17.61,0,0,40.66,0,0,0,14.67,0,0,14,0,0,0,1.3,0,0,70.13,0,28.85,28.85,250,50,28.85,135.25,1.84,75,8.66,0,8.66,130.55,0,1.71,0,0,14,100.19,23.72,0.77

87,21:30-21:45,0,0,49.99,0,50,17.61,0,0,50,0,0,0,14.33,0,0,16.67,0,0,0,1.3,0,0,70.13,0,28.85,28.85,250,50,28.85,135.25,1.84,75,8.66,0,8.66,130.55,0,1.71,0,0,16.67,100.19,23.72,0.77

88,21:45-22:00,0,0,49.99,0,50.67,17.81,0,0,50.66,0,0,0,13.67,0,0,16.67,0,0,0,1.3,0,0,70.13,0,28.85,28.85,250,50,28.85,135.25,1.84,75,8.66,0,8.66,130.55,0,1.71,0,0,16.67,100.19,23.72,0.77

89,22:00-22:15,0,0,49.99,0,60,14.61,0,0,60,0,0,0,12.33,0,0,16.67,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,115.4,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,16.67,100.19,23.72,0.77

90,22:15-22:30,0,0,50.51,0,58.67,14.61,0,0,58.66,0,0,0,11.67,0,0,16.83,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,96.17,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,16.83,100.19,23.72,0.77

91,22:30-22:45,0,0,54,0,58,14.61,0,0,58,0,0,0,8.67,0,0,18,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,115.4,1.84,75,8.66,31.71,8.66,130.55,0,1.66,0,0,18,100.19,23.72,0.77

92,22:45-23:00,0,0,53.51,0,57.33,14.81,0,0,57.34,0,0,0,8.33,0,0,17.83,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,135.25,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,17.83,100.19,23.72,0.77

93,23:00-23:15,0,0,52.99,0,56.67,14.41,0,0,56.66,0,0,0,7.67,0,0,17.67,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,115.4,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,17.67,100.19,23.72,0.77

94,23:15-23:30,0,0,52.5,0,55,14.21,0,0,55,0,0,0,7.67,0,0,17.5,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,96.17,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,17.5,100.19,23.72,0.77

95,23:30-23:45,0,0,51.49,0,53,13.81,0,0,53,0,0,0,7.33,0,0,17.17,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,74.78,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,17.17,100.19,23.72,0.77

96,23:45-24:00,0,0,50.51,0,52.33,13.61,0,0,52.34,0,0,0,7.33,0,0,16.83,0,0,0,1.22,0,0,70.13,95.13,25.97,25.97,250,50,25.97,74.78,1.84,75,8.66,31.71,8.66,111.35,0,1.66,0,0,16.83,100.19,23.72,0.77

