Column1,Block,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,NER/2024/2820/A/50924,NR/2024/24435/A/50650,NR/2025/25002/C,NR/2025/25003/C,WR/2024/25501/A/50927,NR/2025/25004/C,NR/2024/24566/A/50642,NR/2024/24507/A/50948,NR/2024/24418/A/50632,NR/2024/24508/A/50947,NR/2024/24434/A/50651,NR/2025/25009/C,NR/2025/24838/A/50878,NR/2025/25008/C,NR/2025/24837/A/50876,NR/2025/24839/A/50880,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/9333,Total
81,20:00-20:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,608.48

82,20:15-20:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,608.48

83,20:30-20:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,608.48

84,20:45-21:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,608.48

85,21:00-21:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,570.05

86,21:15-21:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,570.05

87,21:30-21:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,570.05

88,21:45-22:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,34.59,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.29,34.59,20.17,30,34.59,50,50,0,0,0,0,570.05

89,22:00-22:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,31.7,20.17,30,31.7,50,0,0,0,0,0,511.28000000000003

90,22:15-22:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,31.7,20.17,30,31.7,50,0,0,0,0,0,511.28000000000003

91,22:30-22:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,31.7,20.17,30,31.7,50,0,0,0,0,0,511.28000000000003

92,22:45-23:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,31.7,20.17,30,31.7,50,0,0,0,0,0,511.28000000000003

93,23:00-23:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,25.94,20.17,30,25.94,50,0,0,0,0,0,494.00000000000006

94,23:15-23:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,25.94,20.17,30,25.94,50,0,0,0,0,0,494.00000000000006

95,23:30-23:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,25.94,20.17,30,25.94,50,0,0,0,0,0,494.00000000000006

96,23:45-24:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,0,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,25.94,20.17,30,25.94,50,0,0,0,0,0,494.00000000000006

