Time,Block,NR/2024/19791/A/22753,NR/2024/20838/C,NR/2024/20524/A/22696,NR/2024/20516/A/22463,NR/2024/19757/A/22764,NR/2024/19640/A/22801,NR/2024/19760/A/22412,NR/2024/19988/A/22413,NR/2024/19919/A/22747,NR/2024/20557/A/22760,NR/2024/19642/A/22798,NR/2024/19683/A/22343,NR/2024/20212/A/22459,NR/2024/20553/A/22306,NR/2024/20597/A/22690,NR/2024/20515/A/22464,NR/2024/20142/A/22461,NR/2024/20837/C,NR/2024/20211/A/22458,NR/2024/20109/A/22859,NR/2024/20090/A/22310,NR/2024/20537/A/22858,NR/2024/19637/A/22437,NR/2024/20144/A/22460,NR/2024/20560/A/22758,NR/2024/20540/A/22192,NR/2024/20041/A/22687,NR/2024/20786/C,NR/2024/19779/A/22397,NR/2024/19918/A/22749,NR/2024/20598/A/22417,NR/2024/20599/A/22416,NR/2024/19355/A/22860,NR/2024/19432/A/22766,NR/2024/20513/A/22465,NR/2024/20050/A/22691,NR/2024/20141/A/22462,NR/2024/20572/A/22757,NR/2024/20554/A/22334,NR/2024/20048/A/22692,NR/2024/20037/A/22414,NR/2024/19978/A/22751,NR/2024/20836/C,NR/2024/19588/A/22475,NR/2024/20552/A/22307,NR/2024/20851/C,NR/2024/19475/A/22665,NR/2024/19966/A/22433,NR/2024/19699/A/22767,NR/2024/20558/A/22759,NR/2024/20130/A/22646,NR/2024/20854/C,Total
39,09:30-09:45,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,9.660000,48.300000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.69,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2115.11

40,09:45-10:00,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,9.660000,48.300000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.78,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2115.2

41,10:00-10:15,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.07,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2257.49

42,10:15-10:30,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.22,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2257.64

43,10:30-10:45,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.41,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2257.83

44,10:45-11:00,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.55,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2257.97

45,11:00-11:15,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.75,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2258.17

46,11:15-11:30,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.94,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2258.36

47,11:30-11:45,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.28,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2258.7

48,11:45-12:00,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,0.000000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.47,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2258.89

49,12:00-12:15,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.76,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2280.62

50,12:15-12:30,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.86,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2280.72

51,12:30-12:45,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,7,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2280.86

52,12:45-13:00,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,7.34,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2281.2

53,13:00-13:15,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,7.73,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2281.59

54,13:15-13:30,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,8.5,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2282.36

55,13:30-13:45,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,7.78,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2281.64

56,13:45-14:00,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,11.590000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,7.34,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2281.2

57,14:00-14:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,7.2,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2088.46

58,14:15-14:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.96,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2088.22

59,14:30-14:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.81,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2088.07

60,14:45-15:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.57,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2087.83

61,15:00-15:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.47,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2087.73

62,15:15-15:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,6.33,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2087.59

63,15:30-15:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.99,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2087.25

64,15:45-16:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,13.520000,48.300000,67.620000,0.970000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,5.6,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2086.86

65,16:00-16:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.820000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.73,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1925.49

66,16:15-16:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.820000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.49,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1925.25

67,16:30-16:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.820000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,3.67,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1924.43

68,16:45-17:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,24.150000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.820000,13.520000,24.150000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,3.4,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1924.16

69,17:00-17:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,2.86,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1875.27

70,17:15-17:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,2.24,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1874.65

71,17:30-17:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,1.67,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1825.78

72,17:45-18:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,1.15,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1825.26

73,18:00-18:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0.73,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1861.4

74,18:15-18:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,121.710000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0.45,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1861.12

75,18:30-18:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0.25,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1787.51

76,18:45-19:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1787.26

77,19:00-19:15,64.800000,0.000000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,153.100000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1699.15

78,19:15-19:30,64.800000,0.000000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1546.05

79,19:30-19:45,64.800000,0.000000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1546.05

80,19:45-20:00,64.800000,0.000000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,12.560000,0.000000,67.620000,0.770000,13.520000,0.000000,24.150000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1546.05

81,20:00-20:15,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,45.580000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1595.49

82,20:15-20:30,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.970000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1550.88

83,20:30-20:45,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1549.91

84,20:45-21:00,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1549.91

85,21:00-21:15,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,32.840000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1582.75

86,21:15-21:30,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,97.390000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1647.3

