Time,Block,NR/2023/10959/A,NR/2023/12872/F,NR/2023/11266/A,NR/2023/12923/F,NR/2023/12814/F,NR/2023/11712/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11496/A,NR/2023/10956/A,NR/2023/13292/C,NR/2023/10460/A,NR/2023/12916/F,NR/2023/10947/A,NR/2023/10786/A,NR/2023/10436/A,NR/2023/10561/A,NR/2023/13145/F,NR/2023/12920/F,NR/2023/11447/A,NR/2023/13300/C,NR/2023/12706/A,NR/2023/11953/A,NR/2023/10720/A,NR/2023/13294/C,NR/2023/12956/F,NR/2023/12921/F,NR/2023/10432/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/13299/C,NR/2023/13278/D,NR/2023/12915/F,NR/2023/13151/F,NR/2023/12924/F,NR/2023/10651/A,NR/2023/12922/F,NR/2023/12917/F,NR/2023/12661/A,NR/2023/13310/C,NR/2023/12919/F,NR/2023/10488/A,NR/2023/11507/A,SR/2023/6019/C,NR/2023/13277/D,NR/2023/13282/D,NR/2023/13280/D,ER/2023/8174/C,NR/2023/13312/C,NR/2023/13311/C,Total
44,10:45-11:00,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.950000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,26.4,61.6,100.000000,15,35,1411.27

45,11:00-11:15,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,6.09,26.4,61.6,100.000000,15.6,36.4,1444.04

46,11:15-11:30,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,6.96,26.4,61.6,100.000000,15.6,36.4,1444.91

47,11:30-11:45,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,7.83,26.4,61.6,100.000000,15.6,36.4,1445.78

48,11:45-12:00,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,7.83,26.4,61.6,100.000000,15.6,36.4,1445.78

49,12:00-12:15,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,7.83,26.4,61.6,100.000000,15.6,36.4,1446.61

50,12:15-12:30,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,7.83,26.4,61.6,100.000000,15.6,36.4,1446.61

51,12:30-12:45,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.61,26.4,61.6,100.000000,15.6,36.4,1447.39

52,12:45-13:00,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.61,26.4,61.6,100.000000,15.6,36.4,1447.39

53,13:00-13:15,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.61,26.4,61.6,100.000000,15.6,36.4,1447.29

54,13:15-13:30,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.8,26.4,61.6,100.000000,15.6,36.4,1447.48

55,13:30-13:45,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.8,26.4,61.6,100.000000,15,35,1445.48

56,13:45-14:00,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,0.000000,14.510000,30.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,9.08,26.4,61.6,100.000000,14.7,34.3,1444.76

57,14:00-14:15,21.270000,0.970000,17.200000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,30.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,9.08,26.4,61.6,100.000000,14.1,32.9,1481.29

58,14:15-14:30,21.270000,0.970000,17.200000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,30.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,9.08,25.8,60.2,100.000000,13.8,32.2,1478.29

59,14:30-14:45,21.270000,0.970000,17.200000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,30.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,9.08,25.2,58.8,100.000000,13.8,32.2,1476.29

60,14:45-15:00,21.270000,0.970000,17.200000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,30.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.61,23.4,54.6,100.000000,13.5,31.5,1468.82

61,15:00-15:15,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,32.610000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,8.61,22.2,51.8,100.000000,13.2,30.8,1435.86

62,15:15-15:30,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,32.610000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,7.83,21,49,100.000000,12,28,1427.08

63,15:30-15:45,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,32.610000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,6.96,20.4,47.6,100.000000,11.1,25.9,1421.21

64,15:45-16:00,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,32.610000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.480000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,6.09,18.3,42.7,100.000000,10.2,23.8,1410.34

65,16:00-16:15,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,17.1,39.9,100.000000,8.55,19.95,1403.12

66,16:15-16:30,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,4.35,15,35,100.000000,7.8,18.2,1392.75

67,16:30-16:45,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,100.00,3.39,13.5,31.5,100.000000,7.2,16.8,1484.79

68,16:45-17:00,21.270000,0.970000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,106.390000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.570000,4.840000,0.980000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,100.00,2.61,11.4,26.6,100.000000,6.3,14.7,1474.01

69,17:00-17:15,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,2.61,9.3,21.7,130.000000,5.1,11.9,1287.46

70,17:15-17:30,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,1.74,7.2,16.8,130.000000,4.8,11.2,1278.59

71,17:30-17:45,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,1.64,5.4,12.6,130.000000,3.6,8.4,1268.49

72,17:45-18:00,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,35.670000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.670000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,68.870000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,0.87,4.2,9.8,130.000000,2.4,5.6,1304.79

73,18:00-18:15,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.750000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,113.950000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,0.77,3,7,130.000000,2.1,4.9,1379.3

74,18:15-18:30,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.750000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,113.950000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,0,2.4,5.6,130.000000,1.2,2.8,1373.53

75,18:30-18:45,21.270000,0.680000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.750000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,0,1.8,4.2,130.000000,0.9,2.1,1402.64

76,18:45-19:00,21.270000,0.680000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.750000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,0,0.9,2.1,130.000000,0.45,1.05,1398.14

77,19:00-19:15,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,100.00,0,0.3,0.7,0.000000,0.3,0.7,1365.79

78,19:15-19:30,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1363.79

79,19:30-19:45,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1363.79

80,19:45-20:00,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,36.490000,23.700000,13.850000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1363.79

81,20:00-20:15,21.270000,0.770000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.930000,12.710000,50.000000,6.770000,36.490000,23.700000,13.950000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1413.78

82,20:15-20:30,21.270000,0.770000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.930000,12.710000,50.000000,6.770000,36.490000,23.700000,13.950000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,146.060000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1413.78

83,20:30-20:45,21.270000,0.770000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.930000,12.710000,50.000000,6.770000,36.490000,23.700000,13.950000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,127.470000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1395.19

84,20:45-21:00,21.270000,0.770000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,48.360000,24.180000,48.360000,0.000000,0.930000,12.710000,50.000000,6.770000,36.490000,23.700000,13.950000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,113.950000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1381.67

85,21:00-21:15,21.270000,0.770000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.030000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,68.870000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1330.19

86,21:15-21:30,21.270000,0.770000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.030000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,68.870000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1330.19

87,21:30-21:45,21.270000,0.770000,36.700000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.030000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1285.12

88,21:45-22:00,21.270000,0.770000,50.850000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,33.630000,23.210000,0.520000,0.000000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.030000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,100.00,0,0,0,0.000000,0,0,1285.12

89,22:00-22:15,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.130000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1299.15

90,22:15-22:30,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.130000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1299.15

91,22:30-22:45,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.130000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,59.970000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1359.12

92,22:45-23:00,21.270000,0.730000,50.850000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.130000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,59.970000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1359.12

93,23:00-23:15,21.270000,0.630000,50.850000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.220000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,0.000000,0.610000,63.110000,1.020000,0.920000,62.870000,59.970000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1359.11

94,23:15-23:30,21.270000,0.630000,36.700000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.220000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,59.970000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1359.11

95,23:30-23:45,21.270000,0.630000,36.700000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,91.880000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.220000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,14.150000,0.610000,63.110000,1.020000,0.920000,62.870000,59.970000,0.920000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1359.11

