Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/4863,NR/01102023/06022042/L_NR_2012_02,GNA/SR/2025/02/01/7432,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/5886,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/9969,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
80,19:45-20:00,34.99,0,0,0,0,13.67,11.67,31.66,0,0,11.67,0,0,0,0,0,0,31.67,17.21,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,66.02,0.7,25.23,100.2,32,200,118.3

81,20:00-20:15,42.49,0,0,0,0,14.33,14.17,35,0,0,14.17,0,0,0,0,0,0,35,20.21,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.3,24.07,75,22.12,50,66.02,0.7,25.23,100.2,32,150,118.3

82,20:15-20:30,42.49,0,0,0,0,14.33,14.17,35.66,0,0,14.17,0,0,0,0,0,0,35.67,20.41,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.3,24.07,75,22.12,50,66.02,0.7,25.23,100.2,32,150,118.3

83,20:30-20:45,43.01,0,0,0,0,14.33,14.33,36.66,0,0,14.33,0,0,0,0,0,0,36.67,20.01,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.3,25.69,75,22.12,50,66.02,0.7,25.23,100.2,25.69,150,118.3

84,20:45-21:00,43.5,0,0,0,0,14.33,14.5,38.34,0,0,14.5,0,0,0,0,0,0,38.33,19.61,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.3,25.69,75,22.12,50,66.02,0.7,25.23,100.2,25.69,150,118.3

85,21:00-21:15,49.99,0,0,0,0,16.67,16.67,51.66,0,0,16.67,0,0,0,0,0,0,51.67,19.21,0,86.75,0,8.66,259.55,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,25.69,75,22.12,50,66.02,0,25.23,100.2,25.69,150,118.3

86,21:15-21:30,49.99,0,0,0,0,16,16.67,52.34,0,0,16.67,0,0,0,0,0,0,52.33,18.81,0,86.75,0,8.66,259.55,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,25.69,75,22.12,50,66.02,0,25.23,100.2,25.69,150,118.3

87,21:30-21:45,49.99,0,0,0,0,19.33,16.67,53,0,0,16.67,0,0,0,0,0,0,53,18.21,0,86.75,0,8.66,259.55,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,25.69,75,22.12,50,70.16,0.63,25.23,100.2,25.69,150,118.3

88,21:45-22:00,49.99,0,0,0,0,19.33,16.67,54.34,0,0,16.67,0,0,0,0,0,0,54.33,17.61,0,86.75,0,8.66,259.55,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,25.69,75,22.12,50,70.16,0.63,25.23,100.2,25.69,150,118.3

89,22:00-22:15,63.49,0,0,0,0,18.67,21.17,54.66,0,0,21.17,0,0,0,0,0,0,54.67,17.01,0,75.53,0,8.66,259.55,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0.63,15.14,100.2,26.99,150,132.73

90,22:15-22:30,63.49,0,0,0,0,18.67,21.17,55,0,0,21.17,0,0,0,0,0,0,55,16.41,0,75.53,0,8.66,259.55,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0.63,15.14,100.2,26.99,150,132.73

91,22:30-22:45,63,0,0,0,0,18.33,21,55,0,0,21,0,0,0,0,0,0,55,15.61,0,75.53,0,8.66,228.83,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0.63,15.14,100.2,26.99,150,132.73

92,22:45-23:00,61.99,0,0,0,0,18.33,20.67,53.34,0,0,20.67,0,0,0,0,0,0,53.33,14.81,0,75.53,0,8.66,228.83,50,0,0,0.92,36.55,36.55,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0.63,15.14,100.2,26.99,150,132.73

93,23:00-23:15,61.5,0,0,0,0,18.33,20.5,52.66,0,0,20.5,0,0,0,0,0,0,52.67,14.01,0,75.53,0,8.66,228.83,50,0,0,0.92,28.85,28.85,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0,15.14,100.2,26.99,150,132.73

94,23:15-23:30,60,0,0,0,0,18.33,20,52.34,0,0,20,0,0,0,0,0,0,52.33,13.21,0,75.53,0,8.66,228.83,50,0,0,0.92,28.85,28.85,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0,15.14,100.2,26.99,150,132.73

95,23:30-23:45,60,0,0,0,0,18.33,20,52.34,0,0,20,0,0,0,0,0,0,52.33,13.21,0,75.53,0,8.66,228.83,50,0,0,0.92,28.85,28.85,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0.63,15.14,100.2,26.99,150,132.73

96,23:45-24:00,60,0,0,0,0,18.33,20,52.34,0,0,20,0,0,0,0,0,0,52.33,13.21,0,75.53,0,8.66,228.83,50,0,0,0.92,28.85,28.85,1.57,0,8.66,1.3,26.99,75,22.12,50,70.16,0.63,15.14,100.2,26.99,150,132.73

