Time,Block,NR/2023/16354/C,NR/2023/16314/D,NR/2023/15402/F,NR/2023/13635/A,NR/2023/14745/A,NR/2023/12168/A,NR/2023/12052/A,NR/2023/12422/A,NR/2023/14898/A,NR/2023/16357/C,NR/2023/13862/A,NR/2023/12431/A,NR/2023/12148/A,ER/2023/10185/C,NR/2023/15937/F,NR/2023/14746/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/14737/A,NR/2023/12592/A,NR/2023/16339/C,NR/2023/16315/D,NR/2023/16350/C,NR/2023/16336/C,NR/2023/12591/A,NR/2023/12167/A,NR/2023/15057/F,NR/2023/12347/A,NR/2023/14895/A,Total
77,19:00-19:15,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1076.29

78,19:15-19:30,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1076.29

79,19:30-19:45,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1106.29

80,19:45-20:00,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1106.29

81,20:00-20:15,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1106.47

82,20:15-20:30,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1106.47

83,20:30-20:45,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1106.47

84,20:45-21:00,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.920000,48.360000,95.760000,1106.47

85,21:00-21:15,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.870000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1150.19

86,21:15-21:30,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.870000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1150.19

87,21:30-21:45,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.870000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1150.19

88,21:45-22:00,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,30.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.870000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1150.19

89,22:00-22:15,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.780000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1299.96

90,22:15-22:30,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.780000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1299.96

91,22:30-22:45,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.780000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1299.96

92,22:45-23:00,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.780000,0,48.360000,11.600000,50.060000,24.180000,0.920000,91.890000,95.760000,1299.96

93,23:00-23:15,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.870000,91.890000,95.760000,1299.81

94,23:15-23:30,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.870000,91.890000,95.760000,1299.81

95,23:30-23:45,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.870000,91.890000,95.760000,1299.81

96,23:45-24:00,22.250000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,38.010000,77.380000,30.000000,23.150000,125.110000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.680000,0,48.360000,11.600000,50.060000,24.180000,0.870000,91.890000,95.760000,1299.81

