Column1,Block,NR/2024/21954/A/31683,NR/2024/21983/A/31399,NR/2024/22398/A/31617,NR/2024/21814/A/31672,NR/2024/21970/A/31668,NR/2024/21961/A/31644,NR/2024/21938/A/31645,NR/2024/22010/A/31712,NR/2024/21909/A/31621,NR/2024/21940/A/31684,NR/2024/21968/A/31666,NR/2024/22470/C,NR/2024/22052/A/31662,NR/2024/22481/C,NR/2024/22058/A/31663,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/22468/C,NR/2024/22469/C,NR/2024/21658/A/31386,NR/2024/22014/A/31379,NR/2024/21860/A/31618,NR/2024/21966/A/31409,NR/2024/22042/A/31378,NR/2024/21974/A/31671,NR/30092023/31122025/SH-07,NR/2024/21971/A/31669,NR/2024/21956/A/31686,NR/2024/21943/A/31681,NR/2024/21918/A/31710,NR/2024/22279/A/31373,NR/2024/22080/A/31468,NR/01082024/31082024/SKS-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,Total
69,17:00-17:15,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,2.88,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1306.7816

70,17:15-17:30,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,2.04,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1305.9416

71,17:30-17:45,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,1.46,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1305.3616

72,17:45-18:00,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,1.3,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1305.2016

73,18:00-18:15,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0.72,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,10.59,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1293.8916000000002

74,18:15-18:30,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0.47,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,10.59,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1293.6416000000002

75,18:30-18:45,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0.15,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,10.59,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1312.5816

76,18:45-19:00,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,10.59,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1312.4316000000001

77,19:00-19:15,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

78,19:15-19:30,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

79,19:30-19:45,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

80,19:45-20:00,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

81,20:00-20:15,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

82,20:15-20:30,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

83,20:30-20:45,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

84,20:45-21:00,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

85,21:00-21:15,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

86,21:15-21:30,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,11.55,8.75,9.93,72.22,192.58,48.14,48.14,0,26.8708,8.43,1313.3916000000002

87,21:30-21:45,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,10.59,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1321.8916000000002

88,21:45-22:00,24,0,240.72,48.14,8.75,0,0,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,10.59,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1321.8916000000002

89,22:00-22:15,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,10.59,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1473.5616

90,22:15-22:30,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,43.33,38.52,90.51,4.81,10.59,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1473.5616

91,22:30-22:45,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,10.59,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1497.6316

92,22:45-23:00,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.77,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,10.59,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1497.6316

93,23:00-23:15,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,9.63,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1496.6216000000002

94,23:15-23:30,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,9.63,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1496.6216000000002

95,23:30-23:45,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,9.63,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1496.6216000000002

96,23:45-24:00,24,0,240.72,48.14,8.75,113.75,37.92,0,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,9.63,8.75,19.39,72.22,192.58,48.14,48.14,0,26.8708,8.43,1496.6216000000002

