Time,Block,NR/2023/14277/C,NR/2023/11697/A,NR/2023/14115/F,NR/2023/13858/A,NR/2023/13284/A,NR/2023/13983/F,NR/2023/14196/D,NR/2023/11204/A,NR/2023/11954/A,NR/2023/14256/D,NR/2023/14113/F,NR/2023/11325/A,NR/2023/11315/A,NR/2023/13283/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/14121/F,NR/2023/13283/A/II,NR/2023/11739/A,NR/2023/14114/F,NR/2023/13859/A,NR/2023/12646/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14120/F,NR/2023/14263/C,NR/2023/13983/F/II,NR/2023/13573/A/II,NR/2023/14257/D,NR/2023/13704/A,NR/2023/13704/A/II,NR/2023/11205/A,NR/2023/11892/A,NR/2023/14136/F,NR/2023/14117/F,NR/2023/14258/D,NR/2023/14270/C,NR/2023/11328/A,NR/2023/14255/D,NR/2023/11654/A,NR/2023/11470/A,NR/2023/14116/F,NR/2023/11264/A,NR/2023/11469/A,NR/2023/14118/F,NR/2023/14260/D,NR/2023/14261/D,NR/2023/14259/D,Total
45,11:00-11:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,5.23,75,175,1562.75

46,11:15-11:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.1,75,175,1563.62

47,11:30-11:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.1,75.9,177.1,1566.62

48,11:45-12:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.1,75.9,177.1,1566.62

49,12:00-12:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.97,75.9,177.1,1567.49

50,12:15-12:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.97,75.9,177.1,1567.49

51,12:30-12:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.97,75.9,177.1,1567.49

52,12:45-13:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,7.84,75.9,177.1,1568.36

53,13:00-13:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,8.71,75.9,177.1,1569.23

54,13:15-13:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,9.68,75.9,177.1,1570.2

55,13:30-13:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,8.71,75.9,177.1,1569.23

56,13:45-14:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,7.84,75,175,1565.36

57,14:00-14:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.97,75,175,1603.14

58,14:15-14:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,6.1,73.5,171.5,1597.27

59,14:30-14:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,5.23,69,161,1581.4

60,14:45-15:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,5.23,67.5,157.5,1576.4

61,15:00-15:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,5.23,60,140,1592.61

62,15:15-15:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,4.36,58.5,136.5,1586.74

63,15:30-15:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,4.36,57,133,1581.74

64,15:45-16:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,3.48,52.8,123.2,1566.86

65,16:00-16:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,2.61,48,112,1549.84

66,16:15-16:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,2.61,40.8,95.2,1525.84

67,16:30-16:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,1.69,34.5,80.5,1503.92

68,16:45-17:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,23.160000,106.480000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,1.22,30,70,1488.45

69,17:00-17:15,0.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0.83,26.1,60.9,1339.62

70,17:15-17:30,0.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0.44,21,49,1322.23

71,17:30-17:45,0.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0.23,15,35,1302.02

72,17:45-18:00,0.000000,0.000000,0.950000,77.440000,0.000000,0.820000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,15.940000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0.1,13.5,31.5,1296.89

73,18:00-18:15,0.000000,0.000000,0.950000,77.440000,0.000000,0.870000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,13.5,31.5,1385.84

74,18:15-18:30,0.000000,0.000000,0.950000,77.440000,0.000000,0.870000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,10.5,24.5,1375.84

75,18:30-18:45,0.000000,0.000000,0.950000,77.440000,0.000000,0.870000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,9,21,1370.84

76,18:45-19:00,0.000000,0.000000,0.950000,77.440000,0.000000,0.870000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,6,14,1360.84

77,19:00-19:15,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,3,7,1350.89

78,19:15-19:30,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,1.8,4.2,1346.89

79,19:30-19:45,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,0.6,1.4,1342.89

80,19:45-20:00,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.980000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,0,0,0,1340.89

81,20:00-20:15,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1302.19

82,20:15-20:30,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1302.19

83,20:30-20:45,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1302.19

84,20:45-21:00,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,48.400000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1302.19

85,21:00-21:15,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,91.960000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1345.75

86,21:15-21:30,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,91.960000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1345.75

87,21:30-21:45,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,91.960000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.830000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1345.75

88,21:45-22:00,0.000000,0.000000,0.950000,77.440000,0.000000,0.920000,4.840000,14.280000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,0.000000,91.960000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.870000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1345.79

89,22:00-22:15,0.000000,33.400000,0.950000,77.440000,77.920000,0.540000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.380000,0.000000,18.390000,6.780000,0.000000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.8

90,22:15-22:30,0.000000,33.400000,0.950000,77.440000,77.920000,0.540000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.380000,0.000000,18.390000,6.780000,0.000000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.8

91,22:30-22:45,0.000000,33.400000,0.950000,77.440000,77.920000,0.540000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.380000,0.000000,18.390000,6.780000,0.000000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.8

92,22:45-23:00,0.000000,33.400000,0.950000,77.440000,77.920000,0.540000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.380000,0.000000,18.390000,6.780000,0.000000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.8

93,23:00-23:15,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,51.800000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.870000,1.440000,18.390000,6.590000,0.180000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.74

94,23:15-23:30,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,51.800000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.870000,1.440000,18.390000,6.590000,0.180000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.74

95,23:30-23:45,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,51.800000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.870000,1.440000,18.390000,6.590000,0.180000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.74

96,23:45-24:00,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,51.800000,0.610000,0.000000,42.580000,0.520000,142.300000,23.160000,91.960000,1.020000,0.610000,9.680000,0.870000,1.440000,18.390000,6.590000,0.180000,232.430000,66.700000,0.000000,0.930000,147.860000,19.540000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.870000,0,0,0,1765.74

