Time,Block,NR/2024/20037/A/21516,NR/2024/20560/A/21778,NR/2024/19760/A/21706,NR/2024/20050/A/21886,NR/2024/20090/A/21462,NR/2024/19355/A/21928,NR/2024/20557/A/21780,NR/2024/19791/A/21851,NR/2024/19779/A/21421,NR/2024/20513/A/21522,NR/2024/20142/A/21518,NR/2024/20552/A/21513,NR/2024/20109/A/21926,NR/2024/19757/A/21802,NR/2024/19588/A/21546,NR/2024/20130/A/21487,NR/2024/20558/A/21779,NR/2024/20553/A/21515,NR/2024/20554/A/21503,NR/2024/19699/A/21804,NR/2024/20661/C,NR/2024/20211/A/21524,NR/2024/20598/A/21757,NR/2024/19637/A/21497,NR/2024/20524/A/21785,NR/2024/20631/C,NR/2024/20144/A/21519,NR/2024/19919/A/21848,NR/2024/20572/A/21812,NR/2024/20597/A/21911,NR/2024/19966/A/21493,NR/2024/19432/A/21809,NR/2024/20141/A/21517,NR/2024/20048/A/21896,NR/2024/20515/A/21521,NR/2024/20212/A/21523,NR/2024/20516/A/21520,NR/2024/19988/A/21704,NR/2024/20632/C,NR/2024/20644/C,NR/2024/19918/A/21850,NR/2024/20540/A/21526,NR/2024/20662/C,NR/2024/19475/A/21760,NR/2024/19683/A/21458,NR/2024/20599/A/21755,NR/2024/20041/A/21860,NR/2024/20537/A/21923,NR/2024/20630/C,Total
42,10:15-10:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,6.13,1778.61

43,10:30-10:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,8.01,1780.49

44,10:45-11:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,7.4,1779.88

45,11:00-11:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,7.81,1780.29

46,11:15-11:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,5.72,1778.2

47,11:30-11:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,9.37,1781.85

48,11:45-12:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,5.17,1777.65

49,12:00-12:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,7.36,1793.36

50,12:15-12:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,3.5,1789.5

51,12:30-12:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,5.93,1791.93

52,12:45-13:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,3.38,1789.38

53,13:00-13:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,5.7,1791.7

54,13:15-13:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,7.15,1793.15

55,13:30-13:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,4.86,1790.86

56,13:45-14:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,6.35,1792.35

57,14:00-14:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,9.32,1602.72

58,14:15-14:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,8.67,1602.07

59,14:30-14:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,6.45,1599.85

60,14:45-15:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,5.68,1599.08

61,15:00-15:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,5.03,1598.43

62,15:15-15:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,2.26,1595.66

63,15:30-15:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,6.64,1600.04

64,15:45-16:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,13.520000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,6.47,1599.87

65,16:00-16:15,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.820000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,5.19,1476.73

66,16:15-16:30,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.820000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,4.6,1476.14

67,16:30-16:45,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.820000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,4.11,1475.65

68,16:45-17:00,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.820000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,3.14,1474.68

69,17:00-17:15,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,1.87,1425.06

70,17:15-17:30,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.86,1424.05

71,17:30-17:45,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.15,1423.34

72,17:45-18:00,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.34,1423.53

73,18:00-18:15,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.53,1423.72

74,18:15-18:30,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.58,1423.77

75,18:30-18:45,72.450000,27.610000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,27.610000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.51,1339.65

76,18:45-19:00,72.450000,27.610000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,27.610000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,12.560000,0.000000,193.200000,1.930000,24.150000,0.000000,57.960000,0.42,1339.56

77,19:00-19:15,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,23.540000,0.000000,0.000000,48.300000,48.300000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,48.300000,13.520000,12.560000,96.600000,193.200000,1.930000,24.150000,0.000000,0.000000,0,1524.2

78,19:15-19:30,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,23.540000,0.000000,0.000000,48.300000,48.300000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,48.300000,13.520000,12.560000,96.600000,193.200000,1.930000,24.150000,0.000000,0.000000,0,1524.2

79,19:30-19:45,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,23.540000,0.000000,0.000000,48.300000,48.300000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,48.300000,13.520000,12.560000,96.600000,193.200000,1.930000,24.150000,0.000000,0.000000,0,1524.2

80,19:45-20:00,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,23.540000,0.000000,0.000000,48.300000,48.300000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,48.300000,13.520000,12.560000,96.600000,193.200000,1.930000,24.150000,0.000000,0.000000,0,1524.2

81,20:00-20:15,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,96.600000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1692.28

82,20:15-20:30,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,96.600000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1692.28

83,20:30-20:45,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,96.600000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1692.28

84,20:45-21:00,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,96.600000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1692.28

85,21:00-21:15,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,193.200000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1788.88

86,21:15-21:30,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,193.200000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1788.88

87,21:30-21:45,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,193.200000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1788.88

88,21:45-22:00,72.450000,23.540000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.770000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,193.200000,13.520000,11.590000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1788.88

89,22:00-22:15,72.450000,23.540000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.720000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,8.690000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2075.73

90,22:15-22:30,72.450000,23.540000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.720000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,48.300000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,8.690000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2075.73

91,22:30-22:45,72.450000,23.540000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.720000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,8.690000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2336.55

92,22:45-23:00,72.450000,23.540000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.720000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,23.540000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,8.690000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2336.55

