Time,Block,NR/2023/12813/F,NR/2023/14054/D,NR/2023/14049/D,NR/2023/14071/C,NR/2023/11709/A,NR/2023/14050/D,NR/2023/12924/F,NR/2023/10786/A,NR/2023/10959/A,ER/2023/8656/C,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10947/A,NR/2023/12920/F,NR/2023/10436/A,NR/2023/11068/A,NR/2023/12919/F,NR/2023/13369/F,NR/2023/10650/A,NR/2023/12917/F,NR/2023/14052/D,NR/2023/11953/A,NR/2023/12923/F,NR/2023/10651/A,NR/2023/10432/A,NR/2023/14051/D,NR/2023/12814/F,NR/2023/11507/A,NR/2023/12661/A,NR/2023/10720/A,NR/2023/14061/C,NR/2023/14059/C,NR/2023/10956/A,NR/2023/10488/A,NR/2023/11712/A,NR/2023/12922/F,NR/2023/10460/A,NR/2023/14062/C,NR/2023/10705/A,NR/2023/13679/F,NR/2023/12706/A,NR/2023/12915/F,NR/2023/12916/F,NR/2023/11266/A,NR/2023/12921/F,NR/2023/10561/A,NR/2023/10435/A,Total
46,11:15-11:30,62.920000,24.200000,6.44,16.450000,0.000000,171.5,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,73.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1821.91

47,11:30-11:45,62.920000,24.200000,6.53,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1827

48,11:45-12:00,62.920000,24.200000,6.71,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1827.18

49,12:00-12:15,62.920000,24.200000,6.81,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1827.28

50,12:15-12:30,62.920000,24.200000,6.89,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1827.36

51,12:30-12:45,62.920000,24.200000,7.08,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1827.55

52,12:45-13:00,62.920000,24.200000,7.74,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1828.21

53,13:00-13:15,62.920000,24.200000,8.62,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1830.11

54,13:15-13:30,62.920000,24.200000,9.2,16.450000,0.000000,175,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1830.69

55,13:30-13:45,62.920000,24.200000,8.71,16.450000,0.000000,175,0.610000,90.990000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1777.2

56,13:45-14:00,62.920000,24.200000,8.23,16.450000,0.000000,175,0.610000,90.990000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1776.72

57,14:00-14:15,62.920000,24.200000,7.74,19.040000,23.170000,175,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,75,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1817.48

58,14:15-14:30,62.920000,24.200000,7.26,19.040000,23.170000,170.1,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,72.9,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1810

59,14:30-14:45,62.920000,24.200000,6.78,19.040000,23.170000,164.5,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,70.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1801.52

60,14:45-15:00,62.920000,24.200000,6.29,19.040000,23.170000,156.8,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,67.2,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1790.03

61,15:00-15:15,62.920000,24.200000,5.81,13.680000,23.170000,149.8,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,64.2,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1775.21

62,15:15-15:30,62.920000,24.200000,4.84,13.680000,23.170000,140,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,60,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1760.24

63,15:30-15:45,62.920000,24.200000,3.97,13.680000,23.170000,133,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,57,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1730.55

64,15:45-16:00,62.920000,24.200000,3.39,13.680000,23.170000,121.1,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,51.9,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1712.97

65,16:00-16:15,62.920000,24.200000,2.66,13.680000,23.170000,110.6,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,47.4,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1697.24

66,16:15-16:30,62.920000,24.200000,2.22,13.680000,23.170000,98,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,42,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1678.8

67,16:30-16:45,62.920000,24.200000,1.69,13.680000,23.170000,87.5,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,37.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1663.27

68,16:45-17:00,62.920000,24.200000,1.22,13.680000,23.170000,77,0.610000,106.480000,21.280000,0.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,33,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1647.8

69,17:00-17:15,62.920000,24.200000,0.83,13.680000,0.000000,70,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,30,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1413.57

70,17:15-17:30,62.920000,24.200000,0.44,13.680000,0.000000,49,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,21,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1383.18

71,17:30-17:45,62.920000,24.200000,0.23,13.680000,0.000000,35,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,15,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1362.97

72,17:45-18:00,62.920000,24.200000,0.1,13.680000,0.000000,31.5,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,13.5,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,39.740000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1357.84

73,18:00-18:15,62.920000,24.200000,0,13.680000,0.000000,31.5,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,13.5,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1433.63

74,18:15-18:30,62.920000,24.200000,0,13.680000,0.000000,24.5,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,10.5,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1423.63

75,18:30-18:45,62.920000,24.200000,0,13.680000,0.000000,21,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,9,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1418.63

76,18:45-19:00,62.920000,24.200000,0,13.680000,0.000000,14,0.610000,48.400000,21.280000,0.000000,0.680000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,6,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1408.63

77,19:00-19:15,62.920000,24.200000,0,13.680000,0.000000,7,0.610000,48.400000,21.280000,0.000000,0.730000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,3,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1398.68

78,19:15-19:30,62.920000,24.200000,0,13.680000,0.000000,4.2,0.610000,48.400000,21.280000,0.000000,0.730000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,1.8,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1394.68

79,19:30-19:45,62.920000,24.200000,0,13.680000,0.000000,1.4,0.610000,48.400000,21.280000,0.000000,0.730000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,0.6,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1390.68

80,19:45-20:00,62.920000,24.200000,0,13.680000,0.000000,0,0.610000,48.400000,21.280000,0.000000,0.730000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1388.68

81,20:00-20:15,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,48.400000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1394.57

82,20:15-20:30,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,48.400000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1394.57

83,20:30-20:45,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,48.400000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1394.57

84,20:45-21:00,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,48.400000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,29.580000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1394.57

85,21:00-21:15,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,91.960000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1456.95

86,21:15-21:30,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,91.960000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1456.95

87,21:30-21:45,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,91.960000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.830000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1456.95

88,21:45-22:00,62.920000,24.200000,0,19.680000,0.000000,0,0.610000,91.960000,21.280000,0.000000,0.770000,0.000000,0.000000,0.930000,24.200000,48.400000,0.920000,0.000000,14.280000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,147.880000,38.720000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.870000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1456.99

89,22:00-22:15,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.730000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.22

90,22:15-22:30,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.730000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.22

91,22:30-22:45,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.730000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.22

92,22:45-23:00,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.730000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.22

93,23:00-23:15,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.630000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.12

94,23:15-23:30,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.630000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.12

95,23:30-23:45,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.630000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.12

96,23:45-24:00,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,91.960000,21.280000,0.000000,0.630000,54.210000,23.230000,0.930000,24.200000,48.400000,0.920000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1807.12

