Time,Block,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20931/A/27327,NR/2024/21096/A/27384,NR/2024/21076/A/27411,NR/30092023/31122025/SH-07,NR/2024/21183/A/27415,NR/2024/21572/C,NR/2024/20688/A/27153,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/R2,NR/2024/21568/C,NR/2024/21496/A/27376,NR/2024/21146/A/27168,NR/2024/21108/A/27379,NR/2024/21199/A/27141,NR/2024/21227/A/27380,NR/2024/21153/A/27172,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20966/A/27085,NR/2024/21543/C,NR/2024/21152/A/27084,NR/2024/21150/A/27167,NR/2024/21542/C,NR/2024/21571/C,NR/2024/21558/C,NR/2024/21023/A/27142,NR/2024/21072/A/27397,NR/2024/21087/A/27152,NR/2024/21142/A/27116,NR/16072024/16072024/IEX_240715_01547,NR/2024/21144/A/27138,NR/2024/20711/A/27446,NR/2024/21099/A/27118,NR/2024/21570/C,NR/2024/21103/A/27381,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20573/A/27369,NR/2024/21549/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21156/A/27171,NR/2024/20574/A/27368,NR/2024/21113/A/27395,NR/30092023/26122029/SH-06,NR/2024/21141/A/27117,NR/2024/21210/A/27115,NR/2024/21148/A/27166,NR/2024/21545/C,NR/2024/21500/A/27139,NR/2024/21186/A/27406,NR/2024/21173/A/27150,NR/16072024/16072024/DD20240716NR25607,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21089/A/27396,NR/2024/21160/A/27169,NR/2024/21158/A/27165,NR/2024/21238/A/27417,NR/2024/21555/C,NR/2024/21062/A/27362,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21339/A/27113,NR/2024/21075/A/27416,NR/2024/21485/A/27445,NR/2024/21159/A/27170,NR/2024/21565/C,NR/2024/19779/A/27094,NR/2024/21544/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
25,06:00-06:15,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.670000,0,0,0,1634.35

26,06:15-06:30,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.670000,0,0,0,1634.35

27,06:30-06:45,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.670000,0.53,0,0,1634.88

28,06:45-07:00,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.670000,1.03,0,0,1635.38

29,07:00-07:15,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.770000,0.69,0,0,1635.14

30,07:15-07:30,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.770000,0.73,0,0,1635.18

31,07:30-07:45,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.770000,1.03,0,0,1635.48

32,07:45:08:00,6.940000,11.740000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.770000,1.24,0,0,1635.69

33,08:00-08:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,0.98,0,0,1635.62

34,08:15-08:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,1.58,0,0,1636.22

35,08:30-08:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,2.16,0,0,1637.76

36,08:45:09:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,3.39,0,0,1638.99

37,09:00:09:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,2.33,0,0,1637.93

38,09:15-09:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,4.63,0,0,1640.23

39,09:30-09:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,6.29,0,0,1637.38

40,09:45-10:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,5.41,0,0,1640.34

41,10:00-10:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,6.59,0,0,1641.52

42,10:15-10:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,7.57,0,0,1642.5

43,10:30-10:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,6.2,0,0,1641.13

44,10:45-11:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,5.19,0,0,1640.12

45,11:00-11:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,4.76,0,0,1639.69

46,11:15-11:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,2.78,0,0,1637.71

47,11:30-11:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,3.92,0,0,1638.85

48,11:45-12:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,2.82,0,0,1637.75

49,12:00-12:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,1.15,0,0,1636.08

50,12:15-12:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,1.71,0,0,1636.64

51,12:30-12:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,4.89,0,0,1639.82

52,12:45-13:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,5.73,0,0,1640.66

53,13:00-13:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,7.03,0,0,1641

54,13:15-13:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,6.01,0,0,1639.98

55,13:30-13:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,6.47,0,0,1640.44

56,13:45-14:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,6.15,0,0,1640.12

57,14:00-14:15,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,5.54,0,0,1639.51

58,14:15-14:30,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,26.910000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,72.030000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,26.910000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,3.21,0,0,1637.18

