Column1,Block,NR/2024/22899/A/36546,NR/2024/23069/C,NR/2024/22888/A/36796,NR/2024/22860/A/36809,NR/2024/22898/A/36547,NR/2024/23038/A/36556,NR/2024/22832/A/36775,NR/2024/22833/A/36774,NR/2024/22837/A/36773,NR/2024/22816/A/36522,NR/2024/23062/C,NR/2024/22802/A/36777,NR/2024/23063/C,NR/2024/23017/A/36548,NR/2024/21658/A/36530,NR/2024/22874/A/36779,NR/2024/22848/A/36810,NR/2024/22734/A/36728,NR/2024/23058/C,NR/2024/22839/A/36769,NR/2024/22753/A/36738,NR/2024/22754/A/36739,NR/2024/22820/A/36482,NR/2024/22835/A/36755,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7196,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/2024/23061/C,Total
73,18:00-18:15,0,0,25.16,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1327.2899999999997

74,18:15-18:30,0,0,25.16,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1327.2899999999997

75,18:30-18:45,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1345.7099999999998

76,18:45-19:00,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1345.7099999999998

77,19:00-19:15,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,32,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,21.56,12.47,82.32,20.58,0,1345.53

78,19:15-19:30,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,32,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,21.56,12.47,82.32,20.58,0,1345.53

79,19:30-19:45,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.5744

80,19:45-20:00,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.5744

81,20:00-20:15,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.5243999999998

82,20:15-20:30,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.5243999999998

83,20:30-20:45,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.5243999999998

84,20:45-21:00,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.5243999999998

85,21:00-21:15,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,24.8044,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,24.8,12.47,82.32,20.58,0,1341.2443999999998

86,21:15-21:30,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1345.3808

87,21:30-21:45,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1345.3808

88,21:45-22:00,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.77,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1345.3808

89,22:00-22:15,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,10.65,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1586.5307999999998

90,22:15-22:30,0,0,43.58,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,10.65,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1586.5307999999998

91,22:30-22:45,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1609.7807999999998

92,22:45-23:00,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1609.7807999999998

93,23:00-23:15,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,94.33,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1613.0707999999997

94,23:15-23:30,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,94.33,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1613.0707999999997

95,23:30-23:45,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,94.33,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1613.0707999999997

96,23:45-24:00,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.77,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,94.33,26.8708,41.16,13.4,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1613.0707999999997

