Column1,Block,NR/2025/25752/A/64261,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/16/2139,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,NR/2025/25945/A/64729,NR/2025/25947/A/64727,NR/2025/25996/C,WR/2025/27361/A/64742,NR/2025/25924/A/64379,WR/2025/27350/A/64398,NR/2025/25955/A/64723,NR/2025/25948/A/64725,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2341,GNA/WR/2025/04/01/4420,GNA/SR/2025/04/01/2597,Total
92,22:45-23:00,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,223.25,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,930.4299999999997

93,23:00-23:15,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,223.25,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,929.4699999999998

94,23:15-23:30,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,223.25,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,929.4699999999998

95,23:30-23:45,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,223.25,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,929.4699999999998

96,23:45-24:00,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,223.25,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,929.4699999999998

