Block,Time,DADRT2,CHAMERA3,TANDA2,DADRI_CRF,ANTA_CRF,URI,ANTA_GF,NAPP,RIHAND1,AURY_RF,CHAMERA2,ANTA_RF,URI2,DADRI_LF,DADRI_RF,NJPC,RAMPUR,UNCHAHAR4,SEWA2,UNCHAHAR2,JHAJJAR,KOTESHWR,RIHAND3,DULHASTI,UNCHAHAR1,SALAL,AURY_LF,RIHAND2,AURY_CRF,SINGRAULI_HYDRO,SINGRAULI,RAPPC,TANAKPUR,RAPPB,DADRI_GF,KISHANGANGA,KOLDAM,DHAULIGNGA,PARBATI3,BSIUL,UNCHAHAR3,AURY_GF,ANTA_LF,TEHRI,CHAMERA1,BRBCL,KHSTPP-I,SASAN,FSTPP I & II,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
36,08:45:09:00,370.187634,11.184643,4.104821,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.525020,9.174815,25.009988,360.903740,8.893262,125.918390,38.041894,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,15.816738,0.000000,0.000000,0.000000,13.547798,19.286003,44.742633,403.819911,16.166104,0.000000,142.909260,0,0,0,0,0

37,09:00:09:15,370.187634,11.184643,4.104821,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.525020,9.174815,25.009988,360.903740,8.893262,125.918390,38.041894,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.494107,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,15.816738,0.000000,0.000000,0.000000,13.547798,19.286003,44.742633,403.819911,16.166104,0.000000,142.909260,0,0,0,0,0

38,09:15-09:30,370.187634,11.184643,4.104821,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.009988,360.903740,8.893262,125.918390,38.041894,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.494107,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,13.026729,19.286003,44.742633,403.819911,12.905420,0.000000,142.909260,0,0,0,0,0

39,09:30-09:45,370.187634,11.184643,4.104821,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.019631,360.903740,8.893262,125.918390,38.041894,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.494107,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,0.000000,19.286003,35.988737,403.819911,12.905420,0.000000,114.858352,0,0,0,0,0

40,09:45-10:00,370.187634,11.184643,4.104821,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.019631,360.903740,8.893262,125.918390,38.041894,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.494107,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,0.000000,19.286003,35.988737,403.819911,12.905420,0.000000,114.858352,0,0,0,0,0

41,10:00-10:15,370.187634,11.184643,2.437368,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.019631,360.903740,8.893262,125.918390,19.020948,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.864688,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,0.000000,19.286003,35.988737,403.819911,11.041235,0.000000,114.858352,0,0,0,0,0

42,10:15-10:30,370.187634,11.184643,2.437368,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.019631,360.903740,8.893262,125.918390,19.020948,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.864688,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,0.000000,19.286003,35.988737,403.819911,11.041235,0.000000,114.858352,0,0,0,0,0

43,10:30-10:45,370.187634,11.184643,2.437368,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.019631,360.903740,8.893262,125.918390,19.020948,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.864688,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,0.000000,19.286003,35.988737,403.819911,11.041235,0.000000,114.912352,0,0,0,0,0

44,10:45-11:00,370.187634,0.000000,2.437368,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,21.490749,0.831651,2.525020,9.174815,25.019631,360.903740,8.893262,125.918390,19.020948,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.864688,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,15.816738,0.000000,0.000000,0.000000,0.000000,19.286003,35.988737,403.819911,11.041235,0.000000,114.912352,0,0,0,0,0

