Column1,Block,NR/2025/25752/A/67228,NR/2025/26254/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/28/7408,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/1389,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6490,NR/2025/26249/C,NR/2025/26214/C,NR/2025/26247/C,GNA/NR/2025/04/16/2341,NR/2025/26250/C,NR/2025/26251/C,GNA/SR/2025/04/01/2597,NR/2025/26253/C,NR/2025/25947/A/67681,NR/2025/26242/C,NR/2025/25948/A/67680,NR/2025/26031/A/67358,NR/2025/25955/A/67679,NR/2025/26252/C,WR/2025/27361/A/67690,NR/2025/26085/A/67181,NR/2025/26258/C,WR/2025/27350/A/67226,NR/2025/25945/A/67682,NR/2025/26255/C,Total
67,16:30-16:45,3.85,9.63,57.25,0,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,21.19,43.78,30.83,14.59,6.74,29.02,0,24.08,0.82,0,0,43.78,96.33,1143.01

68,16:45-17:00,3.85,9.63,49.99,0,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,21.19,43.78,41.42,14.59,6.74,29.02,0,24.08,0.82,0,0,43.78,96.33,1146.34

69,17:00-17:15,0,9.63,42.41,23.31,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.67,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,2.31,213.85,8.48,19.27,4.14,3.76,0,21.19,43.78,49.9,14.59,6.74,29.02,2.7,24.08,0.67,0,0,43.78,96.33,1188.2199999999998

70,17:15-17:30,0,9.63,34.53,39.21,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.67,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,2.31,242.75,8.67,19.27,4.14,3.76,0,21.19,43.78,50.86,14.59,6.74,29.02,2.7,24.08,0.67,0,0,43.78,96.33,1226.2899999999997

71,17:30-17:45,0,9.63,27.1,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.67,26.16,9.63,72.25,9.63,72.25,26.16,14.59,9.63,2.31,242.75,9.44,19.27,4.14,3.85,0,21.19,43.78,50.86,14.59,6.74,29.02,2.7,24.08,0.67,0,0,43.78,96.33,1215.29

72,17:45-18:00,0,9.63,19.99,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.67,26.16,9.63,72.25,9.63,72.25,26.16,14.59,9.63,2.31,271.65,10.21,19.27,4.14,3.85,0,21.19,43.78,49.9,14.59,6.74,29.02,2.7,24.08,0.67,0,0,43.78,96.33,1236.8899999999999

73,18:00-18:15,0,9.63,13.7,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.22,24.32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,11.27,19.27,4.14,3.85,0,4.82,43.78,48.94,14.59,6.74,29.02,2.7,24.08,0.63,0,0,43.78,96.33,1218.8400000000001

74,18:15-18:30,0,9.63,8.61,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.22,24.32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,12.62,19.27,4.14,3.85,0,4.82,43.78,45.08,14.59,6.74,29.02,2.7,24.08,0.63,0,0,43.78,96.33,1211.24

75,18:30-18:45,0,9.63,0.62,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.22,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,13.39,19.27,4.14,3.85,0,4.82,43.78,43.16,14.59,6.74,29.02,2.7,24.08,0.63,0,0,43.78,96.33,1177.78

76,18:45-19:00,0,9.63,0.3,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.22,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,13.97,19.27,4.14,3.85,0,4.82,43.78,42.19,14.59,6.74,29.02,2.7,24.08,0.63,0,0,43.78,96.33,1177.0700000000002

77,19:00-19:15,0,9.63,0.23,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,14.26,19.27,4.14,3.85,0,2.89,43.78,41.23,14.59,6.74,29.02,2.7,24.08,0.72,0,0,43.78,96.33,1175.2299999999998

78,19:15-19:30,0,9.63,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,14.45,19.27,4.14,3.76,0,2.89,43.78,41.23,14.59,6.74,29.02,2.7,24.08,0.72,0,0,43.78,96.33,1175.0999999999997

79,19:30-19:45,0,9.63,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,14.64,19.27,4.14,3.66,0,2.89,43.78,40.27,14.59,6.74,29.02,2.7,24.08,0.72,0,0,43.78,96.33,1174.2299999999996

80,19:45-20:00,0,9.63,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,14.74,19.27,4.14,3.66,0,2.89,43.78,40.27,14.59,6.74,29.02,2.7,24.08,0.72,0,0,43.78,96.33,1174.3299999999997

81,20:00-20:15,0,9.63,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.51,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,14.16,19.27,4.14,3.56,0,2.89,43.78,36.41,14.59,5.78,29.02,3.47,24.08,0.67,0,0,43.78,96.33,1170.0999999999997

82,20:15-20:30,0,9.63,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.51,0,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,13.97,19.27,4.14,3.56,0,2.89,43.78,35.45,14.59,5.78,29.02,3.47,24.08,0.67,0,0,43.78,96.33,1168.9499999999998

83,20:30-20:45,0,11.27,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.51,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,13.87,19.27,4.14,3.66,0,2.89,43.78,34.49,14.59,5.78,29.02,3.47,24.08,0.67,0,0,43.78,96.33,1201.6299999999997

84,20:45-21:00,0,14.45,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.51,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,13.78,19.27,4.14,3.66,0,2.89,43.78,33.52,14.59,5.78,29.02,3.47,24.08,0.67,0,0,43.78,96.33,1203.7499999999998

85,21:00-21:15,0,11.17,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,11.06,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,13,19.27,4.14,3.76,0,2.89,43.78,32.56,14.59,5.78,29.02,3.47,24.08,0,0,0,43.78,96.33,1198.7099999999998

86,21:15-21:30,0,22.44,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,11.06,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,12.62,19.27,4.14,3.66,0,2.89,43.78,32.56,14.59,5.78,29.02,3.47,24.08,0,0,0,43.78,96.33,1209.4999999999998

87,21:30-21:45,0,26.68,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,12.52,19.27,4.14,3.66,0,2.89,43.78,31.79,14.59,5.78,29.02,3.47,24.08,0,0,0,43.78,96.33,1214.5399999999997

88,21:45-22:00,0,27.26,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,12.43,19.27,4.14,3.66,0,2.89,43.78,31.11,14.59,5.78,29.02,3.47,24.08,0,0,0,43.78,96.33,1214.3499999999997

89,22:00-22:15,0,27.26,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,11.75,19.27,4.14,3.66,0,21.19,43.78,34.49,14.59,4.82,29.02,3.47,24.08,0,0,0,43.78,96.33,1234.3899999999996

90,22:15-22:30,0,27.26,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,11.27,19.27,4.14,3.76,0,21.19,43.78,35.45,14.59,4.82,29.02,3.47,24.08,0,0,0,43.78,96.33,1234.9699999999996

91,22:30-22:45,0,27.26,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,11.08,19.27,4.14,3.85,0,21.19,43.78,35.45,14.59,4.82,29.02,3.47,24.08,0,0,0,43.78,96.33,1234.8699999999997

92,22:45-23:00,0,26.68,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,10.98,19.27,4.14,3.85,0,32.75,43.78,34.49,14.59,4.82,29.02,3.47,24.08,0,0,0,43.78,96.33,1244.7899999999995

93,23:00-23:15,0,25.72,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,10.89,19.27,4.14,3.95,0,32.75,43.78,34.49,14.59,3.85,29.02,3.47,24.08,0.63,0,0,43.78,96.33,1243.4999999999995

94,23:15-23:30,0,24.37,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,10.79,19.27,4.14,3.95,0,32.75,43.78,33.52,14.59,3.85,29.02,3.47,24.08,0.63,0,0,43.78,96.33,1241.0799999999997

95,23:30-23:45,0,23.41,0,36.32,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,10.69,19.27,4.14,3.95,0,32.75,43.78,32.56,14.59,3.85,29.02,3.47,24.08,0.63,0,0,43.78,96.33,1239.0599999999997

96,23:45-24:00,0,23.41,0,11.75,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,12.73,32,9.63,72.25,9.63,72.25,32,14.59,9.63,2.31,271.65,10.6,19.27,4.14,3.95,0,32.75,43.78,32.56,14.59,3.85,29.02,3.47,24.08,0.63,0,0,43.78,96.33,1214.3999999999999

