Time,Block,NR/2024/19779/A/18360,NR/2024/19637/A/18701,NR/2024/20180/C,NR/2024/20149/C,NR/2024/20034/A/18571,NR/2024/19475/A/18511,NR/2024/20181/C,NR/2024/20174/C,NR/2024/20040/A/18592,NR/2024/20082/A/18593,NR/2024/20165/C,NR/2024/20145/C,NR/2024/20031/A/18572,NR/2024/20037/A/18526,NR/2024/19966/A/18531,NR/2024/19699/A/18575,NR/2024/20168/C,NR/2024/19918/A/18591,NR/2024/20167/C,NR/2024/20090/A/18620,NR/2024/19588/A/18208,NR/2024/20175/C,NR/2024/20172/C,NR/2024/19760/A/18527,NR/2024/20182/C,NR/2024/20041/A/18614,NR/2024/20164/C,NR/2024/20151/C,NR/2024/19355/A/18664,NR/2024/20166/C,NR/2024/19432/A/18577,NR/2024/20179/C,NR/2024/20050/A/18610,NR/2024/20052/A/18504,NR/2024/20133/C,NR/2024/19683/A/18141,NR/2024/20177/C,NR/2024/20033/A/18573,NR/2024/20048/A/18612,NR/2024/20148/C,Total
55,13:30-13:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.73,1179.97

56,13:45-14:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.46,1179.7

57,14:00-14:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.27,1179.51

58,14:15-14:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,7.93,1179.17

59,14:30-14:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,7.51,1178.75

60,14:45-15:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,7.05,1178.29

61,15:00-15:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,6.61,1177.85

62,15:15-15:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,6.22,1177.46

63,15:30-15:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,5.72,1176.96

64,15:45-16:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,5.28,1176.52

65,16:00-16:15,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,4.73,1016.36

66,16:15-16:30,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,4.23,1015.86

67,16:30-16:45,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,3.65,1015.28

68,16:45-17:00,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,3.06,1014.69

69,17:00-17:15,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,2.56,1014.19

70,17:15-17:30,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,1.94,1013.57

71,17:30-17:45,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,1.44,1013.07

72,17:45-18:00,0.820000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,1.03,1012.66

73,18:00-18:15,0.820000,0.000000,0.000000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,0.69,1048.75

74,18:15-18:30,0.820000,0.000000,0.000000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,0.42,1048.48

75,18:30-18:45,0.820000,0.000000,0.000000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,0.2,1048.26

76,18:45-19:00,0.820000,0.000000,0.000000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,0,1048.06

77,19:00-19:15,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1378.55

78,19:15-19:30,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1378.55

79,19:30-19:45,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1467.46

80,19:45-20:00,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1467.46

81,20:00-20:15,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1462.63

82,20:15-20:30,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1462.63

83,20:30-20:45,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1462.63

84,20:45-21:00,0.820000,0.000000,49.290000,167.190000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,48.320000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1462.63

85,21:00-21:15,0.770000,0.000000,49.290000,167.190000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1678.09

86,21:15-21:30,0.770000,0.000000,49.290000,167.190000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1678.09

87,21:30-21:45,0.770000,0.000000,49.290000,167.190000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1678.09

88,21:45-22:00,0.770000,0.000000,49.290000,167.190000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,0.000000,8.700000,0.480000,1.930000,96.640000,12.450000,0.000000,0,1678.09

89,22:00-22:15,0.720000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.72

90,22:15-22:30,0.720000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.72

91,22:30-22:45,0.720000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.72

92,22:45-23:00,0.720000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.72

93,23:00-23:15,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.63

94,23:15-23:30,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.63

95,23:30-23:45,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.63

96,23:45-24:00,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,69.580000,0.000000,144.960000,0.000000,0.350000,0.000000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1839.63

