Column1,Time,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/5126,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/WR/2025/08/25/1832,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/4452,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/4125,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,NR/01102023/31052040/LT-31
46,11:15-11:30,-112.4,20.44,15,33,12.39,6.67,5,12.39,33,107.48,33,0,9.88,0,0,0,5,225,41,90,0,85,45,45,96.67,43.83,81,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,10.79,14.58,159.93,149.62,13.97,28.93,81.78,81.78,40.89,13.97

47,11:30-11:45,-224.8,20.44,13.99,33,12.32,6.67,4.67,12.32,33,113.16,33,0,9.88,0,0,0,4.67,226.67,43,90,0,85,45,45.33,96.67,44.12,81,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,11.07,14.58,159.93,158.64,14.33,28.93,81.78,81.78,40.89,14.33

48,11:45-12:00,-224.8,20.44,13.5,33,12.23,7,4.5,12.22,33,118.48,33,0,9.88,0,0,0,4.5,228.33,43,90,0,85,45,45.67,96.56,43.6,81,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,11.3,14.58,159.93,170.17,14.64,28.93,81.78,81.78,40.89,14.64

49,12:00-12:15,-224.8,20.44,12.49,33,12.29,7,4.17,12.3,33,123.38,33,0,9.88,0,0,0,4.17,230,43,90,0,83,45,46,96.67,43.7,76,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,11.35,14.58,159.93,179.44,14.7,28.93,81.78,81.78,40.89,14.7

50,12:15-12:30,-224.8,20.44,12.49,33,12.68,7,4.17,12.69,33,126.92,33,0,9.88,0,0,0,4.17,231.67,43,90,0,83,45,46.33,96.67,43.72,76,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,11.33,14.58,159.93,186.81,14.67,28.93,81.78,81.78,40.89,14.67

51,12:30-12:45,-224.8,20.44,12.49,33,13.22,7.33,4.17,13.21,33,123.76,33,0,9.88,0,0,0,4.17,250,43,70,0,80,35,50,96.67,44.21,69,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,11.29,14.58,159.93,193.81,14.62,28.93,81.78,81.78,40.89,14.62

52,12:45-13:00,-224.8,20.44,13.5,33,14.37,7.33,4.5,14.38,33,120.6,33,0,9.88,0,0,0,4.5,250,43,72,0,80,36,50,96.67,43.87,69,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,11.23,14.58,159.93,166.44,14.53,28.93,81.78,81.78,40.89,14.53

53,13:00-13:15,-224.8,20.44,14.51,33,16.03,7.67,4.83,16.02,33,117.69,33,0,12.65,0,0,0,4.83,250,42,70,0,80,35,50,96.67,43.77,57,70.17,52.92,20.76,19.24,14.58,5.9,8.51,15.25,0,0,0,20.44,55.96,11.82,14.58,159.93,149.62,15.3,28.93,81.78,81.78,40.89,15.3

