Time,Block,NR/2024/19030/A/15821,NR/2024/19121/A/15886,NR/2024/19560/C,NR/2024/18977/A/15753,NR/2024/19245/A/15859,NR/2024/18986/A/15950,NR/2024/19571/C,NR/2024/19143/A/15784,NR/2024/19075/A/15789,NR/2024/18855/A/15888,NR/2024/19483/A/16437,NR/2024/19566/C,NR/2024/18936/A/15736,NR/2024/18935/A/15735,NR/2024/19115/A/15786,NR/2024/19337/A/15858,NR/2024/19024/A/15860,NR/2024/19563/C,NR/2024/19567/C,NR/2024/19562/C,NR/2024/19469/A/15875,NR/2024/19561/C,NR/2024/19548/C,NR/2024/19290/A/16454,NR/2024/19484/A/16438,NR/2024/19576/C,NR/2024/19043/A/15809,NR/2024/19485/A/16439,NR/2024/18934/A/15734,NR/2024/19570/C,NR/2024/18996/A/16346,NR/2024/19547/C,NR/2024/19559/C,NR/2024/18978/A/15755,NR/2024/18976/A/15751,NR/2024/18919/A/16368,NR/2024/19172/A/16455,Total
59,14:30-14:45,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,7.68,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,899.27

60,14:45-15:00,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,7.32,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,898.91

61,15:00-15:15,19.310000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,6.9,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,898.24

62,15:15-15:30,19.310000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,6.2,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,897.54

63,15:30-15:45,19.310000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,5.53,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,0.000000,0.000000,115.840000,857.29

64,15:45-16:00,19.310000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,5.26,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,0.000000,0.000000,115.840000,857.02

65,16:00-16:15,0.000000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,4.52,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,803.18

66,16:15-16:30,0.000000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,3.78,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,802.44

67,16:30-16:45,0.000000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,3.03,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,801.69

68,16:45-17:00,0.000000,0.000000,0.000000,57.920000,1.930000,0.720000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,2.92,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,801.58

69,17:00-17:15,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,2.24,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,48.260000,108.690000,0.000000,0.000000,0.000000,0.000000,115.840000,687.15

70,17:15-17:30,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,1.56,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,48.260000,108.690000,0.000000,0.000000,0.000000,0.000000,115.840000,686.47

71,17:30-17:45,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,1.05,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,48.260000,108.690000,0.000000,0.000000,0.000000,0.000000,115.840000,685.96

72,17:45-18:00,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0.58,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,48.260000,108.690000,0.000000,0.000000,0.000000,0.000000,115.840000,685.49

73,18:00-18:15,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0.38,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,639.64

74,18:15-18:30,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0.16,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,639.42

75,18:30-18:45,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,639.26

76,18:45-19:00,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,639.26

77,19:00-19:15,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,641.26

78,19:15-19:30,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,641.26

79,19:30-19:45,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,641.26

80,19:45-20:00,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,641.26

81,20:00-20:15,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,839.15

82,20:15-20:30,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,0.000000,0.000000,0.000000,0.000000,115.840000,839.15

83,20:30-20:45,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,96.530000,0.000000,0.000000,0.000000,115.840000,935.68

84,20:45-21:00,0.000000,0.000000,0.000000,0.000000,1.930000,0.680000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,0.000000,0.000000,111.300000,96.530000,0.000000,0.000000,0.000000,115.840000,935.68

85,21:00-21:15,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,111.300000,96.530000,0.000000,0.000000,0.000000,115.840000,1120.06

86,21:15-21:30,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,111.300000,96.530000,0.000000,0.000000,0.000000,115.840000,1120.06

87,21:30-21:45,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,111.300000,96.530000,0.000000,0.000000,0.000000,115.840000,1120.06

88,21:45-22:00,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,111.300000,96.530000,0.000000,0.000000,0.000000,115.840000,1120.06

89,22:00-22:15,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,108.690000,96.530000,0.000000,0.000000,9.650000,115.840000,1178.26

90,22:15-22:30,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,108.690000,96.530000,0.000000,0.000000,9.650000,115.840000,1178.26

91,22:30-22:45,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,108.690000,96.530000,0.000000,0.000000,9.650000,115.840000,1178.26

92,22:45-23:00,0.000000,0.000000,144.800000,0.000000,1.930000,0.680000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,96.530000,0.000000,0.000000,9.650000,115.840000,1122.08

93,23:00-23:15,0.000000,0.000000,144.800000,0.000000,1.930000,0.630000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,96.530000,0.000000,0.000000,9.650000,115.840000,1122.03

94,23:15-23:30,0.000000,0.000000,144.800000,0.000000,1.930000,0.630000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,96.530000,0.000000,0.000000,9.650000,115.840000,1122.03

95,23:30-23:45,0.000000,0.000000,144.800000,0.000000,1.930000,0.630000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,96.530000,0.000000,0.000000,9.650000,115.840000,1122.03

96,23:45-24:00,0.000000,0.000000,144.800000,0.000000,1.930000,0.630000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,51.160000,39.580000,1.930000,96.530000,0,67.570000,43.870000,43.440000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,96.530000,0.000000,0.000000,9.650000,115.840000,1122.03

