Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/33621/C,NR/2025/32599/A/96805,NR/2025/33233/A/96819,NR/2025/32004/A/97073,NR/2025/32554/A/97054,NR/2025/33469/A/96778,NR/2025/29440/A/96595,NR/2025/32455/A/97134,NR/2025/31421/A/97125,NR/2025/31041/A/97060,NR/2025/31042/A/97061,NR/2025/32375/A/97122,NR/2025/31046/A/97063,NR/2025/31047/A/97062,NR/2025/32559/A/97067,NR/2025/32556/A/97068,NR/2025/32610/A/97066,NR/2025/32262/A/96610,NR/2025/32397/A/96552,NR/2025/29992/A/96690,NR/2025/32598/A/96823,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/33573/C,NR/2025/33624/C,NR/2025/33604/C,NR/2025/33558/C,NR/2025/33600/C,NR/2025/33602/C,NR/2025/33618/C,NR/2025/33619/C,NR/2025/33527/C,NR/2025/33595/C,NR/2025/33574/C,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,NR/2025/32534/A/97026,NR/2025/32857/A/96591,NR/2025/32534/A/97027,NR/2025/32532/A/97024,NR/2025/32652/A/96568,NR/2025/32535/A/97028,NR/2025/32532/A/97025,NR/2025/32653/A/96571,NR/2025/32535/A/97029,Total
52,12:45-13:00,83.33,20.23,91,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.95,24.09,0.29,1.16,0,0.28,1.64,0.11,0.67,1.45,0.39,1486.7099999999998

53,13:00-13:15,78.2,8.83,102,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.29,1.16,0,0.33,1.64,0.13,0.67,1.45,0.39,1504.5199999999998

54,13:15-13:30,79.73,8.83,98,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.29,1.16,0.1,0.36,1.64,0.14,0.67,1.45,0.39,1502.1899999999996

55,13:30-13:45,79.73,8.83,119,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.29,1.16,0.45,0.44,1.64,0.17,0.63,1.45,0.36,1523.5799999999997

56,13:45-14:00,79.73,8.83,119,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.29,1.16,0.45,0.45,1.64,0.18,0.63,1.45,0.36,1523.5999999999997

57,14:00-14:15,72.59,8.83,126,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.28,1.16,0.45,0.47,1.64,0.19,0.63,1.45,0.36,1701.61

58,14:15-14:30,71.86,8.83,123,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.28,1.16,0.45,0.47,1.64,0.19,0.63,1.45,0.36,1697.8799999999999

59,14:30-14:45,68.59,8.83,105,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.27,1.16,0.77,0.45,1.64,0.18,0.73,1.45,0.51,1677.1399999999999

60,14:45-15:00,67.05,8.83,102,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.27,1.16,0.77,0.45,1.64,0.18,0.53,1.45,0.38,1672.2699999999998

61,15:00-15:15,64.05,10.78,95,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.28,1.16,0.77,0.47,1.64,0.18,0.4,1.45,0.29,1664.0299999999997

62,15:15-15:30,60.79,10.78,91,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.29,1.16,0.77,0.48,1.64,0.19,0.35,1.45,0.24,1656.6999999999996

63,15:30-15:45,57.47,10.78,98,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.27,1.16,0.77,0.44,1.64,0.17,0.34,1.45,0.23,1660.2799999999997

64,15:45-16:00,54.12,10.78,91,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,0,26.95,96.35,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,96.35,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.26,1.16,0.77,0.44,1.64,0.17,0.33,1.45,0.23,1649.9099999999994

65,16:00-16:15,54.01,10.78,88,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,0,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.16,0,0.77,0.27,0,0.11,0.1,0,0.07,1641.7399999999993

66,16:15-16:30,48.97,10.78,84,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,0,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.18,0,0.77,0.31,0,0.13,0.03,0,0.02,1632.6599999999996

67,16:30-16:45,43.7,10.78,77,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,0,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.23,0,0.77,0.39,0,0.15,0,0,0,1620.4899999999998

68,16:45-17:00,38.06,8.83,67,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,0,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.24,0,0.77,0.4,0,0.15,0,0,0,1602.9199999999996

69,17:00-17:15,32.23,8.17,60,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.24,0,0.77,0.4,0,0.16,0,0,0,1598.1099999999997

70,17:15-17:30,29.57,7.89,49,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.25,0,0.77,0.41,0,0.16,0,0,0,1584.1899999999996

71,17:30-17:45,21.43,7.71,39,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.22,0,0,0.38,0,0.14,0,0,0,1565.0199999999998

72,17:45-18:00,16.39,7.78,32,14.45,76.71,163.8,13.49,0.87,0,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.95,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,19.27,96.35,24.09,15.27,20.79,96.35,14.6,28.97,26.95,24.09,0.17,0,0,0.29,0,0.12,0,0,0,1552.8899999999994

73,18:00-18:15,12.85,8.59,25,14.45,76.71,163.8,13.49,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.58,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0.13,0,0,0.21,0,0.09,0,0,0,1511.1599999999996

74,18:15-18:30,8.78,6.24,18,14.45,76.71,163.8,13.49,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.58,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0.09,0,0,0.14,0,0.06,0,0,0,1497.5999999999997

75,18:30-18:45,3.17,4.08,11,14.45,76.71,163.8,13.49,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,26.58,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0.05,0,0,0.09,0,0.04,0,0,0,1482.7199999999996

76,18:45-19:00,1.24,2.61,6,14.45,76.71,163.8,13.49,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,48.18,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0.02,0,0,0.04,0,0.02,0,0,0,1472.1499999999994

77,19:00-19:15,0.76,0,1,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,40.3,0,16.26,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1447.8999999999996

78,19:15-19:30,0.28,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,40.3,0,16.26,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1446.4199999999996

79,19:30-19:45,0.07,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,40.3,0,2.87,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1432.8199999999995

80,19:45-20:00,0,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,0,8.67,44.32,81.9,40.3,0,2.87,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1432.7499999999995

81,20:00-20:15,0,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,30,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1514.0799999999997

82,20:15-20:30,0,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,30,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1514.0799999999997

83,20:30-20:45,0,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,30,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1514.0799999999997

84,20:45-21:00,0,0,0,14.45,76.71,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,30,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1514.0799999999997

85,21:00-21:15,0,0,0,14.45,105.98,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,30,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1543.3499999999997

86,21:15-21:30,0,0,0,14.45,105.98,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,30,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1543.3499999999997

87,21:30-21:45,0,0,0,14.45,105.98,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,11.12,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1524.4699999999996

88,21:45-22:00,0,0,0,14.45,105.98,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,11.12,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1524.4699999999996

89,22:00-22:15,0,0,0,14.45,105.98,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1537.8599999999997

90,22:15-22:30,0,0,0,14.45,105.98,163.8,13.49,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1537.8599999999997

91,22:30-22:45,0,0,0,14.45,105.98,163.8,12.53,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1536.8999999999996

92,22:45-23:00,0,0,0,14.45,105.98,163.8,12.53,0.92,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1536.8999999999996

93,23:00-23:15,0,0,0,14.45,105.98,163.8,12.53,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1536.8499999999997

94,23:15-23:30,0,0,0,14.45,105.98,163.8,12.53,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,24.51,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1536.8499999999997

95,23:30-23:45,0,0,0,14.45,105.98,163.8,12.53,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,26.58,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1538.9199999999996

96,23:45-24:00,0,0,0,14.45,105.98,163.8,12.53,0.87,48.18,48.18,0,96.35,48.18,0,96.35,43.79,43.79,37.23,54.2,8.67,44.32,81.9,40.3,0,26.58,0,192.7,0,28.9,0,0,0,0,0,0,0,14.6,0,96.35,24.09,0,20.79,48.18,14.6,28.97,30,24.09,0,0,0,0,0,0,0,0,0,1538.9199999999996

