Column1,Block,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,NR/2025/33075/C,NR/2025/32857/A/94879,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/94941,NR/2025/32534/A/94943,NR/2025/32599/A/94565,NR/2025/32652/A/94893,NR/2025/32532/A/94935,NR/2025/32535/A/94945,NR/2025/32653/A/94891,NR/2025/32532/A/94936,NR/2025/32535/A/94946,NR/2025/32455/A/95040,NR/2025/33056/C,NR/2025/33027/C,NR/2025/33057/C,NR/2025/33029/C,NR/2025/33030/C,NR/2025/32262/A/94517,NR/2025/32559/A/94869,NR/2025/33066/C,NR/2025/33050/C,NR/2025/33045/C,NR/2025/33068/C,NR/2025/29440/A/94472,NR/2025/32004/A/94874,NR/2025/33069/C,NR/2025/32610/A/94868,NR/2025/29992/A/94527,NR/2025/33054/C,NR/2025/32375/A/94983,NR/2025/31041/A/94922,NR/2025/31421/A/94986,NR/2025/31042/A/94923,NR/2025/32598/A/94676,NR/2025/32397/A/94487,NR/2025/32554/A/94910,NR/2025/32702/A/94552,NR/2025/32556/A/94870,NR/2025/31047/A/94925,NR/2025/31046/A/94924,Total
54,13:15-13:30,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,91.17,0.48,0.29,207,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1528.69

55,13:30-13:45,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,91,0.48,0.29,189,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1510.5200000000002

56,13:45-14:00,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,90.47,0.48,0.29,186,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1506.99

57,14:00-14:15,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,92.89,0.46,0.29,172,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1687.3500000000001

58,14:15-14:30,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,89.04,0.46,0.29,172,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1683.5000000000002

59,14:30-14:45,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,85.02,0.77,0.29,168,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1676.3700000000001

60,14:45-15:00,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,80.76,0.77,0.29,165,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1669.1100000000001

61,15:00-15:15,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,1.15,76.42,0.77,0.29,158,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1662.7500000000002

62,15:15-15:30,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,1.15,71.96,0.77,0.29,147,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1647.2900000000002

63,15:30-15:45,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,1.15,67.99,0.77,0.29,137,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1633.3200000000002

64,15:45-16:00,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,1.15,60.37,0.77,0.29,126,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,95.98,95.98,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1614.7000000000003

65,16:00-16:15,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,0,53.55,0.76,0.29,116,0,0.95,0.19,0,0.48,0.66,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,0,163.17,13.44,43.62,95.98,0,1593.5300000000002

66,16:15-16:30,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,0,48.15,0.66,0.29,105,0,0.83,0.19,0,0.48,0.58,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,0,163.17,13.44,43.62,95.98,0,1576.8300000000002

67,16:30-16:45,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,10.74,0,38.1,0.55,0.29,91,0,0.69,0.19,0,0.48,0.48,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,0,163.17,13.44,43.62,95.98,0,1552.43

68,16:45-17:00,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,0,34.4,0.44,0.29,77,0,0.55,0.19,0,0.48,0.38,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,0,163.17,13.44,43.62,95.98,0,1532.43

69,17:00-17:15,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.14,0,27.69,0.32,0.29,70,0,0.39,0.11,0,0.27,0.28,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1526.04

70,17:15-17:30,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,7.86,0,24.9,0.21,0.29,60,0,0.26,0.12,0,0.32,0.15,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1512.66

71,17:30-17:45,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,7.2,15.21,81.58,14.54,7.68,0,21.99,0.1,0.23,49,0,0.12,0.15,0,0.39,0.07,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1490.94

72,17:45-18:00,20.4,14.33,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,7.2,15.21,81.58,14.54,7.75,0,17.81,0,0.26,39,0,0,0.17,0,0.43,0,0,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1476.63

73,18:00-18:15,20.4,14.33,81.58,26.75,40.79,28.86,26.75,20.4,20.71,0,7.2,0,33.59,14.54,8.56,0,13.47,0,0.22,28,0,0,0.14,0,0.36,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1427.13

74,18:15-18:30,20.4,14.33,81.58,26.75,40.79,28.86,26.75,20.4,20.71,0,7.2,0,33.59,14.54,6.22,0,10.1,0,0.14,18,0,0,0.1,0,0.24,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1411.18

75,18:30-18:45,20.4,14.33,81.58,21.92,40.79,28.86,21.92,20.4,20.71,0,7.2,0,33.59,14.54,4.06,0,4.95,0,0.09,11,0,0,0.06,0,0.14,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1387.0200000000002

76,18:45-19:00,20.4,14.33,81.58,21.92,40.79,28.86,21.92,20.4,20.71,0,7.2,0,33.59,14.54,2.6,0,2.49,0,0.05,6,0,0,0.03,0,0.08,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.86,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1377.9700000000003

77,19:00-19:15,20.4,14.33,81.58,14.35,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,1.44,0,0,2,0,0,0,0,0,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1370.2200000000003

78,19:15-19:30,20.4,14.33,81.58,14.35,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1366.7800000000002

79,19:30-19:45,20.4,14.33,81.58,0.96,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1353.39

80,19:45-20:00,20.4,14.33,81.58,0.96,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,0,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1353.39

81,20:00-20:15,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1406.42

82,20:15-20:30,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1406.42

83,20:30-20:45,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1406.42

84,20:45-21:00,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,76.42,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1406.42

85,21:00-21:15,20.4,14.33,81.58,0.96,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1436.5400000000002

86,21:15-21:30,20.4,14.33,81.58,0.96,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1436.5400000000002

87,21:30-21:45,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1435.5800000000002

88,21:45-22:00,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1435.5800000000002

89,22:00-22:15,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1435.5800000000002

90,22:15-22:30,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,13.44,43.62,95.98,0,1435.5800000000002

91,22:30-22:45,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,7.2,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,12.48,43.62,95.98,0,1434.6200000000001

92,22:45-23:00,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,14.54,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.91,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,12.48,43.62,95.98,0,1441.96

93,23:00-23:15,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,14.54,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.86,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,12.48,43.62,95.98,0,1441.91

94,23:15-23:30,20.4,14.33,81.58,0,40.79,28.86,29.5,20.4,20.71,0,14.54,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.86,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,12.48,43.62,95.98,0,1441.91

95,23:30-23:45,20.4,14.33,81.58,0.96,40.79,28.86,29.5,20.4,20.71,0,14.54,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.86,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,12.48,43.62,95.98,0,1442.8700000000001

96,23:45-24:00,20.4,14.33,81.58,0.96,40.79,28.86,29.5,20.4,20.71,0,14.54,0,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,43.62,191.96,0,0,0,0.86,105.58,0,37.09,44.15,0,47.99,0,47.99,95.98,81.58,8.64,163.17,12.48,43.62,95.98,0,1442.8700000000001

