Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26198/A/69253,NR/2025/26504/C,NR/2025/26265/A/69209,NR/2025/26201/A/69244,NR/2025/26312/A/68735,NR/2025/25858/A/69198,NR/2025/26232/A/69211,NR/2025/25855/A/69197,NR/2025/26506/C,NR/2025/26289/A/69208,NR/2025/26335/A/68881,NR/2025/26199/A/69252,NR/2025/26191/A/68725,NR/2025/26153/A/68754,NR/2025/26197/A/69254,NR/2025/26233/A/69210,NR/2025/26291/A/69207,NR/2025/26101/A/68854,NR/2025/26336/A/69185,NR/2025/26286/A/68858,NR/2025/26202/A/69348,NR/2025/26236/A/68753,NR/2025/26002/A/69164,NR/2025/26200/A/69250,NR/2025/26085/A/68739,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/4138,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/7791,NR/2025/26496/C,NR/2025/26461/C,NR/2025/26503/C,NR/2025/26463/C,NR/2025/26464/C,NR/2025/26462/C,NR/2025/26473/C,NR/2025/26478/C,NR/2025/26465/C,Total
56,13:45-14:00,95.52,26.27,0,0,26.27,0,0,0,0,5.81,0,179,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,10.6,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,88.62,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1688.6399999999999

57,14:00-14:15,97.58,26.27,0,0,6.01,0,0,0,0,96.33,0,168,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,8.86,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.97,163.76,13.49,0,26.73,0,59.72,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1648.97

58,14:15-14:30,95.4,26.27,0,0,6.01,0,0,0,0,96.33,0,168,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,8.38,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.97,163.76,13.49,0,26.73,0,59.72,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1646.31

59,14:30-14:45,92.68,26.27,0,0,6.01,0,0,0,0,96.33,0,168,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,8.86,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.97,163.76,13.49,0,26.73,0,59.72,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1644.0700000000002

60,14:45-15:00,89.45,26.27,0,0,6.01,0,0,0,0,96.33,0,161,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,9.06,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.97,163.76,13.49,0,26.73,0,59.72,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1634.04

61,15:00-15:15,85.7,26.27,0,0,6.01,0,0,0,0,96.33,0,151,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,7.61,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.88,163.76,13.49,0,26.73,0,11.56,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1570.5900000000001

62,15:15-15:30,81.48,26.27,0,0,6.01,0,0,0,0,96.33,0,140,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,8,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.88,163.76,13.49,0,26.73,0,11.56,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1555.76

63,15:30-15:45,76.68,26.27,0,0,6.01,0,0,0,0,96.33,0,123,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,8.38,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.88,163.76,13.49,0,26.73,0,11.56,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1534.34

64,15:45-16:00,71.42,26.27,0,0,6.01,0,0,0,0,96.33,0,112,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,0,8.57,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.88,163.76,13.49,0,26.73,0,0,96.33,38.53,24.08,4.82,48.16,20.26,52.98,4.82,1506.7099999999998

65,16:00-16:15,68.97,26.27,51.03,96.33,26.27,52.98,0,4.82,0,0,48.16,95,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,5.68,0,8.76,0.82,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,0,0,9.63,0,0,0,0,0,0,1507.5100000000002

66,16:15-16:30,62.59,26.27,51.03,96.33,26.27,52.98,0,4.82,0,0,48.16,84,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,5.59,0,8.76,0.82,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,0,0,9.63,0,0,0,0,0,0,1490.0400000000004

67,16:30-16:45,55.79,26.27,51.03,96.33,26.27,52.98,0,4.82,0,0,48.16,49,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,5.59,0,8.76,0.82,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,0,0,9.63,0,0,0,0,0,0,1448.2400000000005

68,16:45-17:00,48.78,26.27,51.03,96.33,26.27,52.98,0,4.82,0,0,48.16,42,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,5.68,0,8.76,0.82,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,0,0,9.63,0,0,0,0,0,0,1434.3200000000004

69,17:00-17:15,41.64,26.27,102.04,96.33,26.27,0,0,4.82,0,0,48.16,35,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,0,8.76,0.67,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.73,0,0,0,9.63,0,0,0,0,0,0,1412.6600000000003

70,17:15-17:30,34.68,26.27,102.04,96.33,26.27,0,0,4.82,0,0,48.16,21,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,0,8.76,0.67,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.73,0,0,0,9.63,0,0,0,0,0,0,1391.7

71,17:30-17:45,28.21,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,12,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,0,8.76,0.67,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.73,0,33.72,0,9.63,0,0,0,0,0,0,1416.15

72,17:45-18:00,21.91,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,7,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,0,8.76,0.67,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.73,0,33.72,0,9.63,0,0,0,0,0,0,1404.8500000000001

73,18:00-18:15,16.02,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,5,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.67,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.52,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1594.2600000000002

74,18:15-18:30,10.59,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,1,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.67,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.52,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1584.8300000000002

75,18:30-18:45,6.36,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,6.74,96.33,0,163.76,8.76,0.67,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.52,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1580.5600000000002

76,18:45-19:00,3.22,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,6.74,96.33,0,163.76,8.76,0.67,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.52,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1577.4200000000003

77,19:00-19:15,0.65,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,6.74,96.33,0,163.76,8.76,0.72,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.7,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1575.0800000000004

78,19:15-19:30,0.22,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,6.74,96.33,0,163.76,8.76,0.72,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.7,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1574.6500000000003

79,19:30-19:45,0,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,6.74,96.33,0,163.76,8.76,0.72,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.7,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1574.4300000000005

80,19:45-20:00,0,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,6.74,96.33,0,163.76,8.76,0.72,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.7,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1574.4300000000005

81,20:00-20:15,0,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.98,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1573.8000000000004

82,20:15-20:30,0,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.98,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1573.8000000000004

83,20:30-20:45,0,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.98,0,13.49,0,26.66,19.27,33.72,0,9.63,0,0,0,0,0,0,1573.8000000000004

84,20:45-21:00,0,26.27,162.36,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,11.98,0,13.49,0,26.66,19.27,0,0,9.63,0,0,0,0,0,0,1540.0800000000004

85,21:00-21:15,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.26,0,13.49,0,26.66,19.27,0,0,9.63,0,0,0,0,0,0,1486.2400000000002

86,21:15-21:30,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.26,0,13.49,0,26.66,19.27,0,0,9.63,0,0,0,0,0,0,1486.2400000000002

87,21:30-21:45,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.26,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1489.0800000000002

88,21:45-22:00,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,5.78,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.26,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1489.0800000000002

89,22:00-22:15,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.54,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1488.4000000000003

90,22:15-22:30,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.54,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1488.4000000000003

91,22:30-22:45,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.54,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1488.4000000000003

92,22:45-23:00,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,4.82,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.54,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1488.4000000000003

93,23:00-23:15,0,26.27,108.24,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.73,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1487.6200000000003

94,23:15-23:30,0,26.27,52.85,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.73,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1432.2300000000005

95,23:30-23:45,0,26.27,52.48,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.73,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1431.8600000000004

96,23:45-24:00,0,26.27,52.48,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,163.76,8.76,0.77,0,5.78,67.43,10.6,122.82,29.5,163.76,17.51,5.78,14.45,28.9,28.9,14.45,12.73,0,13.49,0,29.5,19.27,0,0,9.63,0,0,0,0,0,0,1431.8600000000004

