Time,Block,NR/2024/19779/A/20426,NR/2024/20350/A/20061,NR/2024/20090/A/20201,NR/2024/20052/A/20058,NR/2024/19699/A/20572,NR/2024/20141/A/20277,NR/2024/20460/C,NR/2024/19760/A/20195,NR/2024/19355/A/20632,NR/2024/20472/C,NR/2024/20034/A/20546,NR/2024/19919/A/20519,NR/2024/19683/A/20231,NR/2024/20041/A/20610,NR/2024/20033/A/20564,NR/2024/19432/A/20578,NR/2024/20037/A/20160,NR/2024/20050/A/20607,NR/2024/19588/A/20279,NR/2024/19966/A/20270,NR/2024/20212/A/20274,NR/2024/20211/A/20273,NR/2024/20109/A/20631,NR/2024/20142/A/20276,NR/2024/20144/A/20275,NR/2024/20464/C,NR/2024/20446/C,NR/2024/19637/A/20247,NR/2024/19918/A/20522,NR/2024/20130/A/20268,NR/2024/20466/C,NR/2024/19757/A/20558,NR/2024/19475/A/20468,NR/2024/20048/A/20620,NR/2024/20448/C,NR/2024/20447/C,NR/2024/20031/A/20550,NR/2024/19791/A/20524,Total
57,14:00-14:15,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,8.08,111.250000,43.850000,64.730000,1394.21

58,14:15-14:30,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,8.61,111.250000,43.850000,64.730000,1394.74

59,14:30-14:45,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,5.79,111.250000,43.850000,64.730000,1391.92

60,14:45-15:00,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,5.17,111.250000,43.850000,64.730000,1391.3

61,15:00-15:15,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,6.85,111.250000,43.850000,64.730000,1392.98

62,15:15-15:30,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,6.36,111.250000,43.850000,64.730000,1392.49

63,15:30-15:45,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,2.84,111.250000,43.850000,64.730000,1388.97

64,15:45-16:00,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,24.120000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.73,111.250000,43.850000,64.730000,1386.86

65,16:00-16:15,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.31,111.250000,43.850000,64.730000,1227.1

66,16:15-16:30,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.2,111.250000,43.850000,64.730000,1226.99

67,16:30-16:45,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.17,111.250000,43.850000,64.730000,1226.96

68,16:45-17:00,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.19,111.250000,43.850000,64.730000,1226.98

69,17:00-17:15,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,33.770000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.14,111.250000,43.850000,64.730000,1202.81

70,17:15-17:30,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,33.770000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0.1,111.250000,43.850000,64.730000,1202.77

71,17:30-17:45,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,33.770000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,111.250000,43.850000,64.730000,1202.67

72,17:45-18:00,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,33.770000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,111.250000,43.850000,64.730000,1202.67

73,18:00-18:15,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,26.050000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1250.63

74,18:15-18:30,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,121.570000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,26.050000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1250.63

75,18:30-18:45,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,26.050000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1177.3

76,18:45-19:00,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,26.050000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1177.3

77,19:00-19:15,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,48.240000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1286.33

78,19:15-19:30,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,48.240000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1286.33

79,19:30-19:45,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,48.240000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1286.33

80,19:45-20:00,0.820000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,0.000000,96.490000,48.240000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1286.33

81,20:00-20:15,0.820000,1.930000,1.930000,8.680000,48.240000,0.350000,96.490000,0.000000,96.490000,96.490000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1428.17

82,20:15-20:30,0.820000,1.930000,1.930000,8.680000,48.240000,0.350000,96.490000,0.000000,96.490000,96.490000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1428.17

83,20:30-20:45,0.820000,1.930000,1.930000,8.680000,48.240000,0.350000,96.490000,0.000000,96.490000,96.490000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1467.73

84,20:45-21:00,0.820000,1.930000,1.930000,8.680000,48.240000,0.350000,96.490000,0.000000,96.490000,96.490000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1467.73

85,21:00-21:15,0.770000,1.930000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1612.42

86,21:15-21:30,0.770000,1.930000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1612.42

87,21:30-21:45,0.770000,1.930000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1612.42

88,21:45-22:00,0.770000,1.930000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,0.000000,0,166.930000,43.850000,64.730000,1612.42

89,22:00-22:15,0.720000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1675.37

90,22:15-22:30,0.720000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,48.240000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1675.37

91,22:30-22:45,0.720000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1935.9

92,22:45-23:00,0.720000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1935.9

93,23:00-23:15,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1935.81

94,23:15-23:30,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1935.81

95,23:30-23:45,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1935.81

96,23:45-24:00,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,24.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,0.000000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1935.81

