Time,Block,NR/2023/15692/D,NR/2023/14898/A,NR/2023/15693/C,NR/2023/15723/C,NR/2023/15712/C,NR/2023/15303/F,NR/2023/15309/F,NR/2023/15706/C,NR/2023/12148/A,NR/2023/13862/A,NR/2023/13635/A,NR/2023/15412/F,NR/2023/14746/A,NR/2023/15306/F,NR/2023/15296/F,NR/2023/12431/A,NR/2023/15689/D,NR/2023/15695/C,NR/2023/12591/A,NR/2023/15057/F,NR/2023/15304/F,NR/2023/12167/A,NR/2023/12052/A,NR/2023/14745/A,NR/2023/12168/A,NR/2023/12347/A,NR/2023/12053/A,NR/2023/12422/A,NR/2023/15696/C,NR/2023/15402/F,NR/2023/12592/A,NR/2023/14737/A,NR/2023/14895/A,Total
68,16:45-17:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,1.55,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1033.7

69,17:00-17:15,13.550000,70.160000,38.710000,0,19.350000,0.910000,4.840000,12.730000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,1.45,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,48.380000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,957.21

70,17:15-17:30,13.550000,70.160000,38.710000,0,33.870000,0.910000,4.840000,12.730000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,1.08,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,48.380000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,971.36

71,17:30-17:45,13.550000,70.160000,38.710000,0,38.710000,0.910000,4.840000,12.730000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0.48,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,48.380000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,975.59

72,17:45-18:00,13.550000,70.160000,38.710000,0,48.380000,0.910000,4.840000,12.730000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0.19,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,48.380000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,984.97

73,18:00-18:15,13.550000,70.160000,38.710000,0,75.480000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1030.05

74,18:15-18:30,13.550000,70.160000,38.710000,0,67.740000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1022.31

75,18:30-18:45,13.550000,70.160000,0.000000,0,78.380000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,994.24

76,18:45-19:00,13.550000,70.160000,0.000000,0,90.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,9.080000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1006.87

77,19:00-19:15,0.000000,70.160000,0.000000,0,90.960000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,9.080000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,994.33

78,19:15-19:30,0.000000,70.160000,0.000000,0,109.350000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,9.080000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1012.72

79,19:30-19:45,0.000000,70.160000,0.000000,0,145.160000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,9.080000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1048.53

80,19:45-20:00,0.000000,70.160000,0.000000,0,182.900000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,9.080000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1086.27

81,20:00-20:15,0.000000,70.160000,0.000000,0,205.150000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1107.51

82,20:15-20:30,0.000000,70.160000,0.000000,0,227.410000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1129.77

83,20:30-20:45,0.000000,70.160000,0.000000,0,273.860000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1176.22

84,20:45-21:00,0.000000,70.160000,0.000000,0,301.920000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,48.380000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1204.28

85,21:00-21:15,0.000000,70.160000,0.000000,0,329.990000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,7.060000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1274.89

86,21:15-21:30,0.000000,70.160000,0.000000,0,364.820000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,7.060000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1309.72

87,21:30-21:45,0.000000,70.160000,0.000000,0,404.500000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,7.060000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1349.4

88,21:45-22:00,0.000000,70.160000,0.000000,0,444.170000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,1387.05

89,22:00-22:15,0.000000,70.160000,0.000000,0,382.240000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1459.57

90,22:15-22:30,0.000000,70.160000,0.000000,0,413.210000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1490.54

91,22:30-22:45,0.000000,70.160000,0.000000,0,450.950000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1528.28

92,22:45-23:00,0.000000,70.160000,0.000000,0,472.240000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.920000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1549.57

93,23:00-23:15,0.000000,70.160000,0.000000,0,480.950000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1558.23

94,23:15-23:30,0.000000,70.160000,0.000000,0,474.170000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1551.45

95,23:30-23:45,0.000000,70.160000,0.000000,0,454.820000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1532.1

96,23:45-24:00,0.000000,70.160000,0.000000,0,426.760000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,54.090000,0,5.040000,42.570000,0.870000,0.580000,24.190000,63.140000,0.000000,46.640000,91.930000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1504.04

