Column1,Block,NR/2025/26236/A/71327,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71720,NR/2025/26202/A/71840,NR/2025/26772/C,NR/2025/26191/A/71299,NR/2025/26773/C,NR/2025/26200/A/71790,NR/2025/26233/A/71774,NR/2025/26720/C,NR/2025/26721/C,NR/2025/26769/C,NR/2025/26336/A/71718,SR/2025/17039/C,NR/2025/26723/C,NR/2025/26725/C,NR/2025/26197/A/71799,NR/2025/26265/A/71773,NR/2025/26002/A/71756,NR/2025/26085/A/71252,NR/2025/25855/A/71738,NR/2025/26101/A/71458,NR/2025/26199/A/71794,NR/2025/26198/A/71796,NR/2025/26689/A/71386,NR/2025/25858/A/71739,NR/2025/26289/A/71772,NR/2025/26718/C,NR/2025/26201/A/71786,NR/2025/26719/C,NR/2025/26759/C,NR/2025/26312/A/71326,NR/2025/26232/A/71775,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/4138,GNA/SR/2025/05/13/1025,NR/2025/26153/A/71328,NR/2025/26291/A/71771,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6957,GNA/SR/2025/05/13/2161,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/2474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,Total
22,05:15-05:30,0,0.02,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.76,0,13.48,0,10.59,1585.97

23,05:30-05:45,0,0.12,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,5.78,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.76,0,13.48,0,10.59,1585.11

24,05:45-06:00,0,0.13,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,5.78,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.76,0,13.48,0,10.59,1585.12

25,06:00-06:15,0,0.68,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.58,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.58,0,13.48,0,10.59,1584.6299999999999

26,06:15-06:30,0,1.44,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.58,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.58,0,13.48,0,10.59,1585.3899999999999

27,06:30-06:45,0,4.78,1,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.58,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.58,0,13.48,0,10.59,1589.7299999999998

28,06:45-07:00,0,7.97,4,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.58,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.58,0,13.48,0,10.59,1468.8

29,07:00-07:15,0,11.99,14,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,0,0,0.67,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.5,0,13.48,0,10.59,1348.0099999999998

30,07:15-07:30,0,17.19,28,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,0,0,0.67,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.5,0,13.48,0,10.59,1367.2099999999998

31,07:30-07:45,0,23.38,42,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,0,0,0.67,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.5,0,13.48,0,10.59,1387.3999999999999

32,07:45-08:00,0,30.25,56,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,0,0,0.67,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.5,0,13.48,0,10.59,1408.27

33,08:00-08:15,7.7,37.64,70,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,96.3,0,0.96,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.31,0,13.48,0,10.59,1437.46

34,08:15-08:30,7.7,45.09,88,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,96.3,0,0.96,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.31,0,13.48,0,10.59,1462.91

35,08:30-08:45,7.7,52.52,98,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,96.3,0,0.96,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,19.26,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.31,0,13.48,0,10.59,1499.6

36,08:45-09:00,7.7,60.1,112,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,0,0,0,0,14.59,96.3,0,0.96,0,0,43.77,43.77,4.82,0,48.15,0,37.21,0,19.26,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.31,0,13.48,0,10.59,1521.1799999999998

37,09:00-09:15,10.59,67.46,126,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,48.15,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.22,0,13.48,0,10.59,1628.3100000000002

38,09:15-09:30,10.59,73.73,140,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,48.15,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.22,0,13.48,0,10.59,1648.5800000000002

39,09:30-09:45,10.59,79.76,151,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,57.78,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.22,0,13.48,0,10.59,1675.2400000000002

