Time,Block,NR/2024/20375/C,NR/2024/20082/A/19932,NR/2024/20383/C,NR/2024/20370/C,NR/2024/19918/A/19933,NR/2024/19475/A/19876,NR/2024/20374/C,NR/2024/20031/A/19900,NR/2024/20050/A/19895,NR/2024/20142/A/19687,NR/2024/20211/A/19689,NR/2024/20384/C,NR/2024/20033/A/19901,NR/2024/20141/A/19688,NR/2024/20052/A/19465,NR/2024/20034/A/19898,NR/2024/20040/A/19931,NR/2024/19760/A/19640,NR/2024/20037/A/19638,NR/2024/20385/C,NR/2024/20048/A/19896,NR/2024/20041/A/19897,NR/2024/20369/C,NR/2024/20090/A/19543,NR/2024/19779/A/19535,NR/2024/19699/A/19903,NR/2024/20212/A/19690,NR/2024/19432/A/19906,NR/2024/20144/A/19686,NR/2024/19966/A/19663,NR/2024/20130/A/19656,NR/2024/19637/A/19672,NR/2024/19588/A/19696,NR/2024/19355/A/20047,NR/2024/20109/A/20046,NR/2024/19683/A/19560,NR/2024/20368/C,Total
59,14:30-14:45,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.42,1043.18

60,14:45-15:00,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,7.2,1041.96

61,15:00-15:15,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,5.57,1040.33

62,15:15-15:30,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,3.25,1093.84

63,15:30-15:45,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,1.09,1091.68

64,15:45-16:00,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,1.64,1092.23

65,16:00-16:15,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,1.37,932.46

66,16:15-16:30,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.84,931.93

67,16:30-16:45,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.78,931.87

68,16:45-17:00,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.7,931.79

69,17:00-17:15,0.000000,11.590000,0.000000,36.700000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.61,910.45

70,17:15-17:30,0.000000,11.590000,0.000000,36.700000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.7,910.54

71,17:30-17:45,0.000000,11.590000,0.000000,36.700000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,142.840000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.63,941.95

72,17:45-18:00,0.000000,11.590000,0.000000,26.080000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,166.890000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.49,955.24

73,18:00-18:15,0.000000,11.590000,0.000000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.3,955.24

74,18:15-18:30,0.000000,11.590000,0.000000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.21,955.15

75,18:30-18:45,0.000000,11.590000,0.000000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,954.94

76,18:45-19:00,0.000000,11.590000,0.000000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,954.94

77,19:00-19:15,0.000000,11.590000,128.450000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1237.92

78,19:15-19:30,0.000000,11.590000,124.590000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1234.06

79,19:30-19:45,0.000000,11.590000,168.050000,0.000000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,13.520000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1277.52

80,19:45-20:00,0.000000,11.590000,159.360000,0.000000,13.520000,193.160000,0.000000,21.360000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,13.520000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1236.93

81,20:00-20:15,27.240000,11.590000,163.220000,0.000000,13.520000,193.160000,28.970000,24.250000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,8.690000,24.250000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1297.95

82,20:15-20:30,27.240000,11.590000,179.640000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1308.59

83,20:30-20:45,27.240000,11.590000,181.570000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1310.52

84,20:45-21:00,27.240000,11.590000,185.430000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,96.580000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.820000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1314.38

85,21:00-21:15,27.240000,11.590000,190.260000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.770000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1464.03

86,21:15-21:30,27.240000,11.590000,192.190000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.770000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1465.96

87,21:30-21:45,27.240000,11.590000,189.300000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.770000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1463.07

88,21:45-22:00,27.240000,11.590000,203.780000,0.000000,13.520000,193.160000,28.970000,21.360000,0.000000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,193.160000,1.930000,0.770000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1477.55

89,22:00-22:15,27.240000,11.590000,172.880000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,167.080000,1.930000,0.720000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1541.24

90,22:15-22:30,27.240000,11.590000,187.370000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,167.080000,1.930000,0.720000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1555.73

91,22:30-22:45,27.240000,11.590000,187.370000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,167.080000,1.930000,0.720000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1555.73

92,22:45-23:00,27.240000,11.590000,201.850000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,167.080000,1.930000,0.720000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1570.21

93,23:00-23:15,27.240000,11.590000,186.400000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,167.080000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1651.25

94,23:15-23:30,27.240000,11.590000,191.230000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,167.080000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1656.08

95,23:30-23:45,27.240000,11.590000,186.400000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,167.080000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1651.25

96,23:45-24:00,27.240000,11.590000,225.030000,0.000000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,167.080000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1689.88

