Column1,Block,NR/01102023/14082046/L_NR_2021_16,NR/2024/22535/A/33112,NR/01102023/02012046/L_NR_2021_17,NR/2024/21658/A/33015,NR/2024/21983/A/33034,NR/2024/21954/A/33327,NR/2024/21974/A/33163,NR/2024/21940/A/33328,NR/2024/22709/C,NR/2024/22703/C,NR/2024/21956/A/33331,NR/2024/21970/A/33159,NR/2024/21814/A/33164,NR/2024/21968/A/33158,NR/2024/22534/A/33113,NR/2024/21961/A/33304,NR/2024/21971/A/33161,NR/2024/22498/A/33373,NR/2024/21933/A/33035,NR/2024/21911/A/33283,NR/2024/22042/A/33009,NR/2024/21860/A/33076,NR/2024/22010/A/33375,NR/2024/21943/A/33326,NR/2024/21966/A/33075,NR/2024/22623/A/33068,NR/2024/21918/A/33368,NR/2024/22014/A/33010,NR/2024/21938/A/33303,NR/2024/22279/A/33006,NR/2024/22705/C,GNA/NR/2024/08/21/5232,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,SR/2024/13958/C,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,GNA/NR/2024/08/21/1351,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22687/C,NR/2024/22704/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,Total
58,14:15-14:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

59,14:30-14:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

60,14:45-15:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

61,15:00-15:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

62,15:15-15:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

63,15:30-15:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

64,15:45-16:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,4.83,0,24.14,12.44,48.28,37.3,37.66,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2216

65,16:00-16:15,0,10.62,0,0.82,48.28,24.07,37.3,84.19,1.93,0,24.14,12.44,48.28,37.3,40.56,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,17.33,24.68,12.44,0,0,0,0,1400.3716

66,16:15-16:30,0,10.62,0,0.82,48.28,24.07,37.3,84.19,11.59,0,24.14,12.44,48.28,37.3,30.9,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,17.33,24.68,12.44,0,0,0,0,1400.3716

67,16:30-16:45,0,10.62,0,0.82,48.28,24.07,37.3,84.19,14.49,0,24.14,12.44,48.28,37.3,27.04,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,23.9542,0,23.9542,0,0,241.42,28.01,17.33,24.68,12.44,0,0,0,0,1393.5783999999999

68,16:45-17:00,0,10.62,0,0.82,48.28,24.07,37.3,84.19,11.2,0,24.14,12.44,48.28,37.3,22.21,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,23.9542,0,23.9542,0,0,241.42,28.01,17.33,24.68,12.44,0,0,0,0,1385.4583999999998

69,17:00-17:15,0,0,0,0.77,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,12.55,90.78,1.93,0,4.83,164.41,0,96.57,0,23.9542,48.28,23.9542,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1341.3784

70,17:15-17:30,0,0,0,0.77,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,12.55,90.78,1.93,0,4.83,164.41,0,96.57,0,23.9542,48.28,23.9542,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1341.3784

71,17:30-17:45,0,0,0,0.77,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,12.55,90.78,1.93,0,4.83,164.41,0,96.57,0,23.9542,48.28,23.9542,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1341.3784

72,17:45-18:00,0,0,0,0.77,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,12.55,90.78,1.93,0,4.83,164.41,0,96.57,0,23.9542,48.28,23.9542,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1341.3784

73,18:00-18:15,0,0,0,0.77,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,0,96.57,0,23.9542,48.28,23.9542,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1328.6984

74,18:15-18:30,0,0,0,0.77,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,0,96.57,0,23.1255,48.28,23.1255,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1327.041

75,18:30-18:45,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,0,96.57,0,23.1255,48.28,23.1255,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1346.361

76,18:45-19:00,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,0,96.57,0,23.1255,48.28,23.1255,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1346.361

77,19:00-19:15,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,32,48.28,32,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1508.97

78,19:15-19:30,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,32,48.28,32,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1508.97

79,19:30-19:45,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1505.97

80,19:45-20:00,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,0,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1505.97

81,20:00-20:15,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

82,20:15-20:30,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

83,20:30-20:45,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

84,20:45-21:00,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

85,21:00-21:15,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

86,21:15-21:30,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

87,21:30-21:45,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

88,21:45-22:00,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,0,38.63,0,11.59,90.78,1.93,0,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1554.25

89,22:00-22:15,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,10.62,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1683.65

90,22:15-22:30,0,0,0,0.77,0,24.07,37.3,84.19,0,0,43.46,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,10.62,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1683.65

91,22:30-22:45,0,0,0,0.77,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,9.66,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1706.8300000000002

92,22:45-23:00,0,0,0,0.77,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,9.66,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1706.8300000000002

93,23:00-23:15,0,0,0,0.72,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,9.66,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1706.7800000000002

94,23:15-23:30,0,0,0,0.72,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,9.66,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,30.5,48.28,30.5,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1706.7800000000002

95,23:30-23:45,0,0,0,0.72,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,9.66,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,0,48.28,0,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1645.7800000000002

96,23:45-24:00,0,0,0,0.72,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,0,38.63,0,9.66,90.78,1.93,32.59,4.83,164.41,144.86,96.57,0,0,48.28,0,48.28,21.25,241.42,28.01,17.33,24.68,12.44,96.57,0,24.14,0,1645.7800000000002

