Time,Block,NR/2023/12519/D,NR/2023/12517/D,NR/2023/12518/D,NR/2023/10613/A,NR/2023/12539/C,NR/2023/11952/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/10611/A,NR/2023/12535/C,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11643/A,NR/2023/11955/F,NR/2023/11963/F,NR/2023/10434/A,NR/2023/10223/A,NR/2023/11958/F,NR/2023/11330/A,NR/2023/11862/F,NR/2023/11284/A,NR/2023/10236/A,NR/2023/11956/F,NR/2023/11642/A,NR/2023/12531/C,NR/2023/12536/C,NR/2023/10487/A,NR/2023/10944/A,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11959/F,NR/2023/12520/C,NR/2023/11960/F,NR/2023/11941/F,NR/2023/11962/F,NR/2023/10229/A,NR/2023/12516/D,Total
61,15:00-15:15,8.2,157.5,67.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,31.600000,0.730000,62.610000,0.460000,49.850000,66.850000,1080.71

62,15:15-15:30,8.15,150.5,64.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,31.600000,0.730000,62.610000,0.460000,49.850000,66.850000,1070.66

63,15:30-15:45,7.28,140,60,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,31.600000,0.730000,62.610000,0.460000,49.850000,66.850000,1054.79

64,15:45-16:00,6.51,128.8,55.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,31.600000,0.730000,62.610000,0.460000,49.850000,66.850000,1038.02

65,16:00-16:15,6.12,114.8,49.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,66.850000,1019.74

66,16:15-16:30,5.35,100.8,43.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,66.850000,998.97

67,16:30-16:45,4.77,88.2,37.8,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,30.830000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,66.850000,1011.22

68,16:45-17:00,3.91,70,30,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,51.050000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,66.850000,1004.58

69,17:00-17:15,3.04,49,21,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,70.320000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,66.850000,993.08

70,17:15-17:30,2.07,39.9,17.1,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,75.140000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,66.850000,983.93

71,17:30-17:45,1.21,31.5,13.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,88.620000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,133.710000,1051.41

72,17:45-18:00,0.55,28,12,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,93.440000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,33.630000,0.730000,62.610000,0.460000,49.850000,133.710000,1050.57

73,18:00-18:15,0,21,9,0.000000,0.000000,36.350000,0.770000,115.600000,9.920000,115.600000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,32.610000,0.730000,62.610000,0.460000,49.850000,192.660000,1156.55

74,18:15-18:30,0,10.5,4.5,0.000000,0.000000,36.350000,0.770000,115.600000,9.920000,98.260000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,32.610000,0.730000,62.610000,0.460000,49.850000,192.660000,1124.21

75,18:30-18:45,0,7,3,0.000000,0.000000,36.350000,0.770000,115.600000,9.920000,56.830000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,32.610000,0.730000,62.610000,0.460000,49.850000,192.660000,1077.78

76,18:45-19:00,0,3.5,1.5,0.000000,0.000000,36.350000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,32.610000,0.730000,62.610000,0.460000,49.850000,192.660000,1015.95

77,19:00-19:15,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.390000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1011.64

78,19:15-19:30,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.390000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1011.64

79,19:30-19:45,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.390000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1011.64

80,19:45-20:00,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.390000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1011.64

81,20:00-20:15,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.480000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1011.73

82,20:15-20:30,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.480000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1011.73

83,20:30-20:45,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,1.930000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.480000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,192.660000,1013.66

84,20:45-21:00,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,186.880000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.480000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,133.710000,1139.66

85,21:00-21:15,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,230.230000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.660000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,72.440000,1121.92

86,21:15-21:30,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,272.610000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.660000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,72.150000,1164.01

87,21:30-21:45,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,283.210000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.660000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,66.850000,1169.31

88,21:45-22:00,0,0,0,0.000000,0.000000,36.350000,0.860000,115.600000,9.920000,287.060000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,0.000000,2.890000,33.720000,274.170000,0.440000,14.450000,10.660000,0.000000,41.420000,0.000000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,66.850000,1173.16

89,22:00-22:15,0,0,0,12.620000,86.700000,36.350000,0.860000,115.600000,9.920000,191.700000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,10.850000,0.000000,41.420000,27.740000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,66.850000,1269.78

90,22:15-22:30,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,210.960000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,10.850000,0.000000,41.420000,27.740000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,66.850000,1306.38

91,22:30-22:45,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,215.780000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,10.850000,48.160000,41.420000,27.740000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,66.850000,1359.36

92,22:45-23:00,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,223.490000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,10.850000,48.160000,41.420000,27.740000,0.870000,6.740000,0.810000,32.610000,0.810000,62.610000,0.510000,49.850000,66.850000,1367.07

93,23:00-23:15,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,367.980000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,11.040000,96.330000,41.420000,27.740000,0.870000,6.740000,0.810000,30.580000,0.810000,62.610000,0.510000,49.850000,66.850000,1557.89

94,23:15-23:30,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,404.590000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,11.040000,96.330000,41.420000,27.740000,0.870000,6.740000,0.810000,30.580000,0.810000,62.610000,0.510000,49.850000,66.850000,1594.5

95,23:30-23:45,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,408.440000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,11.040000,96.330000,41.420000,27.740000,0.870000,6.740000,0.810000,30.580000,0.810000,62.610000,0.510000,49.850000,66.850000,1598.35

96,23:45-24:00,0,0,0,12.620000,104.040000,36.350000,0.860000,115.600000,9.920000,406.510000,12.210000,48.160000,13.000000,0.360000,0.510000,24.080000,24.920000,0.720000,64.730000,2.890000,33.720000,274.170000,0.440000,14.450000,11.040000,96.330000,41.420000,27.740000,0.870000,6.740000,0.810000,30.580000,0.810000,62.610000,0.510000,49.850000,66.850000,1596.42

