Column1,Block,NR/2024/21983/A/34821,NR/2024/21970/A/34960,NR/2024/22042/A/34628,NR/2024/21933/A/34823,NR/2024/21911/A/34884,NR/2024/21918/A/34955,NR/2024/22010/A/34953,NR/2024/21954/A/34930,NR/2024/21658/A/34654,NR/2024/21940/A/34931,NR/2024/22014/A/34629,NR/2024/21961/A/34891,NR/2024/22623/A/34671,NR/2024/22279/A/34625,NR/2024/21860/A/34871,NR/2024/21938/A/34896,NR/2024/21956/A/34932,NR/2024/21966/A/34658,NR/2024/21814/A/34963,NR/2024/21968/A/34959,NR/2024/21943/A/34929,NR/2024/22498/A/34940,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/SKS-Raigarh,NR/2024/21974/A/34962,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21971/A/34961,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2024/22890/C,NR/2024/22892/C,NR/2024/22871/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/2024/22889/C,NR/2024/22611/A/34685,NR/2024/22610/A/34686,Total
65,16:00-16:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.82,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,2.68,8.72,42.63,1359.8516

66,16:15-16:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.82,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,1.22,8.53,42.63,1358.2015999999999

67,16:30-16:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.82,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,2.37,8.24,42.63,1359.0615999999998

68,16:45-17:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.82,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,2.33,7.94,42.63,1358.7215999999999

69,17:00-17:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.78,84.47,1.94,0,12.6,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,1.35,0,0,1294.9216000000001

70,17:15-17:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.78,84.47,1.94,0,12.6,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,2.06,0,0,1295.6316000000002

71,17:30-17:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.78,84.47,1.94,0,12.6,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,1.25,0,0,1294.8216000000002

72,17:45-18:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.78,84.47,1.94,0,12.6,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,0.76,0,0,1294.3316000000002

73,18:00-18:15,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,0.68,0,0,1281.5216000000003

74,18:15-18:30,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,0.28,0,0,1281.1216000000002

75,18:30-18:45,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,0.03,0,0,1300.2516

76,18:45-19:00,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1300.2216

77,19:00-19:15,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,25.9614,28.1,164.96,242.22,40.69,32,0,0,0,1304.4414000000002

78,19:15-19:30,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,21.5632,28.1,164.96,242.22,40.69,32,0,0,0,1300.0432000000003

79,19:30-19:45,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,21.5632,28.1,164.96,242.22,40.69,32,0,0,0,1300.0432000000003

80,19:45-20:00,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,21.5632,28.1,164.96,242.22,40.69,32,0,0,0,1300.0432000000003

81,20:00-20:15,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

82,20:15-20:30,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

83,20:30-20:45,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

84,20:45-21:00,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

85,21:00-21:15,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

86,21:15-21:30,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

87,21:30-21:45,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

88,21:45-22:00,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,0,11.63,4.84,48.44,0,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,15.08,32,28.1,164.96,242.22,40.69,32,0,0,0,1310.4800000000002

89,22:00-22:15,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,98.1,10.66,4.84,48.44,32.7,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,32,28.1,164.96,242.22,40.69,32,0,0,0,1440.0300000000002

90,22:15-22:30,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,98.1,10.66,4.84,48.44,32.7,43.6,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,32,28.1,164.96,242.22,40.69,32,0,0,0,1440.0300000000002

91,22:30-22:45,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,98.1,9.69,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,18.5536,28.1,164.96,242.22,40.69,32,0,0,0,1449.8336

92,22:45-23:00,0,12.48,3.88,0,0,91.08,0,24.14,0.78,84.47,1.94,98.1,9.69,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,18.5536,28.1,164.96,242.22,40.69,32,0,0,0,1449.8336

93,23:00-23:15,0,12.48,3.88,0,0,91.08,0,24.14,0.73,84.47,1.94,98.1,9.69,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,25.9614,28.1,164.96,242.22,40.69,32,0,0,0,1457.1914

94,23:15-23:30,0,12.48,3.88,0,0,91.08,0,24.14,0.73,84.47,1.94,98.1,9.69,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,25.9614,28.1,164.96,242.22,40.69,32,0,0,0,1457.1914

95,23:30-23:45,0,12.48,3.88,0,0,91.08,0,24.14,0.73,84.47,1.94,98.1,9.69,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,25.9614,28.1,164.96,242.22,40.69,32,0,0,0,1457.1914

96,23:45-24:00,0,12.48,3.88,0,0,91.08,0,24.14,0.73,84.47,1.94,98.1,9.69,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.8,25.9614,28.1,164.96,242.22,40.69,32,0,0,0,1457.1914

